#Recorded data from Servotor32
#datetime: 07-09-2020_20h-46m-06s
#filename: tripod_x_b_sensors_closed_horizontal_floor_unloaded_07-09-2020_20h-46m-06s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,110,106,8,1183,-1183,1183,-1183,1183,-1183,4425,-222,4425,-222,4425,-222,1108,540,-141,-130,468,1000
1,2,217,105,10,216,-216,216,-216,216,-216,4215,-166,4215,-166,4215,-166,1108,367,47,-195,513,765
2,3,322,105,9,-2053,2053,-2053,2053,-2053,2053,4005,149,4005,149,4005,149,1020,173,688,-143,878,367
3,4,430,105,8,-4514,4514,-4514,4514,-4514,4514,3795,464,3795,464,3795,464,1078,160,781,-208,814,-20
4,5,537,105,17,-4987,4987,-4987,4987,-4987,4987,3585,779,3585,779,3585,779,1049,107,500,-65,897,41
5,6,642,105,14,-5078,5078,-5078,5078,-5078,5078,3375,1094,3375,1094,3375,1094,1020,87,563,65,910,61
6,7,750,106,-1,-5096,5096,-5096,5096,-5096,5096,3163,1412,3163,1412,3163,1412,1020,133,594,-39,885,51
7,8,857,105,9,-5099,5099,-5099,5099,-5099,5099,2953,1727,2953,1727,2953,1727,1010,160,563,39,833,153
8,9,962,105,5,-5100,5100,-5100,5100,-5100,5100,2743,2042,2743,2042,2743,2042,1029,207,672,169,769,173
9,10,1071,106,7,-5100,5100,-5100,5100,-5100,5100,2531,2360,2531,2360,2531,2360,1039,320,609,221,776,204
10,11,1177,105,10,-5100,5100,-5100,5100,-5100,5100,2321,2675,2321,2675,2321,2675,1049,327,609,286,699,316
11,12,1282,105,7,-5100,5100,-5100,5100,-5100,5100,2111,2990,2111,2990,2111,2990,1029,460,500,429,622,490
12,13,1390,106,7,-5100,5100,-5100,5100,-5100,5100,1899,3308,1899,3308,1899,3308,902,567,484,455,583,500
13,14,1497,105,9,-5100,5100,-5100,5100,-5100,5100,1689,3623,1689,3623,1689,3623,686,653,391,519,532,561
14,15,1603,105,6,-5100,5100,-5100,5100,-5100,5100,1479,3937,1479,3938,1479,3938,667,767,297,610,385,704
