#Recorded data from Servotor32
#datetime: 07-09-2020_20h-46m-06s
#filename: tripod_x_b_sensors_closed_horizontal_floor_unloaded_07-09-2020_20h-46m-06s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.11,0.106,0.008,1.183,-1.183,1.183,-1.183,1.183,-1.183,4.425,-0.222,4.425,-0.222,4.425,-0.222,1.108,0.54,-0.141,-0.13,0.468,1.0,1.0,0.54,0.0,0.0,0.468,1.0,0.0,0.008,-0.008,0.016,-0.016,0.024,0.0,0.008,0.0,0.008,0.0,0.008,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.897,0.039,0.897,0.039,0.897,0.039,4.425,-0.222,4.425,-0.222,4.425,-0.222,1.155,1.155,1.155,1.155,1.155,1.155
1,2,0.217,0.105,0.01,0.216,-0.216,0.216,-0.216,0.216,-0.216,4.215,-0.166,4.215,-0.166,4.215,-0.166,1.108,0.367,0.047,-0.195,0.513,0.765,1.0,0.367,0.047,0.0,0.513,0.765,-0.024,0.024,-0.024,0.024,-0.024,0.024,0.0,0.507,0.0,0.507,0.0,0.507,2.55,2.467,2.55,2.467,2.55,2.467,0.0,-0.166,0.0,-0.166,0.0,-0.166,5.1,5.1,5.1,5.1,5.1,5.1,0.872,0.05,0.872,0.05,0.872,0.05,4.425,-0.222,4.425,-0.222,4.425,-0.222,1.155,1.118,1.155,1.118,1.155,1.118
2,3,0.322,0.105,0.009,-2.053,2.053,-2.053,2.053,-2.053,2.053,4.005,0.149,4.005,0.149,4.005,0.149,1.02,0.173,0.688,-0.143,0.878,0.367,1.0,0.173,0.688,0.0,0.878,0.367,-1.522,1.522,-1.522,1.522,-1.522,1.522,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.467,2.55,2.467,2.55,2.467,0.0,-0.166,0.0,-0.166,0.0,-0.166,5.1,5.1,5.1,5.1,5.1,5.1,0.843,0.07,0.843,0.07,0.843,0.07,4.425,-0.222,4.425,-0.222,4.425,-0.222,1.155,1.118,1.155,1.118,1.155,1.118
3,4,0.43,0.105,0.008,-4.514,4.514,-4.514,4.514,-4.514,4.514,3.795,0.464,3.795,0.464,3.795,0.464,1.078,0.16,0.781,-0.208,0.814,-0.02,1.0,0.16,0.781,0.0,0.814,0.0,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.467,2.55,2.467,2.55,2.467,0.0,-0.166,0.0,-0.166,0.0,-0.166,5.1,5.1,5.1,5.1,5.1,5.1,0.808,0.096,0.808,0.096,0.808,0.096,4.425,-0.222,4.425,-0.222,4.425,-0.222,1.155,1.118,1.155,1.118,1.155,1.118
4,5,0.537,0.105,0.017,-4.987,4.987,-4.987,4.987,-4.987,4.987,3.585,0.779,3.585,0.779,3.585,0.779,1.049,0.107,0.5,-0.065,0.897,0.041,1.0,0.107,0.5,0.0,0.897,0.041,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.467,2.55,2.467,2.55,2.467,0.0,-0.166,0.0,-0.166,0.0,-0.166,5.1,5.1,5.1,5.1,5.1,5.1,0.768,0.132,0.768,0.132,0.768,0.132,4.425,-0.222,4.425,-0.222,4.425,-0.222,1.155,1.118,1.155,1.118,1.155,1.118
5,6,0.642,0.105,0.014,-5.078,5.078,-5.078,5.078,-5.078,5.078,3.375,1.094,3.375,1.094,3.375,1.094,1.02,0.087,0.563,0.065,0.91,0.061,1.0,0.087,0.563,0.065,0.91,0.061,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.467,2.55,2.467,2.55,2.467,0.0,-0.166,0.0,-0.166,0.0,-0.166,5.1,5.1,5.1,5.1,5.1,5.1,0.722,0.177,0.722,0.177,0.722,0.177,5.1,0.292,2.871,0.176,4.641,0.155,1.155,1.118,1.155,1.118,1.155,1.118
6,7,0.75,0.106,-0.001,-5.096,5.096,-5.096,5.096,-5.096,5.096,3.163,1.412,3.163,1.412,3.163,1.412,1.02,0.133,0.594,-0.039,0.885,0.051,1.0,0.133,0.594,0.0,0.885,0.051,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.467,2.55,2.467,2.55,2.467,0.0,-0.166,0.0,-0.166,0.0,-0.166,5.1,5.1,5.1,5.1,5.1,5.1,0.67,0.235,0.67,0.235,0.67,0.235,5.1,0.534,3.029,-0.166,4.514,0.103,1.155,1.118,1.155,1.118,1.155,1.118
7,8,0.857,0.105,0.009,-5.099,5.099,-5.099,5.099,-5.099,5.099,2.953,1.727,2.953,1.727,2.953,1.727,1.01,0.16,0.563,0.039,0.833,0.153,1.0,0.16,0.563,0.039,0.833,0.153,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.467,2.55,2.467,2.55,2.467,0.0,-0.166,0.0,-0.166,0.0,-0.166,5.1,5.1,5.1,5.1,5.1,5.1,0.614,0.304,0.614,0.304,0.614,0.304,5.1,0.677,2.871,0.039,4.248,0.64,1.155,1.118,1.155,1.118,1.155,1.118
8,9,0.962,0.105,0.005,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.743,2.042,2.743,2.042,2.743,2.042,1.029,0.207,0.672,0.169,0.769,0.173,1.0,0.207,0.672,0.169,0.769,0.173,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.467,2.55,2.467,2.55,2.467,0.0,-0.166,0.0,-0.166,0.0,-0.166,5.1,5.1,5.1,5.1,5.1,5.1,0.555,0.383,0.555,0.383,0.555,0.383,5.1,0.924,3.427,0.724,3.922,0.745,1.155,1.118,1.155,1.118,1.155,1.118
9,10,1.071,0.106,0.007,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.531,2.36,2.531,2.36,2.531,2.36,1.039,0.32,0.609,0.221,0.776,0.204,1.0,0.32,0.609,0.221,0.776,0.204,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.467,2.55,2.467,2.55,2.467,0.0,-0.166,0.0,-0.166,0.0,-0.166,5.1,5.1,5.1,5.1,5.1,5.1,0.495,0.47,0.495,0.47,0.495,0.47,5.1,1.519,3.106,0.998,3.958,0.908,1.155,1.118,1.155,1.118,1.155,1.118
