#Recorded data from Servotor32
#datetime: 07-09-2020_21h-02m-26s
#filename: tripod_x_b_sensors_closed_horizontal_floor_unloaded_07-09-2020_21h-02m-26s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: False
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,107,105,8,1226,-1226,1226,-1226,1226,-1226,4430,-219,4430,-219,4430,-219,1000,497,-75,0,378,1000
1,2,215,106,7,217,-217,217,-217,217,-217,4218,-165,4218,-165,4218,-165,1021,483,239,-47,415,574
2,3,320,105,14,-2027,2027,-2027,2027,-2027,2027,4008,150,4008,150,4008,150,989,215,507,-35,822,343
3,4,428,106,8,-4533,4533,-4533,4533,-4533,4533,3796,468,3796,468,3796,468,1095,128,821,-129,778,157
4,5,535,105,15,-4991,4991,-4991,4991,-4991,4991,3586,783,3586,783,3586,783,1032,94,776,35,793,46
5,6,641,105,13,-5079,5079,-5079,5079,-5079,5079,3376,1098,3376,1098,3376,1098,1021,81,567,188,911,185
6,7,750,106,7,-5096,5096,-5096,5096,-5096,5096,3164,1416,3164,1416,3164,1416,958,81,552,141,852,139
7,8,857,105,10,-5099,5099,-5099,5099,-5099,5099,2954,1731,2954,1731,2954,1731,926,141,597,188,785,185
8,9,963,105,7,-5100,5100,-5100,5100,-5100,5100,2744,2046,2744,2046,2744,2046,1000,208,612,212,696,176
9,10,1071,106,8,-5100,5100,-5100,5100,-5100,5100,2532,2364,2532,2364,2532,2364,1105,268,672,318,674,269
10,11,1178,105,10,-5100,5100,-5100,5100,-5100,5100,2322,2679,2322,2679,2322,2679,842,295,478,412,556,324
11,12,1283,105,7,-5100,5100,-5100,5100,-5100,5100,2112,2994,2112,2994,2112,2994,884,403,597,365,481,444
12,13,1392,106,1,-5100,5100,-5100,5100,-5100,5100,1900,3312,1900,3312,1900,3312,989,550,433,235,519,481
13,14,1499,105,12,-5100,5100,-5100,5100,-5100,5100,1690,3627,1690,3627,1690,3627,863,658,433,282,296,546
14,15,1606,105,6,-5100,5100,-5100,5100,-5100,5100,1480,3941,1480,3942,1480,3942,768,785,433,235,326,602
15,16,1715,106,6,-5095,5095,-5095,5095,-5095,5095,1268,4250,1268,4260,1268,4257,568,846,239,329,178,806
16,17,1820,105,9,-5068,5068,-5068,5068,-5068,5068,1058,4548,1058,4575,1058,4569,421,866,149,106,111,806
17,18,1928,105,7,-5041,5041,-5041,5041,-5041,5041,848,4717,848,4890,848,4879,358,953,149,141,104,815
18,19,2036,105,9,-4694,4694,-4694,4694,-4694,4694,638,4672,638,5205,638,5126,147,953,45,165,59,852
19,20,2141,105,5,-3902,3902,-3902,3902,-3902,3902,428,4472,428,5520,428,4938,105,993,30,153,-30,889
20,21,2249,106,-1,-2191,2191,-2191,2191,-2191,2191,216,4260,216,5828,216,4726,84,993,45,282,-111,917
21,22,2357,105,3,-1768,1768,-1768,1768,-1768,1768,6,4050,6,6143,7,4516,-11,1020,15,94,-104,889
22,23,2463,105,5,-1709,1709,-1709,1709,-1709,1709,-204,3840,-204,6279,-191,4306,11,1047,45,282,-207,815
23,24,2572,106,1,-1197,1197,-1197,1197,-1197,1197,-410,3628,-405,6076,-231,4094,-21,980,-45,341,-178,926
24,25,2678,105,3,234,-234,234,-234,234,-234,-107,3418,-111,5871,81,3884,-21,980,0,141,-126,889
25,26,2783,105,6,4060,-4060,4060,-4060,4060,-4060,208,3208,204,5661,396,3674,11,1007,104,106,-215,843
26,27,2892,106,1,4908,-4908,4908,-4908,4908,-4908,526,2996,522,5449,714,3462,21,987,60,59,-207,685
27,28,2998,105,9,5063,-5063,5063,-5063,5063,-5063,841,2786,837,5239,1029,3252,-21,832,30,82,-89,815
28,29,3106,105,7,5093,-5093,5093,-5093,5093,-5093,1156,2576,1152,5029,1344,3042,53,799,75,165,-104,769
29,30,3215,106,6,5099,-5099,5099,-5099,5099,-5099,1474,2364,1470,4817,1662,2830,63,779,179,82,-15,741
30,31,3320,105,9,5100,-5100,5100,-5100,5100,-5100,1789,2154,1785,4607,1977,2620,179,698,224,224,7,796
31,32,3428,106,7,5100,-5100,5100,-5100,5100,-5100,2107,1942,2103,4395,2295,2408,232,738,358,118,119,546
32,33,3536,105,9,5100,-5100,5100,-5100,5100,-5100,2422,1732,2418,4185,2610,2198,389,638,463,294,178,694
33,34,3641,105,7,5100,-5100,5100,-5100,5100,-5100,2737,1522,2733,3975,2925,1988,432,503,493,224,415,611
34,35,3749,106,6,5100,-5100,5100,-5100,5100,-5100,3055,1310,3051,3763,3243,1776,579,477,716,235,474,556
35,36,3856,105,8,5100,-5100,5100,-5100,5100,-5100,3370,1100,3366,3553,3558,1566,705,416,687,282,526,472
36,37,3961,105,5,5100,-5100,5100,-5100,5100,-5100,3685,890,3681,3343,3873,1356,695,309,746,353,652,435
37,38,4069,106,6,5100,-5100,5100,-5100,5100,-5100,4000,678,3996,3131,4191,1144,884,248,881,318,719,287
38,39,4176,105,9,5086,-5086,5086,-5086,5086,-5086,4311,468,4299,2921,4506,934,895,195,940,306,770,250
39,40,4281,105,5,5054,-5054,5054,-5054,5054,-5054,4620,258,4600,2711,4818,724,905,148,940,341,874,185
40,41,4391,106,7,5030,-5030,5030,-5030,5030,-5030,4919,46,4756,2499,5125,512,947,154,1045,271,889,74
41,42,4497,105,9,4590,-4590,4590,-4590,4590,-4590,5048,-164,4705,2289,5216,302,916,94,1000,247,889,83
42,43,4603,105,7,2972,-2972,2972,-2972,2972,-2972,4838,-374,4495,2079,5008,92,926,40,1000,341,815,102
43,44,4710,105,0,575,-575,575,-575,575,-575,4628,-523,4285,1869,4798,-87,1000,40,1060,318,896,37
44,45,4817,105,2,-130,130,-130,130,-130,130,4418,-290,4075,1660,4588,86,1000,60,1000,282,874,28
45,46,4923,105,6,-2187,2187,-2187,2187,-2187,2187,4208,25,3865,1946,4378,401,989,60,955,282,896,74
46,47,5032,106,1,-4487,4487,-4487,4487,-4487,4487,3996,343,3653,2264,4166,719,1042,87,1090,188,837,-102
47,48,5139,105,10,-4982,4982,-4982,4982,-4982,4982,3786,658,3443,2579,3956,1034,989,60,910,212,844,83
48,49,5247,106,6,-5078,5078,-5078,5078,-5078,5078,3574,976,3231,2897,3744,1352,937,74,836,165,830,65
49,50,5355,105,7,-5096,5096,-5096,5096,-5096,5096,3364,1291,3021,3212,3534,1667,905,148,896,129,807,139
50,51,5460,105,7,-5099,5099,-5099,5099,-5099,5099,3154,1606,2811,3527,3324,1982,874,154,716,212,800,185
51,53,5675,105,8,-5100,5100,-5100,5100,-5100,5100,2734,2236,2391,4157,2904,2612,821,362,627,329,711,306
52,54,5780,105,12,-5100,5100,-5100,5100,-5100,5100,2524,2551,2181,4472,2694,2927,737,443,567,341,681,361
53,55,5888,106,7,-5100,5100,-5100,5100,-5100,5100,2312,2869,1969,4776,2482,3245,705,510,463,588,622,509
54,56,5995,105,8,-5064,5064,-5064,5064,-5064,5064,2102,3184,1759,5063,2272,3560,716,591,403,612,474,556
55,57,6101,105,6,-5021,5021,-5021,5021,-5021,5021,1892,3499,1549,5010,2062,3874,695,678,373,765,481,731
56,58,6208,105,6,-4119,4119,-4119,4119,-4119,4119,1682,3788,1339,4911,1852,4176,547,772,358,800,415,667
57,59,6315,105,7,-3727,3727,-3727,3727,-3727,3727,1472,3815,1129,4720,1642,4088,505,819,209,800,370,778
58,60,6421,105,5,-1703,1703,-1703,1703,-1703,1703,1262,3605,919,4510,1432,3878,379,886,119,953,281,861
59,61,6529,105,0,-327,327,-327,327,-327,327,1052,3395,714,4300,1222,3668,337,886,194,953,222,944
60,62,6637,105,3,-47,47,-47,47,-47,47,843,3185,564,4090,1045,3458,284,940,149,906,133,880
61,63,6743,105,5,235,-235,235,-235,235,-235,739,2975,407,3880,1313,3248,168,980,209,800,0,889
62,64,6851,105,2,1713,-1713,1713,-1713,1713,-1713,1054,2765,721,3670,1600,3038,116,913,15,882,22,907
63,65,6958,105,5,4374,-4374,4374,-4374,4374,-4374,1369,2555,1036,3460,1915,2828,84,913,134,788,-67,870
64,66,7063,105,6,4960,-4960,4960,-4960,4960,-4960,1684,2345,1351,3250,2230,2618,53,899,15,729,-111,861
65,67,7172,107,1,5075,-5075,5075,-5075,5075,-5075,2005,2131,1672,3036,2551,2404,21,819,0,635,-37,741
66,68,7279,105,12,5095,-5095,5095,-5095,5095,-5095,2320,1921,1987,2826,2866,2194,42,779,45,565,30,722
67,69,7386,105,6,5099,-5099,5099,-5099,5099,-5099,2635,1711,2302,2616,3181,1984,116,779,134,506,126,639
68,70,7495,106,6,5100,-5100,5100,-5100,5100,-5100,2953,1499,2620,2404,3499,1772,221,671,299,329,244,546
69,71,7600,105,11,5100,-5100,5100,-5100,5100,-5100,3268,1289,2935,2194,3814,1562,274,577,313,353,363,537
