#Recorded data from Servotor32
#datetime: 07-09-2020_21h-02m-26s
#filename: tripod_x_b_sensors_closed_horizontal_floor_unloaded_07-09-2020_21h-02m-26s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: False
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.107,0.105,0.008,1.226,-1.226,1.226,-1.226,1.226,-1.226,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.0,0.497,-0.075,0.0,0.378,1.0,1.0,0.497,0.0,0.0,0.378,1.0,0.0,0.006,-0.006,0.013,-0.013,0.019,0.0,0.006,0.0,0.006,0.0,0.006,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.898,0.039,0.898,0.039,0.898,0.039,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.155,1.155,1.155,1.155,1.155
1,2,0.215,0.106,0.007,0.217,-0.217,0.217,-0.217,0.217,-0.217,4.218,-0.165,4.218,-0.165,4.218,-0.165,1.021,0.483,0.239,-0.047,0.415,0.574,1.0,0.483,0.239,0.0,0.415,0.574,-0.019,0.019,-0.019,0.019,-0.019,0.019,0.0,0.502,0.0,0.502,0.0,0.502,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.165,0.0,-0.165,0.0,-0.165,5.1,5.1,5.1,5.1,5.1,5.1,0.873,0.05,0.873,0.05,0.873,0.05,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.118,1.155,1.118,1.155,1.118
2,3,0.32,0.105,0.014,-2.027,2.027,-2.027,2.027,-2.027,2.027,4.008,0.15,4.008,0.15,4.008,0.15,0.989,0.215,0.507,-0.035,0.822,0.343,0.989,0.215,0.507,0.0,0.822,0.343,-1.507,1.507,-1.507,1.507,-1.507,1.507,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.165,0.0,-0.165,0.0,-0.165,5.1,5.1,5.1,5.1,5.1,5.1,0.843,0.07,0.843,0.07,0.843,0.07,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.118,1.155,1.118,1.155,1.118
3,4,0.428,0.106,0.008,-4.533,4.533,-4.533,4.533,-4.533,4.533,3.796,0.468,3.796,0.468,3.796,0.468,1.095,0.128,0.821,-0.129,0.778,0.157,1.0,0.128,0.821,0.0,0.778,0.157,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.165,0.0,-0.165,0.0,-0.165,5.1,5.1,5.1,5.1,5.1,5.1,0.808,0.097,0.808,0.097,0.808,0.097,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.118,1.155,1.118,1.155,1.118
4,5,0.535,0.105,0.015,-4.991,4.991,-4.991,4.991,-4.991,4.991,3.586,0.783,3.586,0.783,3.586,0.783,1.032,0.094,0.776,0.035,0.793,0.046,1.0,0.094,0.776,0.035,0.793,0.046,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.165,0.0,-0.165,0.0,-0.165,5.1,5.1,5.1,5.1,5.1,5.1,0.768,0.132,0.768,0.132,0.768,0.132,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.118,1.155,1.118,1.155,1.118
5,6,0.641,0.105,0.013,-5.079,5.079,-5.079,5.079,-5.079,5.079,3.376,1.098,3.376,1.098,3.376,1.098,1.021,0.081,0.567,0.188,0.911,0.185,1.0,0.081,0.567,0.188,0.911,0.185,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.165,0.0,-0.165,0.0,-0.165,5.1,5.1,5.1,5.1,5.1,5.1,0.722,0.178,0.722,0.178,0.722,0.178,5.1,0.261,2.892,0.825,4.646,0.809,1.155,1.118,1.155,1.118,1.155,1.118
6,7,0.75,0.106,0.007,-5.096,5.096,-5.096,5.096,-5.096,5.096,3.164,1.416,3.164,1.416,3.164,1.416,0.958,0.081,0.552,0.141,0.852,0.139,0.958,0.081,0.552,0.141,0.852,0.139,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.165,0.0,-0.165,0.0,-0.165,5.1,5.1,5.1,5.1,5.1,5.1,0.67,0.236,0.67,0.236,0.67,0.236,4.886,0.261,2.815,0.577,4.345,0.567,1.155,1.118,1.155,1.118,1.155,1.118
7,8,0.857,0.105,0.01,-5.099,5.099,-5.099,5.099,-5.099,5.099,2.954,1.731,2.954,1.731,2.954,1.731,0.926,0.141,0.597,0.188,0.785,0.185,0.926,0.141,0.597,0.188,0.785,0.185,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.165,0.0,-0.165,0.0,-0.165,5.1,5.1,5.1,5.1,5.1,5.1,0.615,0.305,0.615,0.305,0.615,0.305,4.723,0.577,3.045,0.825,4.004,0.809,1.155,1.118,1.155,1.118,1.155,1.118
8,9,0.963,0.105,0.007,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.744,2.046,2.744,2.046,2.744,2.046,1.0,0.208,0.612,0.212,0.696,0.176,1.0,0.208,0.612,0.212,0.696,0.176,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.165,0.0,-0.165,0.0,-0.165,5.1,5.1,5.1,5.1,5.1,5.1,0.556,0.384,0.556,0.384,0.556,0.384,5.1,0.93,3.121,0.951,3.55,0.762,1.155,1.118,1.155,1.118,1.155,1.118
9,10,1.071,0.106,0.008,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.532,2.364,2.532,2.364,2.532,2.364,1.105,0.268,0.672,0.318,0.674,0.269,1.0,0.268,0.672,0.318,0.674,0.269,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.165,0.0,-0.165,0.0,-0.165,5.1,5.1,5.1,5.1,5.1,5.1,0.495,0.471,0.495,0.471,0.495,0.471,5.1,1.246,3.427,1.509,3.437,1.251,1.155,1.118,1.155,1.118,1.155,1.118
