#Recorded data from Servotor32
#datetime: 07-09-2020_20h-31m-50s
#filename: tripod_x_b_sensors_closed_horizontal_floor_unloaded_07-09-2020_20h-31m-50s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,108,105,8,1213,-1213,1213,-1213,1213,-1213,4427,-221,4427,-221,4427,-221,1059,530,0,-12,480,1038
1,2,215,105,7,223,-223,223,-223,223,-223,4217,-170,4217,-170,4217,-170,1079,523,456,-37,559,587
2,3,320,105,14,-2005,2005,-2005,2005,-2005,2005,4007,145,4007,145,4007,145,1050,154,722,-49,849,346
3,4,428,105,9,-4505,4505,-4505,4505,-4505,4505,3797,460,3797,460,3797,460,1099,107,789,-110,836,10
4,5,535,105,16,-4986,4986,-4986,4986,-4986,4986,3587,775,3587,775,3587,775,1119,87,733,-61,888,-38
5,6,640,105,13,-5078,5078,-5078,5078,-5078,5078,3377,1090,3377,1090,3377,1090,1030,74,744,24,842,58
6,7,749,106,6,-5096,5096,-5096,5096,-5096,5096,3165,1408,3165,1408,3165,1408,1139,101,844,85,882,48
7,8,856,105,8,-5099,5099,-5099,5099,-5099,5099,2955,1723,2955,1723,2955,1723,1069,161,844,61,862,96
8,9,961,105,5,-5100,5100,-5100,5100,-5100,5100,2745,2038,2745,2038,2745,2038,1099,195,844,122,789,212
9,10,1070,107,7,-5100,5100,-5100,5100,-5100,5100,2531,2359,2531,2359,2531,2359,881,289,789,244,770,260
10,11,1177,105,10,-5100,5100,-5100,5100,-5100,5100,2321,2674,2321,2674,2321,2674,1050,342,800,207,691,317
11,12,1283,105,8,-5100,5100,-5100,5100,-5100,5100,2111,2989,2111,2989,2111,2989,832,450,689,317,645,317
12,13,1392,106,1,-5100,5100,-5100,5100,-5100,5100,1899,3307,1899,3307,1899,3307,822,523,533,439,618,481
13,14,1499,105,12,-5100,5100,-5100,5100,-5100,5100,1689,3622,1689,3622,1689,3622,663,631,478,512,447,548
14,15,1606,105,5,-5100,5100,-5100,5100,-5100,5100,1479,3937,1479,3937,1479,3937,673,752,467,585,487,654
15,16,1715,106,6,-5098,5098,-5098,5098,-5098,5098,1267,4252,1267,4255,1267,4255,525,799,367,720,382,721
16,17,1820,105,5,-5091,5091,-5091,5091,-5091,5091,1057,4537,1057,4569,1057,4570,485,893,378,732,303,721
17,18,1929,105,6,-5019,5019,-5019,5019,-5019,5019,847,4537,847,4884,847,4884,584,1020,489,720,46,712
18,19,2036,105,9,-4258,4258,-4258,4258,-4258,4258,637,4694,637,4787,637,4742,366,906,167,890,125,913
19,20,2141,105,5,-2251,2251,-2251,2251,-2251,2251,427,4484,427,4577,427,4532,317,980,111,854,145,865
20,21,2249,105,0,-433,433,-433,433,-433,433,217,4274,217,4367,252,4322,327,946,189,866,20,885
21,22,2357,105,2,12,-12,12,-12,12,-12,7,4064,19,4157,153,4112,396,1007,167,829,59,865
22,23,2463,105,4,323,-323,323,-323,323,-323,-203,3854,-180,3947,198,3902,396,416,233,805,72,817
23,24,2571,106,-1,762,-762,762,-762,762,-762,-358,3642,19,3735,413,3690,287,128,144,890,72,865
24,25,2678,105,3,2463,-2463,2463,-2463,2463,-2463,-43,3432,334,3525,728,3480,218,181,133,817,53,808
25,26,2786,105,6,4592,-4592,4592,-4592,4592,-4592,272,3222,649,3315,1043,3270,208,87,78,890,-26,846
26,27,2895,106,5,5006,-5006,5006,-5006,5006,-5006,590,3010,967,3103,1361,3058,59,81,78,841,26,885
27,28,3000,105,5,5082,-5082,5082,-5082,5082,-5082,905,2800,1282,2893,1676,2848,69,54,122,866,53,808
28,29,3109,106,6,5097,-5097,5097,-5097,5097,-5097,1223,2588,1600,2681,1994,2636,109,94,144,780,72,798
