#Recorded data from Servotor32
#datetime: 07-09-2020_20h-31m-50s
#filename: tripod_x_b_sensors_closed_horizontal_floor_unloaded_07-09-2020_20h-31m-50s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.108,0.105,0.008,1.213,-1.213,1.213,-1.213,1.213,-1.213,4.427,-0.221,4.427,-0.221,4.427,-0.221,1.059,0.53,0.0,-0.012,0.48,1.038,1.0,0.53,0.0,0.0,0.48,1.0,0.0,0.007,-0.007,0.014,-0.014,0.021,0.0,0.007,0.0,0.007,0.0,0.007,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.897,0.039,0.897,0.039,0.897,0.039,4.427,-0.221,4.427,-0.221,4.427,-0.221,1.155,1.155,1.155,1.155,1.155,1.155
1,2,0.215,0.105,0.007,0.223,-0.223,0.223,-0.223,0.223,-0.223,4.217,-0.17,4.217,-0.17,4.217,-0.17,1.079,0.523,0.456,-0.037,0.559,0.587,1.0,0.523,0.456,0.0,0.559,0.587,-0.021,0.021,-0.021,0.021,-0.021,0.021,0.0,0.498,0.0,0.498,0.0,0.498,2.55,2.465,2.55,2.465,2.55,2.465,0.0,-0.17,0.0,-0.17,0.0,-0.17,5.1,5.1,5.1,5.1,5.1,5.1,0.873,0.05,0.873,0.05,0.873,0.05,4.427,-0.221,4.427,-0.221,4.427,-0.221,1.155,1.117,1.155,1.117,1.155,1.117
2,3,0.32,0.105,0.014,-2.005,2.005,-2.005,2.005,-2.005,2.005,4.007,0.145,4.007,0.145,4.007,0.145,1.05,0.154,0.722,-0.049,0.849,0.346,1.0,0.154,0.722,0.0,0.849,0.346,-1.493,1.493,-1.493,1.493,-1.493,1.493,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.465,2.55,2.465,2.55,2.465,0.0,-0.17,0.0,-0.17,0.0,-0.17,5.1,5.1,5.1,5.1,5.1,5.1,0.843,0.07,0.843,0.07,0.843,0.07,4.427,-0.221,4.427,-0.221,4.427,-0.221,1.155,1.117,1.155,1.117,1.155,1.117
3,4,0.428,0.105,0.009,-4.505,4.505,-4.505,4.505,-4.505,4.505,3.797,0.46,3.797,0.46,3.797,0.46,1.099,0.107,0.789,-0.11,0.836,0.01,1.0,0.107,0.789,0.0,0.836,0.01,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.465,2.55,2.465,2.55,2.465,0.0,-0.17,0.0,-0.17,0.0,-0.17,5.1,5.1,5.1,5.1,5.1,5.1,0.808,0.096,0.808,0.096,0.808,0.096,4.427,-0.221,4.427,-0.221,4.427,-0.221,1.155,1.117,1.155,1.117,1.155,1.117
4,5,0.535,0.105,0.016,-4.986,4.986,-4.986,4.986,-4.986,4.986,3.587,0.775,3.587,0.775,3.587,0.775,1.119,0.087,0.733,-0.061,0.888,-0.038,1.0,0.087,0.733,0.0,0.888,0.0,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.465,2.55,2.465,2.55,2.465,0.0,-0.17,0.0,-0.17,0.0,-0.17,5.1,5.1,5.1,5.1,5.1,5.1,0.768,0.131,0.768,0.131,0.768,0.131,4.427,-0.221,4.427,-0.221,4.427,-0.221,1.155,1.117,1.155,1.117,1.155,1.117
5,6,0.64,0.105,0.013,-5.078,5.078,-5.078,5.078,-5.078,5.078,3.377,1.09,3.377,1.09,3.377,1.09,1.03,0.074,0.744,0.024,0.842,0.058,1.0,0.074,0.744,0.024,0.842,0.058,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.465,2.55,2.465,2.55,2.465,0.0,-0.17,0.0,-0.17,0.0,-0.17,5.1,5.1,5.1,5.1,5.1,5.1,0.722,0.177,0.722,0.177,0.722,0.177,5.1,0.22,3.794,-0.044,4.294,0.136,1.155,1.117,1.155,1.117,1.155,1.117
6,7,0.749,0.106,0.006,-5.096,5.096,-5.096,5.096,-5.096,5.096,3.165,1.408,3.165,1.408,3.165,1.408,1.139,0.101,0.844,0.085,0.882,0.048,1.0,0.101,0.844,0.085,0.882,0.048,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.465,2.55,2.465,2.55,2.465,0.0,-0.17,0.0,-0.17,0.0,-0.17,5.1,5.1,5.1,5.1,5.1,5.1,0.67,0.235,0.67,0.235,0.67,0.235,5.1,0.362,4.304,0.278,4.498,0.083,1.155,1.117,1.155,1.117,1.155,1.117
7,8,0.856,0.105,0.008,-5.099,5.099,-5.099,5.099,-5.099,5.099,2.955,1.723,2.955,1.723,2.955,1.723,1.069,0.161,0.844,0.061,0.862,0.096,1.0,0.161,0.844,0.061,0.862,0.096,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.465,2.55,2.465,2.55,2.465,0.0,-0.17,0.0,-0.17,0.0,-0.17,5.1,5.1,5.1,5.1,5.1,5.1,0.615,0.304,0.615,0.304,0.615,0.304,5.1,0.678,4.304,0.151,4.396,0.336,1.155,1.117,1.155,1.117,1.155,1.117
8,9,0.961,0.105,0.005,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.745,2.038,2.745,2.038,2.745,2.038,1.099,0.195,0.844,0.122,0.789,0.212,1.0,0.195,0.844,0.122,0.789,0.212,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.465,2.55,2.465,2.55,2.465,0.0,-0.17,0.0,-0.17,0.0,-0.17,5.1,5.1,5.1,5.1,5.1,5.1,0.556,0.383,0.556,0.383,0.556,0.383,5.1,0.858,4.304,0.473,4.024,0.947,1.155,1.117,1.155,1.117,1.155,1.117
9,10,1.07,0.107,0.007,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.531,2.359,2.531,2.359,2.531,2.359,0.881,0.289,0.789,0.244,0.77,0.26,0.881,0.289,0.789,0.244,0.77,0.26,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.465,2.55,2.465,2.55,2.465,0.0,-0.17,0.0,-0.17,0.0,-0.17,5.1,5.1,5.1,5.1,5.1,5.1,0.495,0.47,0.495,0.47,0.495,0.47,4.493,1.353,4.024,1.116,3.927,1.2,1.155,1.117,1.155,1.117,1.155,1.117
