#Recorded data from Servotor32
#datetime: 07-09-2020_23h-16m-23s
#filename: tripod_x_b_sensors_closed_horizontal_floor_loaded_07-09-2020_23h-16m-23s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,109,106,8,1169,-1169,1169,-1169,1169,-1169,4421,-224,4421,-224,4421,-224,1010,532,119,85,537,1051
1,2,216,105,9,212,-212,212,-212,212,-212,4211,-164,4211,-164,4211,-164,1048,449,524,-12,564,576
2,3,321,105,15,-2082,2082,-2082,2082,-2082,2082,4001,151,4001,151,4001,151,1133,218,845,-85,792,212
3,4,429,106,8,-4543,4543,-4543,4543,-4543,4543,3789,469,3789,469,3789,469,1067,141,798,-49,805,212
4,5,536,105,16,-4993,4993,-4993,4993,-4993,4993,3579,784,3579,784,3579,784,1000,77,774,37,919,0
5,6,641,105,14,-5079,5079,-5079,5079,-5079,5079,3369,1099,3369,1099,3369,1099,1019,77,881,61,960,51
6,7,750,105,8,-5096,5096,-5096,5096,-5096,5096,3159,1414,3159,1414,3159,1414,962,103,917,85,933,111
7,8,857,105,9,-5099,5099,-5099,5099,-5099,5099,2949,1729,2949,1729,2949,1729,1019,147,893,134,846,101
8,9,963,105,7,-5100,5100,-5100,5100,-5100,5100,2739,2044,2739,2044,2739,2044,857,205,857,207,839,81
9,10,1071,105,9,-5100,5100,-5100,5100,-5100,5100,2529,2359,2529,2359,2529,2359,895,250,821,305,859,253
10,11,1178,105,11,-5100,5100,-5100,5100,-5100,5100,2319,2674,2319,2674,2319,2674,790,269,774,341,664,323
11,12,1283,105,7,-5100,5100,-5100,5100,-5100,5100,2109,2989,2109,2989,2109,2989,743,397,798,378,711,283
12,13,1392,107,1,-5100,5100,-5100,5100,-5100,5100,1895,3310,1895,3310,1895,3310,667,500,524,585,698,535
13,14,1499,105,8,-5100,5100,-5100,5100,-5100,5100,1685,3625,1685,3625,1685,3625,610,603,500,585,651,586
14,15,1606,105,6,-5100,5100,-5100,5100,-5100,5100,1475,3940,1475,3939,1475,3940,476,692,405,756,537,737
