#Recorded data from Servotor32
#datetime: 07-09-2020_23h-16m-23s
#filename: tripod_x_b_sensors_closed_horizontal_floor_loaded_07-09-2020_23h-16m-23s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.109,0.106,0.008,1.169,-1.169,1.169,-1.169,1.169,-1.169,4.421,-0.224,4.421,-0.224,4.421,-0.224,1.01,0.532,0.119,0.085,0.537,1.051,1.0,0.532,0.119,0.085,0.537,1.0,0.0,0.009,-0.009,0.018,-0.018,0.026,0.0,0.009,0.0,0.009,0.0,0.009,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.897,0.039,0.897,0.039,0.897,0.039,4.421,-0.224,4.421,-0.224,4.421,-0.224,1.155,1.155,1.155,1.155,1.155,1.155
1,2,0.216,0.105,0.009,0.212,-0.212,0.212,-0.212,0.212,-0.212,4.211,-0.164,4.211,-0.164,4.211,-0.164,1.048,0.449,0.524,-0.012,0.564,0.576,1.0,0.449,0.524,0.0,0.564,0.576,-0.026,0.026,-0.026,0.026,-0.026,0.026,0.0,0.515,0.0,0.515,0.0,0.515,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.164,0.0,-0.164,0.0,-0.164,5.1,5.1,5.1,5.1,5.1,5.1,0.872,0.05,0.872,0.05,0.872,0.05,4.421,-0.224,4.421,-0.224,4.421,-0.224,1.155,1.119,1.155,1.119,1.155,1.119
2,3,0.321,0.105,0.015,-2.082,2.082,-2.082,2.082,-2.082,2.082,4.001,0.151,4.001,0.151,4.001,0.151,1.133,0.218,0.845,-0.085,0.792,0.212,1.0,0.218,0.845,0.0,0.792,0.212,-1.545,1.545,-1.545,1.545,-1.545,1.545,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.164,0.0,-0.164,0.0,-0.164,5.1,5.1,5.1,5.1,5.1,5.1,0.842,0.07,0.842,0.07,0.842,0.07,4.421,-0.224,4.421,-0.224,4.421,-0.224,1.155,1.119,1.155,1.119,1.155,1.119
3,4,0.429,0.106,0.008,-4.543,4.543,-4.543,4.543,-4.543,4.543,3.789,0.469,3.789,0.469,3.789,0.469,1.067,0.141,0.798,-0.049,0.805,0.212,1.0,0.141,0.798,0.0,0.805,0.212,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.164,0.0,-0.164,0.0,-0.164,5.1,5.1,5.1,5.1,5.1,5.1,0.807,0.097,0.807,0.097,0.807,0.097,4.421,-0.224,4.421,-0.224,4.421,-0.224,1.155,1.119,1.155,1.119,1.155,1.119
4,5,0.536,0.105,0.016,-4.993,4.993,-4.993,4.993,-4.993,4.993,3.579,0.784,3.579,0.784,3.579,0.784,1.0,0.077,0.774,0.037,0.919,0.0,1.0,0.077,0.774,0.037,0.919,0.0,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.164,0.0,-0.164,0.0,-0.164,5.1,5.1,5.1,5.1,5.1,5.1,0.766,0.132,0.766,0.132,0.766,0.132,4.421,-0.224,4.421,-0.224,4.421,-0.224,1.155,1.119,1.155,1.119,1.155,1.119
5,6,0.641,0.105,0.014,-5.079,5.079,-5.079,5.079,-5.079,5.079,3.369,1.099,3.369,1.099,3.369,1.099,1.019,0.077,0.881,0.061,0.96,0.051,1.0,0.077,0.881,0.061,0.96,0.051,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.164,0.0,-0.164,0.0,-0.164,5.1,5.1,5.1,5.1,5.1,5.1,0.72,0.178,0.72,0.178,0.72,0.178,5.1,0.241,4.493,0.157,4.896,0.104,1.155,1.119,1.155,1.119,1.155,1.119
6,7,0.75,0.105,0.008,-5.096,5.096,-5.096,5.096,-5.096,5.096,3.159,1.414,3.159,1.414,3.159,1.414,0.962,0.103,0.917,0.085,0.933,0.111,0.962,0.103,0.917,0.085,0.933,0.111,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.164,0.0,-0.164,0.0,-0.164,5.1,5.1,5.1,5.1,5.1,5.1,0.669,0.235,0.669,0.235,0.669,0.235,4.906,0.378,4.677,0.283,4.758,0.42,1.155,1.119,1.155,1.119,1.155,1.119
7,8,0.857,0.105,0.009,-5.099,5.099,-5.099,5.099,-5.099,5.099,2.949,1.729,2.949,1.729,2.949,1.729,1.019,0.147,0.893,0.134,0.846,0.101,1.0,0.147,0.893,0.134,0.846,0.101,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.164,0.0,-0.164,0.0,-0.164,5.1,5.1,5.1,5.1,5.1,5.1,0.613,0.304,0.613,0.304,0.613,0.304,5.1,0.61,4.554,0.541,4.315,0.368,1.155,1.119,1.155,1.119,1.155,1.119
8,9,0.963,0.105,0.007,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.739,2.044,2.739,2.044,2.739,2.044,0.857,0.205,0.857,0.207,0.839,0.081,0.857,0.205,0.857,0.207,0.839,0.081,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.164,0.0,-0.164,0.0,-0.164,5.1,5.1,5.1,5.1,5.1,5.1,0.554,0.384,0.554,0.384,0.554,0.384,4.371,0.915,4.371,0.926,4.279,0.262,1.155,1.119,1.155,1.119,1.155,1.119
9,10,1.071,0.105,0.009,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.529,2.359,2.529,2.359,2.529,2.359,0.895,0.25,0.821,0.305,0.859,0.253,0.895,0.25,0.821,0.305,0.859,0.253,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.468,2.55,2.468,2.55,2.468,0.0,-0.164,0.0,-0.164,0.0,-0.164,5.1,5.1,5.1,5.1,5.1,5.1,0.494,0.47,0.494,0.47,0.494,0.47,4.564,1.152,4.187,1.442,4.381,1.168,1.155,1.119,1.155,1.119,1.155,1.119
