#Recorded data from Servotor32
#datetime: 06-09-2020_20h-24m-29s
#filename: tetrapod_x_b_sensors_closed_horizontal_air_unloaded_06-09-2020_20h-24m-29s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,5635,135,3135,5635,3135,135,539,571,559,507,500,496
1,0,0,105,0,5327,-5327,0,5327,0,-5327,5586,-7,2993,5586,2993,-7,549,543,570,493,485,461
2,1,109,105,7,1881,-1881,0,1881,0,-1881,5444,-148,2852,5444,2852,-148,539,529,548,522,500,504
3,2,216,105,16,362,-361,0,362,0,-361,5303,-156,2710,5303,2710,-156,696,414,527,623,492,322
4,3,324,106,8,67,1188,-1255,67,-1255,1188,5159,231,2567,5159,2567,231,922,100,473,899,447,96
5,4,432,105,12,13,5069,-5082,13,-5082,5069,5018,614,2425,5018,2425,614,951,43,452,928,432,-35
6,5,537,105,18,2,5821,-5823,2,-5823,5821,4876,997,2283,4876,2283,997,961,50,409,913,394,43
7,6,645,106,8,0,5967,-5967,0,-5967,5967,4733,1384,2140,4733,2140,1384,961,121,376,913,371,61
8,7,752,106,9,0,5994,-5994,0,-5994,5994,4590,1771,1997,4590,1997,1771,931,150,333,899,318,78
9,8,857,105,5,0,5999,-5999,0,-5999,5999,4448,2154,1855,4448,1855,2154,922,143,312,913,303,113
10,9,966,106,4,0,6000,-6000,0,-6000,6000,4305,2541,1712,4305,1712,2541,902,200,290,913,280,209
11,10,1074,105,10,0,6000,-6000,0,-6000,6000,4163,2924,1570,4163,1570,2924,902,279,280,913,227,296
12,11,1179,105,5,0,6000,-6000,0,-6000,6000,4021,3308,1429,4021,1429,3308,873,357,237,870,212,348
13,12,1286,105,5,0,6000,-6000,0,-6000,6000,3880,3691,1287,3880,1287,3691,843,479,204,870,182,496
14,13,1393,105,5,0,6000,-6000,0,-6000,6000,3738,4074,1145,3738,1145,4074,814,557,151,855,167,539
15,14,1498,105,5,0,6000,-6000,0,-6000,6000,3596,4457,1003,3596,1003,4457,824,636,172,841,152,626
