#Recorded data from Servotor32
#datetime: 06-09-2020_20h-27m-19s
#filename: tripod_x_b_sensors_closed_horizontal_air_unloaded_06-09-2020_20h-27m-19s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,514,496,527,536,504,528
1,0,0,105,0,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,514,482,527,507,496,528
2,1,105,105,12,1226,-1226,1226,-1226,1226,-1226,4430,-219,4430,-219,4430,-219,514,496,527,522,504,537
3,2,212,105,3,226,-226,226,-226,226,-226,4220,-171,4220,-171,4220,-171,692,390,769,246,586,317
4,3,320,105,12,-1977,1977,-1977,1977,-1977,1977,4010,144,4010,144,4010,144,879,92,934,58,880,138
5,4,425,105,14,-4499,4499,-4499,4499,-4499,4499,3800,459,3800,459,3800,459,888,71,945,43,925,0
6,5,532,105,8,-4984,4984,-4984,4984,-4984,4984,3590,774,3590,774,3590,774,897,64,934,58,910,106
7,6,640,105,12,-5078,5078,-5078,5078,-5078,5078,3380,1089,3380,1089,3380,1089,860,64,912,58,895,106
8,7,745,105,5,-5096,5096,-5096,5096,-5096,5096,3170,1404,3170,1404,3170,1404,841,99,978,87,842,130
9,8,853,106,3,-5099,5099,-5099,5099,-5099,5099,2958,1722,2958,1722,2958,1722,813,142,846,72,812,122
10,9,960,106,8,-5100,5100,-5100,5100,-5100,5100,2746,2040,2746,2040,2746,2040,748,191,802,174,759,211
11,10,1065,105,8,-5100,5100,-5100,5100,-5100,5100,2536,2355,2536,2355,2536,2355,701,262,714,232,714,317
12,11,1173,105,3,-5100,5100,-5100,5100,-5100,5100,2326,2670,2326,2670,2326,2670,645,355,692,333,639,358
13,12,1280,105,12,-5100,5100,-5100,5100,-5100,5100,2116,2985,2116,2985,2116,2985,579,418,615,406,579,480
14,13,1385,105,5,-5100,5100,-5100,5100,-5100,5100,1906,3300,1906,3300,1906,3300,523,518,571,493,534,537
15,14,1494,106,4,-5100,5100,-5100,5100,-5100,5100,1694,3618,1694,3618,1694,3618,449,617,484,594,444,626
16,15,1601,105,4,-5100,5100,-5100,5100,-5100,5100,1484,3932,1484,3933,1484,3932,383,695,418,638,383,691
17,16,1706,105,4,-5099,5099,-5099,5099,-5099,5099,1274,4246,1274,4247,1274,4246,318,773,341,754,316,780
18,17,1814,106,4,-5090,5090,-5090,5090,-5090,5090,1062,4560,1062,4561,1062,4558,271,816,275,812,263,829
19,18,1921,105,5,-5063,5063,-5063,5063,-5063,5063,852,4865,852,4863,852,4854,215,844,198,855,218,870
20,19,2026,105,5,-4983,4983,-4983,4983,-4983,4983,642,5110,642,5099,642,5062,178,908,165,913,165,927
21,20,2134,105,5,-4406,4406,-4406,4406,-4406,4406,432,4973,432,5015,432,4946,150,936,121,913,120,927
22,21,2241,105,3,-1613,1613,-1613,1613,-1613,1613,222,4763,222,4805,222,4736,178,957,77,942,98,943
23,22,2347,105,5,-310,310,-310,310,-310,310,22,4553,26,4595,31,4526,103,957,88,928,75,943
24,23,2455,105,2,53,-53,53,-53,53,-53,-90,4343,-69,4385,5,4316,75,950,66,957,38,951
25,24,2562,105,2,1052,-1052,1052,-1052,1052,-1052,222,4133,231,4175,315,4106,19,943,88,957,30,951
26,25,2668,105,5,4261,-4261,4261,-4261,4261,-4261,537,3923,546,3965,630,3896,19,936,77,942,23,943
