#Recorded data from Servotor32
#datetime: 06-09-2020_20h-21m-38s
#filename: wave_x_b_sensors_closed_horizontal_air_unloaded_06-09-2020_20h-21m-38s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,6565,65,1465,2865,4265,5665,529,535,544,529,496,496
1,0,0,106,-1,6414,-6420,-3851,-1283,1286,3854,6666,-4,1396,2796,4196,5596,520,528,544,544,504,496
2,1,108,105,6,3040,-3042,-1825,-608,609,1826,6597,-72,1328,2728,4128,5528,520,528,533,515,504,496
3,2,215,105,14,585,-585,-351,-117,117,351,6529,-103,1260,2660,4060,5460,637,451,378,324,571,538
4,3,321,105,8,355,292,-470,-266,-59,148,6461,290,1192,2591,3991,5391,912,118,156,397,594,795
5,4,430,106,6,3073,5067,-5098,-3058,-1014,1030,6392,751,1123,2522,3922,5323,941,56,122,353,602,829
6,5,536,105,15,3983,6628,-6634,-3980,-1326,1329,6324,1208,1054,2454,3854,5254,951,49,133,353,602,838
7,6,644,105,9,4158,6928,-6930,-4158,-1386,1386,6255,1665,986,2386,3786,5186,941,83,122,353,594,838
8,7,752,105,5,4192,6986,-6987,-4192,-1397,1397,6187,2121,918,2318,3718,5118,941,111,111,368,571,838
9,8,858,105,5,4199,6997,-6998,-4198,-1399,1400,6119,2578,850,2249,3649,5050,941,160,78,353,579,821
10,9,967,106,4,4200,6999,-7000,-4200,-1400,1400,6050,3039,781,2181,3581,4981,941,215,89,368,556,803
11,10,1075,105,5,4200,7000,-7000,-4200,-1400,1400,5982,3496,713,2112,3512,4912,931,285,78,279,534,812
12,11,1181,105,6,4200,7000,-7000,-4200,-1400,1400,5914,3953,644,2044,3444,4844,951,375,111,265,519,795
13,12,1290,106,5,4200,7000,-7000,-4200,-1400,1400,5845,4414,575,1975,3375,4775,951,424,89,162,504,786
14,13,1396,105,3,4200,7000,-7000,-4200,-1400,1400,5777,4870,507,1907,3307,4707,902,563,89,279,481,761
