#Recorded data from Servotor32
#datetime: 06-09-2020_20h-21m-38s
#filename: wave_x_b_sensors_closed_horizontal_air_unloaded_06-09-2020_20h-21m-38s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,7.0,-7.0,-4.2,-1.4,1.4,4.2,6.565,0.065,1.465,2.865,4.265,5.665,0.529,0.535,0.544,0.529,0.496,0.496,0.529,0.535,0.544,0.529,0.496,0.496,0.898,-0.898,-0.539,-0.18,0.18,0.539,0.898,0.0,0.0,0.0,0.0,0.001,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.929,0.053,0.153,0.37,0.656,0.861,6.565,0.065,1.465,2.865,4.265,5.665,0.841,0.841,0.841,0.841,0.841,0.841
1,0,0.0,0.106,-0.001,6.414,-6.42,-3.851,-1.283,1.286,3.854,6.666,-0.004,1.396,2.796,4.196,5.596,0.52,0.528,0.544,0.544,0.504,0.496,0.52,0.528,0.544,0.544,0.504,0.496,0.897,-0.898,-0.539,-0.179,0.18,0.539,0.32,0.0,0.0,0.0,0.0,0.0,3.5,3.498,3.5,3.5,3.5,3.5,0.0,-0.004,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.935,0.05,0.146,0.356,0.642,0.854,6.565,0.065,1.465,2.865,4.265,5.665,0.841,0.841,0.841,0.841,0.841,0.841
2,1,0.108,0.105,0.006,3.04,-3.042,-1.825,-0.608,0.609,1.826,6.597,-0.072,1.328,2.728,4.128,5.528,0.52,0.528,0.533,0.515,0.504,0.496,0.52,0.528,0.533,0.515,0.504,0.496,0.32,-0.32,-0.192,-0.064,0.064,0.192,0.0,0.0,0.0,0.0,0.0,0.0,3.333,3.464,3.5,3.5,3.5,3.5,0.0,-0.072,0.0,0.0,0.0,0.0,6.666,7.0,7.0,7.0,7.0,7.0,0.947,0.05,0.139,0.343,0.629,0.846,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.833,0.841,0.841,0.841,0.841
3,2,0.215,0.105,0.014,0.585,-0.585,-0.351,-0.117,0.117,0.351,6.529,-0.103,1.26,2.66,4.06,5.46,0.637,0.451,0.378,0.324,0.571,0.538,0.637,0.451,0.378,0.324,0.571,0.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,3.333,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.666,7.0,7.0,7.0,7.0,7.0,0.944,0.05,0.132,0.33,0.616,0.839,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.829,0.841,0.841,0.841,0.841
4,3,0.321,0.105,0.008,0.355,0.292,-0.47,-0.266,-0.059,0.148,6.461,0.29,1.192,2.591,3.991,5.391,0.912,0.118,0.156,0.397,0.594,0.795,0.912,0.118,0.156,0.397,0.594,0.795,0.043,0.072,-0.071,-0.043,-0.014,0.014,0.0,0.878,0.0,0.0,0.0,0.0,3.333,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.666,7.0,7.0,7.0,7.0,7.0,0.941,0.068,0.125,0.318,0.602,0.831,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.829,0.841,0.841,0.841,0.841
5,4,0.43,0.106,0.006,3.073,5.067,-5.098,-3.058,-1.014,1.03,6.392,0.751,1.123,2.522,3.922,5.323,0.941,0.056,0.122,0.353,0.602,0.829,0.941,0.056,0.122,0.353,0.602,0.829,0.527,0.878,-0.878,-0.527,-0.176,0.176,0.0,1.0,0.0,0.0,0.0,0.0,3.333,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.666,7.0,7.0,7.0,7.0,7.0,0.937,0.097,0.119,0.305,0.588,0.823,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.829,0.841,0.841,0.841,0.841
6,5,0.536,0.105,0.015,3.983,6.628,-6.634,-3.98,-1.326,1.329,6.324,1.208,1.054,2.454,3.854,5.254,0.951,0.049,0.133,0.353,0.602,0.838,0.951,0.049,0.133,0.353,0.602,0.838,0.6,1.0,-1.0,-0.6,-0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,3.333,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.666,7.0,7.0,7.0,7.0,7.0,0.934,0.135,0.113,0.293,0.574,0.814,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.829,0.841,0.841,0.841,0.841
7,6,0.644,0.105,0.009,4.158,6.928,-6.93,-4.158,-1.386,1.386,6.255,1.665,0.986,2.386,3.786,5.186,0.941,0.083,0.122,0.353,0.594,0.838,0.941,0.083,0.122,0.353,0.594,0.838,0.6,1.0,-1.0,-0.6,-0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,3.333,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.666,7.0,7.0,7.0,7.0,7.0,0.93,0.186,0.108,0.281,0.56,0.805,6.273,0.487,0.854,2.471,4.158,5.866,0.883,0.829,0.841,0.841,0.841,0.841
8,7,0.752,0.105,0.005,4.192,6.986,-6.987,-4.192,-1.397,1.397,6.187,2.121,0.918,2.318,3.718,5.118,0.941,0.111,0.111,0.368,0.571,0.838,0.941,0.111,0.111,0.368,0.571,0.838,0.6,1.0,-1.0,-0.6,-0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,3.333,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.666,7.0,7.0,7.0,7.0,7.0,0.926,0.25,0.102,0.27,0.546,0.796,6.273,0.685,0.777,2.576,3.997,5.866,0.883,0.829,0.841,0.841,0.841,0.841
9,8,0.858,0.105,0.005,4.199,6.997,-6.998,-4.198,-1.399,1.4,6.119,2.578,0.85,2.249,3.649,5.05,0.941,0.16,0.078,0.353,0.579,0.821,0.941,0.16,0.078,0.353,0.579,0.821,0.6,1.0,-1.0,-0.6,-0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,3.333,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.666,7.0,7.0,7.0,7.0,7.0,0.921,0.327,0.097,0.259,0.531,0.787,6.273,1.033,0.546,2.471,4.053,5.747,0.883,0.829,0.841,0.841,0.841,0.841
