#Recorded data from Servotor32
#datetime: 06-09-2020_19h-59m-14s
#filename: wave_x_b_sensors_closed_horizontal_floor_unloaded_06-09-2020_19h-59m-14s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,6565,65,1465,2865,4265,5665,515,532,532,521,500,500
1,0,0,105,0,6419,-6425,-3855,-1284,1287,3858,6668,-3,1397,2797,4197,5597,515,525,500,504,477,474
2,1,106,105,13,3075,-3078,-1846,-615,616,1847,6600,-71,1329,2729,4129,5529,515,525,500,504,470,466
3,2,215,106,5,568,-568,-341,-114,114,341,6531,-100,1260,2660,4060,5460,738,355,339,419,485,560
4,3,322,105,14,371,327,-500,-284,-66,152,6462,302,1192,2591,3991,5391,903,135,169,350,364,741
5,4,427,105,7,3104,5118,-5150,-3089,-1024,1040,6394,758,1123,2523,3923,5323,913,121,81,359,500,776
6,5,537,106,6,3998,6653,-6659,-3995,-1331,1334,6325,1219,1054,2454,3854,5254,932,64,97,342,492,759
7,6,644,105,17,4161,6933,-6934,-4161,-1387,1387,6257,1676,986,2386,3786,5186,913,57,97,333,500,759
8,7,752,105,3,4193,6987,-6988,-4192,-1397,1398,6189,2133,918,2318,3718,5118,932,113,97,333,485,664
9,8,860,106,3,4199,6997,-6998,-4199,-1399,1400,6120,2594,849,2249,3649,5049,922,149,97,239,424,759
10,9,965,105,4,4200,6999,-7000,-4200,-1400,1400,6052,3051,781,2181,3581,4981,922,191,89,316,492,767
11,10,1074,106,4,4200,7000,-7000,-4200,-1400,1400,5983,3512,712,2112,3512,4912,932,284,97,316,492,767
12,11,1181,105,4,4200,7000,-7000,-4200,-1400,1400,5915,3969,644,2043,3443,4843,932,362,97,282,492,741
13,12,1286,105,4,4200,7000,-7000,-4200,-1400,1400,5846,4425,575,1975,3375,4775,922,468,121,282,500,750
14,13,1394,106,3,4200,7000,-7000,-4200,-1400,1400,5777,4886,506,1906,3306,4706,932,631,65,231,477,741
15,14,1501,105,2,4200,7000,-7000,-4200,-1400,1400,5709,5343,438,1838,3238,4638,922,652,65,231,455,741
16,15,1606,105,4,4200,7000,-7000,-4200,-1400,1400,5641,5800,370,1770,3170,4570,913,759,56,239,470,750
17,16,1713,105,4,4200,6998,-6999,-4199,-1400,1400,5573,6256,302,1702,3102,4502,932,823,65,222,424,716
18,17,1820,105,3,4194,6989,-6989,-4194,-1398,1398,5505,6708,233,1633,3033,4433,932,865,65,222,432,698
19,18,1926,105,5,4169,6948,-6949,-4169,-1390,1390,5436,7140,165,1565,2965,4365,922,908,48,197,409,716
20,19,2034,105,4,4036,6725,-6726,-4035,-1345,1345,5368,7331,97,1497,2897,4297,932,943,65,179,402,698
21,20,2141,105,3,2454,4090,-4090,-2454,-818,818,5300,7263,29,1429,2829,4229,922,965,56,179,379,664
22,21,2246,105,3,472,787,-787,-472,-157,157,5232,7195,-38,1360,2760,4160,922,965,65,179,356,655
23,22,2354,105,4,93,158,-139,-101,-38,27,5163,7127,57,1293,2692,4092,913,943,8,179,402,655
24,23,2461,105,1,370,1093,1746,-1782,-1075,-352,5095,7058,514,1224,2624,4024,903,943,8,171,333,629
25,24,2566,105,4,1202,3602,5989,-5995,-3598,-1198,5027,6990,971,1156,2556,3956,883,943,0,154,311,603
26,25,2674,106,4,1363,4090,6813,-6815,-4089,-1363,4958,6921,1432,1087,2487,3887,874,943,73,145,303,578
27,26,2781,105,6,1393,4179,6964,-6964,-4179,-1393,4890,6853,1889,1019,2418,3818,874,943,81,162,303,595
28,27,2886,105,4,1399,4196,6993,-6993,-4196,-1399,4821,6785,2346,951,2350,3750,864,936,97,162,303,578
29,28,2994,106,4,1400,4199,6999,-6999,-4199,-1400,4753,6716,2807,882,2281,3681,874,943,177,154,280,552
30,29,3101,105,5,1400,4200,7000,-7000,-4200,-1400,4684,6648,3263,814,2213,3613,864,929,234,154,288,569
31,30,3206,105,4,1400,4200,7000,-7000,-4200,-1400,4616,6579,3720,745,2145,3545,893,929,306,145,258,534
32,31,3314,106,4,1400,4200,7000,-7000,-4200,-1400,4547,6510,4181,676,2076,3476,864,943,452,120,258,509
33,32,3421,105,3,1400,4200,7000,-7000,-4200,-1400,4479,6442,4638,608,2008,3408,845,936,516,128,250,517
34,33,3527,105,4,1400,4200,7000,-7000,-4200,-1400,4411,6374,5095,540,1939,3339,854,929,613,94,242,491
35,34,3636,106,4,1400,4200,7000,-7000,-4200,-1400,4342,6305,5556,471,1870,3270,845,915,605,94,250,483
36,35,3742,105,2,1400,4200,7000,-7000,-4200,-1400,4274,6237,6012,403,1802,3202,796,894,766,103,144,474
37,36,3847,105,4,1400,4199,6998,-6999,-4199,-1400,4205,6169,6468,335,1734,3134,796,943,831,85,189,457
38,37,3956,106,5,1397,4191,6985,-6985,-4191,-1397,4136,6100,6915,266,1665,3065,806,901,895,77,182,448
39,38,4063,105,3,1370,4109,6849,-6849,-4109,-1370,4068,6031,7327,197,1597,2997,845,901,911,85,114,440
40,39,4171,105,2,1297,3891,6486,-6486,-3891,-1297,4000,5963,7283,129,1529,2929,767,901,968,85,167,422
41,40,4280,106,1,293,878,1464,-1464,-878,-293,3931,5894,7214,60,1460,2860,757,901,952,77,159,397
42,41,4385,105,4,56,169,282,-281,-169,-57,3863,5826,7146,1,1393,2791,854,887,952,77,144,405
43,42,4492,105,3,-17,48,113,48,-109,-82,3794,5758,7078,24,1327,2723,728,894,976,51,136,371
44,43,4600,106,3,-219,202,623,1020,-987,-640,3726,5689,7009,452,1258,2654,728,929,952,68,159,379
45,44,4705,105,4,-1102,1099,3299,5495,-5489,-3303,3657,5621,6940,908,1190,2586,670,879,944,60,121,345
46,45,4813,106,3,-1345,1344,4034,6722,-6721,-4034,3588,5552,6871,1370,1121,2517,592,887,960,51,91,310
47,46,4920,105,4,-1389,1389,4168,6947,-6946,-4168,3520,5483,6803,1826,1053,2449,612,894,944,43,76,310
48,47,5025,105,4,-1398,1398,4194,6990,-6990,-4194,3452,5415,6735,2283,985,2381,573,879,944,77,98,310
49,48,5133,105,4,-1400,1400,4199,6998,-6998,-4199,3384,5347,6667,2740,916,2312,573,894,935,145,68,276
50,49,5240,105,5,-1400,1400,4200,7000,-7000,-4200,3315,5279,6598,3197,848,2244,524,894,944,214,23,293
51,50,5346,105,4,-1400,1400,4200,7000,-7000,-4200,3247,5210,6530,3653,780,2176,534,922,944,308,76,276
52,51,5453,105,4,-1400,1400,4200,7000,-7000,-4200,3179,5142,6462,4110,712,2108,534,879,935,393,68,241
53,52,5560,105,4,-1400,1400,4200,7000,-7000,-4200,3111,5074,6394,4567,643,2039,495,865,935,470,76,276
54,53,5665,105,3,-1400,1400,4200,7000,-7000,-4200,3042,5006,6325,5024,575,1971,476,915,919,590,-8,241
55,54,5773,105,4,-1400,1400,4200,7000,-7000,-4200,2974,4937,6257,5480,507,1903,466,851,935,667,68,224
56,55,5880,106,1,-1400,1400,4200,7000,-7000,-4200,2905,4869,6188,5941,438,1834,437,879,927,761,83,250
57,56,5985,105,3,-1400,1400,4199,6999,-6999,-4199,2837,4800,6120,6397,370,1766,437,858,911,812,45,250
58,57,6093,106,3,-1398,1398,4195,6992,-6992,-4195,2768,4731,6051,6852,301,1697,417,844,919,872,53,207
59,58,6200,106,1,-1386,1386,4159,6932,-6932,-4159,2699,4663,5982,7294,232,1628,437,844,919,897,61,207
60,59,6305,105,4,-1355,1355,4066,6776,-6776,-4066,2631,4594,5914,7364,164,1560,379,837,919,957,53,198
61,60,6415,106,4,-551,551,1652,2754,-2754,-1652,2562,4525,5845,7295,95,1491,437,844,919,957,38,155
62,61,6522,105,2,-106,106,318,530,-530,-318,2494,4457,5777,7226,31,1423,359,816,952,957,61,181
63,62,6627,105,4,-51,10,70,131,-53,-107,2426,4389,5709,7158,98,1356,359,773,879,940,23,155
64,63,6736,106,4,-905,-301,304,908,1467,-1473,2357,4320,5640,7089,558,1287,330,766,863,949,23,164
65,64,6843,105,3,-3561,-1187,1187,3561,5927,-5928,2288,4252,5571,7021,1015,1219,311,766,855,966,15,164
66,65,6953,106,2,-4082,-1361,1361,4082,6802,-6802,2220,4183,5503,6952,1476,1150,311,752,863,949,8,138
67,66,7060,105,4,-4177,-1392,1392,4177,6962,-6962,2151,4115,5434,6884,1933,1081,311,745,855,957,15,138
68,67,7165,105,4,-4196,-1399,1399,4196,6993,-6993,2083,4046,5366,6816,2389,1013,301,716,815,949,91,138
69,68,7273,105,4,-4199,-1400,1400,4199,6999,-6999,2015,3978,5298,6747,2846,945,262,709,823,949,114,129
70,69,7380,105,2,-4200,-1400,1400,4200,7000,-7000,1947,3910,5230,6679,3303,877,320,787,831,949,136,121
71,70,7485,105,4,-4200,-1400,1400,4200,7000,-7000,1878,3842,5161,6611,3760,808,233,695,798,949,295,129
72,71,7593,106,3,-4200,-1400,1400,4200,7000,-7000,1809,3773,5092,6542,4221,740,243,674,806,949,402,112
73,72,7700,105,2,-4200,-1400,1400,4200,7000,-7000,1741,3704,5024,6474,4677,671,223,674,790,949,462,112
