#Recorded data from Servotor32
#datetime: 06-09-2020_19h-53m-51s
#filename: tetrapod_x_b_sensors_closed_horizontal_floor_unloaded_06-09-2020_19h-53m-51s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,5635,135,3135,5635,3135,135,545,528,553,496,477,431
1,0,0,105,4,5327,-5327,0,5327,0,-5327,5586,-7,2993,5586,2993,-7,525,528,528,504,492,495
2,1,105,105,7,1881,-1881,0,1881,0,-1881,5444,-148,2852,5444,2852,-148,535,528,545,504,485,477
3,2,214,106,6,347,-347,0,347,0,-347,5301,-148,2708,5301,2708,-148,743,373,520,639,455,321
4,3,321,105,16,67,1245,-1311,67,-1311,1245,5159,235,2567,5159,2567,235,911,92,496,891,447,83
5,4,428,105,8,13,5081,-5094,13,-5094,5081,5018,618,2425,5018,2425,618,950,49,463,924,417,0
6,5,537,105,11,2,5823,-5826,2,-5826,5823,4876,1001,2283,4876,2283,1001,941,49,439,908,394,37
7,6,642,105,17,0,5966,-5966,0,-5966,5966,4734,1384,2141,4734,2141,1384,931,63,407,924,371,55
8,7,749,105,3,0,5993,-5994,0,-5994,5993,4592,1768,2000,4592,2000,1768,941,106,398,908,356,73
9,8,857,105,9,0,5999,-5999,0,-5999,5999,4451,2151,1858,4451,1858,2151,931,141,366,908,348,128
10,9,962,105,5,0,6000,-6000,0,-6000,6000,4309,2534,1716,4309,1716,2534,881,204,333,916,326,183
11,10,1071,106,4,0,6000,-6000,0,-6000,6000,4166,2921,1573,4166,1573,2921,881,289,333,891,288,321
12,11,1178,105,8,0,6000,-6000,0,-6000,6000,4024,3304,1431,4024,1431,3304,871,352,293,866,182,339
13,12,1283,105,6,0,6000,-6000,0,-6000,6000,3882,3688,1290,3882,1290,3688,832,451,276,857,280,468
14,13,1392,106,4,0,6000,-6000,0,-6000,6000,3739,4074,1146,3739,1146,4074,812,563,260,815,235,578
15,14,1499,105,5,0,6000,-6000,0,-6000,6000,3597,4458,1005,3597,1005,4458,802,620,244,798,212,642
