#Recorded data from Servotor32
#datetime: 06-09-2020_19h-41m-24s
#filename: tripod_x_b_sensors_closed_horizontal_floor_unloaded_06-09-2020_19h-41m-24s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,524,524,528,509,489,517
1,0,0,105,0,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,495,531,488,509,398,474
2,1,105,105,7,1226,-1226,1226,-1226,1226,-1226,4430,-219,4430,-219,4430,-219,505,531,488,491,436,457
3,2,214,106,6,217,-217,217,-217,217,-217,4218,-165,4218,-165,4218,-165,718,413,691,302,556,276
4,3,321,105,17,-2027,2027,-2027,2027,-2027,2027,4008,150,4008,150,4008,150,913,168,829,60,797,60
5,4,429,106,7,-4533,4533,-4533,4533,-4533,4533,3796,468,3796,468,3796,468,951,98,846,17,865,0
6,5,537,105,12,-4991,4991,-4991,4991,-4991,4991,3586,783,3586,783,3586,783,922,91,846,9,902,17
7,6,642,105,18,-5079,5079,-5079,5079,-5079,5079,3376,1098,3376,1098,3376,1098,913,77,837,26,880,43
8,7,750,105,3,-5096,5096,-5096,5096,-5096,5096,3166,1413,3166,1413,3166,1413,913,112,854,60,827,103
9,8,857,105,8,-5099,5099,-5099,5099,-5099,5099,2956,1728,2956,1728,2956,1728,903,154,813,147,835,69
10,9,962,105,5,-5100,5100,-5100,5100,-5100,5100,2746,2043,2746,2043,2746,2043,845,203,772,164,797,181
11,10,1069,105,3,-5100,5100,-5100,5100,-5100,5100,2536,2358,2536,2358,2536,2358,796,287,691,250,759,293
12,11,1177,106,11,-5100,5100,-5100,5100,-5100,5100,2324,2676,2324,2676,2324,2676,748,350,667,310,722,310
13,12,1282,105,12,-5100,5100,-5100,5100,-5100,5100,2114,2991,2114,2991,2114,2991,670,420,569,422,669,431
14,13,1389,105,3,-5100,5100,-5100,5100,-5100,5100,1904,3306,1904,3306,1904,3306,621,545,545,526,534,526
15,14,1497,106,7,-5100,5100,-5100,5100,-5100,5100,1692,3624,1692,3624,1692,3624,553,608,496,586,556,578
16,15,1602,105,4,-5100,5100,-5100,5100,-5100,5100,1482,3939,1482,3939,1482,3939,466,699,415,672,421,672
17,16,1711,106,4,-5099,5099,-5099,5099,-5099,5099,1270,4256,1270,4257,1270,4256,398,762,358,750,451,784
18,17,1818,105,5,-5091,5091,-5091,5091,-5091,5091,1060,4568,1060,4570,1060,4566,330,811,293,784,444,819
19,18,1923,105,4,-5073,5073,-5073,5073,-5073,5073,850,4873,850,4870,850,4872,311,846,276,862,406,845
20,19,2031,106,4,-5004,5004,-5004,5004,-5004,5004,638,5113,638,5156,638,5099,233,916,236,879,226,922
21,20,2139,105,6,-4561,4561,-4561,4561,-4561,4561,428,5055,428,5244,428,5022,184,930,195,879,293,940
22,21,2245,105,6,-2402,2402,-2402,2402,-2402,2402,218,4845,218,5034,218,4812,136,951,179,931,135,931
23,22,2352,105,4,-462,462,-462,462,-462,462,11,4635,9,4824,9,4602,117,958,154,931,158,940
24,23,2459,105,1,-72,72,-72,72,-72,72,-37,4425,-176,4614,-124,4392,19,951,114,940,60,948
25,24,2565,105,1,675,-675,675,-675,675,-675,250,4215,44,4404,178,4182,29,951,114,940,15,931
26,25,2672,105,5,3893,-3893,3893,-3893,3893,-3893,565,4005,359,4194,493,3972,10,958,114,931,135,948
27,26,2779,105,5,4868,-4868,4868,-4868,4868,-4868,880,3795,674,3984,808,3762,49,916,81,914,75,871
28,27,2885,105,6,5055,-5055,5055,-5055,5055,-5055,1195,3585,989,3774,1123,3552,87,895,98,897,60,879
29,28,2993,105,6,5091,-5091,5091,-5091,5091,-5091,1510,3375,1304,3564,1438,3342,117,909,89,879,83,862
30,29,3100,105,6,5098,-5098,5098,-5098,5098,-5098,1825,3165,1619,3354,1753,3132,175,818,122,828,128,845
31,30,3205,105,6,5100,-5100,5100,-5100,5100,-5100,2140,2955,1934,3144,2068,2922,243,790,220,784,195,810
32,31,3314,105,7,5100,-5100,5100,-5100,5100,-5100,2455,2745,2249,2934,2383,2712,223,762,252,776,233,733
33,32,3420,105,14,5100,-5100,5100,-5100,5100,-5100,2770,2535,2564,2724,2698,2502,359,713,366,707,361,716
34,33,3525,105,6,5100,-5100,5100,-5100,5100,-5100,3085,2325,2879,2514,3013,2292,485,706,496,638,436,647
