#Recorded data from Servotor32
#datetime: 06-09-2020_20h-16m-27s
#filename: wave_x_b_sensors_closed_horizontal_floor_unloaded_06-09-2020_20h-16m-27s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,6565,65,1465,2865,4265,5665,505,545,560,529,504,483
1,0,0,105,0,6419,-6425,-3855,-1284,1287,3858,6668,-3,1397,2797,4197,5597,505,524,549,514,474,474
2,1,108,105,7,3075,-3078,-1846,-615,616,1847,6600,-71,1329,2729,4129,5529,495,531,604,500,481,474
3,2,217,106,11,568,-568,-341,-114,114,341,6531,-100,1260,2660,4060,5460,688,406,451,457,564,586
4,3,322,105,13,371,327,-500,-284,-66,152,6462,302,1192,2591,3991,5391,862,84,253,486,624,724
5,4,430,106,8,3131,5164,-5195,-3115,-1033,1049,6393,763,1123,2522,3922,5323,890,49,253,457,586,716
6,5,537,105,13,3994,6647,-6653,-3991,-1329,1332,6325,1219,1054,2454,3854,5254,890,42,242,457,624,672
7,6,642,105,17,4160,6932,-6933,-4160,-1386,1387,6257,1676,986,2386,3786,5186,872,63,242,443,632,733
8,7,749,105,3,4194,6985,-6988,-4193,-1397,1398,6189,2133,918,2318,3718,5118,890,112,253,400,609,733
9,8,857,106,5,4200,6996,-6998,-4199,-1399,1400,6120,2594,849,2249,3649,5049,881,154,242,357,602,733
10,9,962,105,4,4201,6998,-7000,-4200,-1400,1401,6052,3051,781,2181,3581,4981,881,210,253,414,594,741
11,10,1071,106,4,4202,6998,-7001,-4200,-1400,1401,5983,3512,712,2112,3512,4912,881,301,242,329,496,724
12,11,1179,105,5,4202,6998,-7001,-4200,-1400,1401,5915,3969,644,2043,3443,4843,881,399,165,300,541,750
13,12,1284,105,5,4202,6998,-7001,-4200,-1400,1401,5847,4425,575,1975,3375,4775,881,462,143,300,511,741
14,13,1393,106,4,4202,6998,-7001,-4200,-1400,1401,5778,4886,506,1906,3306,4706,881,587,154,286,489,733
15,14,1499,105,2,4202,6998,-7001,-4200,-1400,1401,5710,5343,438,1838,3238,4638,872,636,110,271,496,750
16,15,1604,105,0,4202,6998,-7001,-4200,-1400,1401,5642,5800,370,1770,3170,4570,872,734,110,243,474,741
17,16,1713,105,5,4202,6997,-7001,-4200,-1399,1401,5574,6256,302,1702,3102,4502,872,804,121,243,444,733
18,17,1819,105,2,4199,6992,-6996,-4197,-1398,1400,5506,6710,233,1633,3033,4433,862,853,110,243,451,741
19,18,1925,105,5,4183,6964,-6969,-4181,-1393,1395,5438,7143,165,1565,2965,4365,881,909,132,243,421,698
20,19,2033,105,4,4044,6736,-6739,-4043,-1347,1349,5370,7483,97,1497,2897,4297,862,909,66,229,406,698
21,20,2140,105,3,3420,5695,-5698,-3418,-1139,1140,5301,7416,29,1429,2829,4229,844,923,44,171,398,690
22,21,2249,106,2,640,1065,-1066,-639,-213,213,5233,7347,-40,1360,2760,4160,862,958,66,186,368,664
23,22,2357,105,2,123,207,-202,-125,-43,40,5164,7279,-76,1296,2691,4091,853,944,55,114,368,664
24,23,2462,105,4,81,256,336,-311,-268,-93,5096,7211,183,1228,2623,4023,844,944,44,200,361,672
25,24,2569,105,3,721,2165,3591,-3584,-2168,-724,5028,7143,639,1160,2555,3955,908,951,55,129,316,621
26,25,2677,106,3,1275,3824,6371,-6369,-3825,-1275,4959,7074,1101,1091,2486,3886,798,944,55,86,316,595
