#Recorded data from Servotor32
#datetime: 06-09-2020_19h-41m-24s
#filename: tripod_x_b_sensors_closed_horizontal_floor_unloaded_06-09-2020_19h-41m-24s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,4.8,0.2,4.8,0.2,4.8,0.2,0.524,0.524,0.528,0.509,0.489,0.517,0.524,0.524,0.528,0.509,0.489,0.517,0.818,-0.818,1.635,-1.635,2.453,-2.453,0.818,0.0,0.818,0.0,0.818,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.931,0.062,0.931,0.062,0.931,0.062,4.8,0.2,4.8,0.2,4.8,0.2,1.155,1.155,1.155,1.155,1.155,1.155
1,0,0.0,0.105,0.0,4.349,-4.349,4.349,-4.349,4.349,-4.349,4.64,-0.01,4.64,-0.01,4.64,-0.01,0.495,0.531,0.488,0.509,0.398,0.474,0.495,0.531,0.488,0.509,0.398,0.474,2.453,-2.453,2.453,-2.453,2.453,-2.453,0.095,0.0,0.095,0.0,0.095,0.0,2.55,2.545,2.55,2.545,2.55,2.545,0.0,-0.01,0.0,-0.01,0.0,-0.01,5.1,5.1,5.1,5.1,5.1,5.1,0.918,0.05,0.918,0.05,0.918,0.05,4.8,0.2,4.8,0.2,4.8,0.2,1.155,1.152,1.155,1.152,1.155,1.152
2,1,0.105,0.105,0.007,1.226,-1.226,1.226,-1.226,1.226,-1.226,4.43,-0.219,4.43,-0.219,4.43,-0.219,0.505,0.531,0.488,0.491,0.436,0.457,0.505,0.531,0.488,0.491,0.436,0.457,0.285,-0.285,0.285,-0.285,0.285,-0.285,0.0,0.002,0.0,0.002,0.0,0.002,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.936,0.05,0.936,0.05,0.936,0.05,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
3,2,0.214,0.106,0.006,0.217,-0.217,0.217,-0.217,0.217,-0.217,4.218,-0.165,4.218,-0.165,4.218,-0.165,0.718,0.413,0.691,0.302,0.556,0.276,0.718,0.413,0.691,0.302,0.556,0.276,-0.007,0.007,-0.007,0.007,-0.007,0.007,0.0,0.502,0.0,0.502,0.0,0.502,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.918,0.053,0.918,0.053,0.918,0.053,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
4,3,0.321,0.105,0.017,-2.027,2.027,-2.027,2.027,-2.027,2.027,4.008,0.15,4.008,0.15,4.008,0.15,0.913,0.168,0.829,0.06,0.797,0.06,0.913,0.168,0.829,0.06,0.797,0.06,-1.507,1.507,-1.507,1.507,-1.507,1.507,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.895,0.073,0.895,0.073,0.895,0.073,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
5,4,0.429,0.106,0.007,-4.533,4.533,-4.533,4.533,-4.533,4.533,3.796,0.468,3.796,0.468,3.796,0.468,0.951,0.098,0.846,0.017,0.865,0.0,0.951,0.098,0.846,0.017,0.865,0.0,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.867,0.101,0.867,0.101,0.867,0.101,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
6,5,0.537,0.105,0.012,-4.991,4.991,-4.991,4.991,-4.991,4.991,3.586,0.783,3.586,0.783,3.586,0.783,0.922,0.091,0.846,0.009,0.902,0.017,0.922,0.091,0.846,0.009,0.902,0.017,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.833,0.138,0.833,0.138,0.833,0.138,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
7,6,0.642,0.105,0.018,-5.079,5.079,-5.079,5.079,-5.079,5.079,3.376,1.098,3.376,1.098,3.376,1.098,0.913,0.077,0.837,0.026,0.88,0.043,0.913,0.077,0.837,0.026,0.88,0.043,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.793,0.184,0.793,0.184,0.793,0.184,4.236,0.191,3.884,-0.081,4.083,0.01,1.269,1.107,1.269,1.107,1.269,1.107
8,7,0.75,0.105,0.003,-5.096,5.096,-5.096,5.096,-5.096,5.096,3.166,1.413,3.166,1.413,3.166,1.413,0.913,0.112,0.854,0.06,0.827,0.103,0.913,0.112,0.854,0.06,0.827,0.103,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.745,0.243,0.745,0.243,0.745,0.243,4.236,0.377,3.963,0.1,3.837,0.329,1.269,1.107,1.269,1.107,1.269,1.107
9,8,0.857,0.105,0.008,-5.099,5.099,-5.099,5.099,-5.099,5.099,2.956,1.728,2.956,1.728,2.956,1.728,0.903,0.154,0.813,0.147,0.835,0.069,0.903,0.154,0.813,0.147,0.835,0.069,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.692,0.312,0.692,0.312,0.692,0.312,4.19,0.6,3.772,0.563,3.874,0.148,1.269,1.107,1.269,1.107,1.269,1.107
10,9,0.962,0.105,0.005,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.746,2.043,2.746,2.043,2.746,2.043,0.845,0.203,0.772,0.164,0.797,0.181,0.845,0.203,0.772,0.164,0.797,0.181,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.632,0.392,0.632,0.392,0.632,0.392,3.921,0.861,3.582,0.653,3.698,0.744,1.269,1.107,1.269,1.107,1.269,1.107
11,10,1.069,0.105,0.003,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.536,2.358,2.536,2.358,2.536,2.358,0.796,0.287,0.691,0.25,0.759,0.293,0.796,0.287,0.691,0.25,0.759,0.293,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.568,0.477,0.568,0.477,0.568,0.477,3.693,1.308,3.206,1.111,3.522,1.339,1.269,1.107,1.269,1.107,1.269,1.107
12,11,1.177,0.106,0.011,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.324,2.676,2.324,2.676,2.324,2.676,0.748,0.35,0.667,0.31,0.722,0.31,0.748,0.35,0.667,0.31,0.722,0.31,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.501,0.565,0.501,0.565,0.501,0.565,3.471,1.643,3.095,1.43,3.35,1.43,1.269,1.107,1.269,1.107,1.269,1.107
13,12,1.282,0.105,0.012,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.114,2.991,2.114,2.991,2.114,2.991,0.67,0.42,0.569,0.422,0.669,0.431,0.67,0.42,0.569,0.422,0.669,0.431,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.435,0.648,0.435,0.648,0.435,0.648,3.109,2.015,2.64,2.026,3.104,2.073,1.269,1.107,1.269,1.107,1.269,1.107
14,13,1.389,0.105,0.003,-5.1,5.1,-5.1,5.1,-5.1,5.1,1.904,3.306,1.904,3.306,1.904,3.306,0.621,0.545,0.545,0.526,0.534,0.526,0.621,0.545,0.545,0.526,0.534,0.526,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.371,0.723,0.371,0.723,0.371,0.723,2.881,2.68,2.529,2.579,2.478,2.579,1.269,1.107,1.269,1.107,1.269,1.107
15,14,1.497,0.106,0.007,-5.1,5.1,-5.1,5.1,-5.1,5.1,1.692,3.624,1.692,3.624,1.692,3.624,0.553,0.608,0.496,0.586,0.556,0.578,0.553,0.608,0.496,0.586,0.556,0.578,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.311,0.788,0.311,0.788,0.311,0.788,2.566,3.015,2.301,2.898,2.58,2.855,1.269,1.107,1.269,1.107,1.269,1.107
16,15,1.602,0.105,0.004,-5.1,5.1,-5.1,5.1,-5.1,5.1,1.482,3.939,1.482,3.939,1.482,3.939,0.466,0.699,0.415,0.672,0.421,0.672,0.466,0.699,0.415,0.672,0.421,0.672,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.257,0.84,0.257,0.84,0.257,0.84,2.162,3.499,1.926,3.355,1.953,3.355,1.269,1.107,1.269,1.107,1.269,1.107
17,16,1.711,0.106,0.004,-5.099,5.099,-5.099,5.099,-5.099,5.099,1.27,4.256,1.27,4.257,1.27,4.256,0.398,0.762,0.358,0.75,0.451,0.784,0.398,0.762,0.358,0.75,0.451,0.784,-2.999,2.999,-2.999,2.999,-2.999,2.999,0.0,0.998,0.0,0.999,0.0,0.997,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.209,0.882,0.209,0.882,0.209,0.882,1.847,3.834,1.661,3.77,2.093,3.951,1.269,1.107,1.269,1.107,1.269,1.107
18,17,1.818,0.105,0.005,-5.091,5.091,-5.091,5.091,-5.091,5.091,1.06,4.568,1.06,4.57,1.06,4.566,0.33,0.811,0.293,0.784,0.444,0.819,0.33,0.811,0.293,0.784,0.444,0.819,-2.994,2.994,-2.994,2.994,-2.994,2.994,0.0,0.993,0.0,0.997,0.0,0.992,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.168,0.913,0.168,0.914,0.168,0.913,1.531,4.095,1.36,3.951,2.06,4.137,1.269,1.107,1.269,1.107,1.269,1.107
