#Recorded data from Servotor32
#datetime: 06-09-2020_22h-44m-14s
#filename: tetrapod_x_b_sensors_closed_vertical_air_unloaded_06-09-2020_22h-44m-14s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,5635,135,3135,5635,3135,135,33,34,21,5,6,-6
1,0,0,105,0,5327,-5327,0,5327,0,-5327,5586,-7,2993,5586,2993,-7,28,34,16,5,13,-6
2,1,105,105,7,1881,-1881,0,1881,0,-1881,5444,-148,2852,5444,2852,-148,28,34,16,5,13,-6
3,2,215,106,6,347,-347,0,347,0,-347,5301,-148,2708,5301,2708,-148,99,40,21,77,6,0
4,3,322,105,17,67,1245,-1311,67,-1311,1245,5159,235,2567,5159,2567,235,94,34,16,77,13,-6
5,4,429,105,8,13,5081,-5094,13,-5094,5081,5018,618,2425,5018,2425,618,39,125,42,27,13,106
6,5,538,106,11,2,5830,-5833,2,-5833,5830,4875,1005,2282,4875,2282,1005,33,506,21,0,13,481
7,6,643,105,17,15,5413,-5429,15,-5429,5413,4750,1331,2151,4733,2143,1342,33,892,21,0,6,913
8,7,750,105,8,31,5609,-5640,31,-5640,5609,4626,1688,2020,4594,2005,1712,33,949,21,5,6,975
9,8,858,105,12,20,5830,-5850,20,-5850,5830,4496,2065,1887,4455,1866,2095,22,989,16,5,6,1000
10,9,963,105,17,5,5789,-5794,5,-5794,5789,4368,2427,1756,4313,1728,2475,28,960,21,0,6,994
11,10,1071,105,9,27,5756,-5783,27,-5783,5756,4244,2790,1625,4177,1593,2859,33,960,21,11,13,1000
12,11,1178,105,12,73,5791,-5864,73,-5864,5791,4117,3170,1494,4050,1454,3239,28,994,21,27,6,994
13,12,1283,105,17,29,5852,-5881,29,-5881,5852,3990,3547,1363,3911,1316,3622,28,989,21,5,6,1000
14,13,1391,106,8,-22,5807,-5785,-22,-5785,5807,3858,3910,1231,3768,1179,4009,22,955,21,0,13,1000
15,14,1498,105,13,7,5800,-5807,7,-5807,5800,3731,4272,1095,3626,1044,4392,28,960,10,0,13,1006
16,15,1604,105,18,15,5784,-5800,15,-5800,5784,3604,4632,961,3485,906,4775,28,955,16,0,6,1000
17,16,1711,105,9,16,5850,-5866,16,-5866,5850,3476,5015,831,3349,770,5155,28,1000,21,11,13,994
18,17,1818,105,13,4,5792,-5796,4,-5796,5792,3346,5375,697,3207,632,5535,22,955,16,0,6,994
19,18,1924,105,18,1,5836,-5837,1,-5837,5836,3205,5731,555,3065,490,5918,-6,949,0,-11,-19,1019
20,19,2031,105,9,14,5831,-5845,14,-5845,5831,3066,6087,414,2923,349,6302,6,949,0,-11,-13,1000
21,20,2138,105,13,-10,5561,-5551,-10,-5551,5561,2924,6432,275,2782,207,6636,0,926,5,-11,-6,906
22,21,2244,105,18,-15,5052,-5038,-15,-5038,5052,2782,6717,136,2640,65,6930,0,813,5,-11,-13,831
23,22,2352,105,8,-27,2774,-2747,-27,-2747,2774,2643,6808,2,2498,-77,6949,6,443,16,-5,-6,306
24,23,2459,105,14,8,848,-856,8,-856,848,2505,6711,-140,2356,-218,6834,6,85,-10,-16,-19,50
25,24,2564,105,13,82,286,-368,82,-368,286,2380,6587,-281,2215,-360,6718,33,34,-5,-16,-13,50
26,25,2671,105,8,4,97,-101,4,-101,97,2241,6457,-418,2073,-502,6577,6,23,10,-11,-13,0
27,26,2778,105,12,-172,25,147,-172,147,25,2126,6336,-532,1931,-608,6442,50,40,52,-16,69,13
28,27,2883,105,17,-2014,89,1926,-2014,1926,89,1984,6209,-474,1789,-520,6303,-6,28,380,-11,438,6
29,28,2992,105,9,-4469,101,4368,-4469,4368,101,1842,6082,-181,1648,-212,6165,-17,28,828,-16,856,6
30,29,3099,105,14,-5509,119,5390,-5509,5390,119,1700,5955,186,1506,145,6029,-11,28,969,-11,950,13
31,30,3204,105,16,-5860,107,5753,-5860,5753,107,1559,5829,569,1364,518,5891,-6,28,1005,-11,981,6
32,31,3312,106,9,-5959,91,5868,-5959,5868,91,1416,5698,956,1221,902,5751,-11,23,1005,-16,994,6
33,32,3419,105,14,-5883,129,5754,-5883,5754,129,1294,5571,1339,1079,1282,5639,39,28,1005,-16,994,56
34,33,3524,105,14,-5962,94,5869,-5962,5869,94,1152,5444,1722,937,1662,5497,-11,28,1010,-16,994,0
35,34,3632,106,9,-5978,116,5862,-5978,5862,116,1009,5319,2109,794,2046,5357,0,34,1010,-11,994,6
36,35,3740,105,15,-5981,106,5874,-5981,5874,106,868,5192,2492,653,2426,5219,0,28,1010,-16,994,6
37,36,3845,105,13,-5981,106,5875,-5981,5875,106,726,5062,2876,511,2806,5084,0,23,1005,-16,994,13
38,37,3954,105,11,-5996,104,5892,-5996,5892,104,584,4935,3259,369,3189,4945,0,28,1010,-11,1013,6
39,38,4061,105,16,-5969,118,5851,-5969,5851,118,442,4812,3642,227,3565,4807,-6,34,1005,-11,988,6
40,39,4166,105,8,-5994,122,5872,-5994,5872,122,301,4685,4025,86,3949,4672,-11,28,1010,-5,1006,13
41,40,4274,105,6,-5984,94,5890,-5984,5890,94,159,4555,4409,-56,4329,4533,0,23,1010,-16,994,6
42,41,4380,105,15,-5997,116,5881,-5997,5881,116,17,4431,4792,-198,4712,4395,0,34,1005,-22,1013,6
43,42,4485,105,11,-5999,106,5893,-5999,5893,106,-125,4304,5175,-340,5095,4256,0,28,1005,-11,1000,6
44,43,4593,105,6,-5970,103,5867,-5970,5867,103,-266,4180,5558,-481,5472,4114,-6,34,1005,-11,988,0
45,44,4700,105,15,-5994,89,5906,-5994,5906,89,-408,4054,5942,-623,5855,3973,-6,28,1005,-16,1038,0
46,45,4805,105,13,-5969,86,5883,-5969,5883,86,-550,3927,6325,-765,6232,3831,0,28,1010,-16,988,0
47,46,4914,107,10,-5628,72,5556,-5628,5556,72,-694,3800,6665,-903,6599,3686,0,34,906,11,956,0
48,47,5021,105,16,-4703,16,4687,-4703,4687,16,-822,3674,6909,-1045,6871,3545,28,28,734,-16,788,-6
49,48,5126,105,8,-2585,86,2499,-2585,2499,86,-960,3553,6934,-1187,6929,3403,6,40,318,-11,381,0
50,49,5235,105,7,-805,85,720,-805,720,85,-1102,3426,6820,-1329,6827,3261,0,28,52,-16,75,0
51,50,5341,105,16,-251,85,165,-251,165,85,-1244,3299,6689,-1470,6695,3119,0,28,21,-11,19,0
52,51,5451,106,10,463,-563,100,463,100,-563,-1302,3168,6560,-1561,6565,2976,160,23,26,99,25,0
53,52,5558,106,12,2943,-2973,30,2943,30,-2973,-1106,3040,6428,-1407,6428,2833,641,28,21,560,13,0
54,53,5663,105,17,4932,-4922,-10,4932,-10,-4922,-760,2913,6294,-1079,6290,2692,928,28,16,896,6,0
55,54,5771,106,9,5642,-5637,-5,5642,-5,-5637,-382,2785,6162,-704,6150,2548,983,28,21,978,6,0
56,55,5878,105,13,5823,-5821,-2,5823,-2,-5821,-7,2658,6028,-320,6015,2407,983,28,16,1005,13,-6
57,56,5983,105,17,5886,-5857,-29,5886,-29,-5857,373,2531,5892,57,5877,2265,994,28,10,989,6,-6
58,57,6092,106,8,5859,-5850,-9,5859,-9,-5850,754,2403,5760,438,5737,2122,989,28,21,989,6,0
59,58,6199,105,14,5850,-5862,13,5850,13,-5862,1134,2277,5627,816,5605,1980,994,28,16,989,19,0
60,59,6305,105,16,5875,-5865,-11,5875,-11,-5865,1512,2150,5490,1196,5470,1838,989,28,10,995,13,0
61,60,6412,105,9,5884,-5878,-5,5884,-5,-5878,1895,2023,5359,1574,5331,1697,1006,28,21,989,6,-6
62,61,6519,105,14,5883,-5881,-2,5883,-2,-5881,2278,1896,5226,1951,5196,1555,1017,28,16,989,13,-6
63,62,6624,105,15,5899,-5881,-17,5899,-17,-5881,2662,1772,5095,2331,5058,1413,1000,34,21,995,6,0
64,63,6733,106,10,5914,-5866,-47,5914,-47,-5866,3048,1644,4957,2713,4918,1273,1006,28,10,989,6,6
65,64,6840,105,15,5917,-5892,-25,5917,-25,-5892,3432,1517,4824,3093,4779,1132,1017,28,16,995,6,0
66,65,6945,105,11,5889,-5898,8,5889,8,-5898,3815,1388,4690,3470,4644,990,1000,23,16,989,13,0
67,66,7053,106,9,5941,-5925,-16,5941,-16,-5925,4202,1256,4556,3857,4501,847,1000,23,16,1000,0,0
68,67,7160,105,15,5884,-5890,6,5884,6,-5890,4585,1130,4427,4235,4363,705,1017,28,26,989,6,-6
69,68,7265,105,9,5951,-5925,-26,5951,-26,-5925,4968,994,4286,4612,4221,563,1006,11,0,989,0,0
70,69,7373,105,10,5951,-5918,-34,5951,-34,-5918,5352,861,4147,4990,4079,421,1033,17,5,989,0,-6
71,70,7480,105,15,5978,-5943,-35,5978,-35,-5943,5735,728,4008,5373,3937,280,1000,17,5,1005,0,-13
72,71,7585,105,13,5926,-5935,9,5926,9,-5935,6118,592,3869,5750,3802,138,1006,11,5,989,13,-6
73,72,7694,107,9,5831,-5933,102,5831,102,-5933,6509,454,3752,6135,3658,-7,1000,11,52,989,0,0
74,73,7801,105,16,5714,-5719,5,5714,5,-5719,6851,318,3613,6507,3516,-148,923,11,5,978,0,-6
75,74,7909,105,9,4541,-4514,-27,4541,-27,-4514,6991,183,3471,6830,3374,-290,536,11,-5,885,0,-13
76,75,8018,106,11,2292,-2287,-5,2292,-5,-2287,6918,39,3328,6931,3231,-433,133,0,-10,462,0,-6
77,76,8123,105,18,841,-826,-15,841,-15,-826,6797,-99,3186,6856,3089,-575,39,6,-5,126,0,0
