#Recorded data from Servotor32
#datetime: 06-09-2020_22h-47m-08s
#filename: tripod_x_b_sensors_closed_vertical_air_unloaded_06-09-2020_22h-47m-08s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,6,-31,10,11,24,-52
1,0,0,105,0,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,6,-31,10,11,18,-39
2,1,105,105,6,1226,-1226,1226,-1226,1226,-1226,4430,-219,4430,-219,4430,-219,6,-25,5,11,18,-52
3,2,213,106,5,217,-217,217,-217,217,-217,4218,-165,4218,-165,4218,-165,68,-37,77,5,73,-58
4,3,320,105,15,-2027,2027,-2027,2027,-2027,2027,4008,150,4008,150,4008,150,23,-25,46,11,55,-52
5,4,426,105,7,-4509,4509,-4509,4509,-4509,4509,3798,465,3798,465,3798,465,6,160,31,110,37,65
6,5,535,105,7,-4986,4986,-4986,4986,-4986,4986,3588,780,3588,780,3588,780,45,611,31,566,30,578
7,6,641,105,16,-4694,4694,-4694,4694,-4694,4694,3378,1076,3399,1046,3397,1058,0,963,41,907,37,929
8,7,746,105,9,-4863,4863,-4863,4863,-4863,4863,3171,1388,3208,1358,3206,1359,6,994,36,995,37,974
9,8,853,105,6,-4944,4944,-4944,4944,-4944,4944,2967,1703,3012,1673,3012,1667,11,1000,26,1005,30,987
10,9,960,105,15,-4967,4967,-4967,4967,-4967,4967,2760,2018,2815,1988,2818,1976,6,1006,26,1005,30,987
11,10,1065,105,13,-4956,4956,-4956,4956,-4956,4956,2553,2333,2622,2303,2627,2284,6,1000,31,1005,37,987
12,11,1173,105,6,-4953,4953,-4953,4953,-4953,4953,2349,2644,2425,2618,2430,2589,11,994,26,1000,24,981
13,12,1280,105,15,-4968,4968,-4968,4968,-4968,4968,2139,2956,2229,2933,2236,2897,0,994,26,1000,30,987
14,13,1386,105,16,-4991,4991,-4991,4991,-4991,4991,1932,3271,2035,3248,2039,3212,6,1000,31,1011,24,1000
15,14,1493,105,6,-4959,4959,-4959,4959,-4959,4959,1728,3586,1838,3563,1845,3517,11,1000,26,1000,30,981
16,15,1600,105,15,-4970,4970,-4970,4970,-4970,4970,1521,3901,1642,3878,1651,3825,6,1000,26,1000,30,987
17,16,1705,105,7,-4964,4964,-4964,4964,-4964,4964,1314,4216,1446,4193,1460,4133,6,1000,26,1000,37,987
18,17,1813,105,5,-4982,4982,-4982,4982,-4982,4982,1107,4528,1252,4508,1263,4448,6,994,31,1000,24,1013
19,18,1920,105,15,-4974,4974,-4974,4974,-4974,4974,899,4843,1055,4823,1069,4756,6,1000,26,1000,30,987
20,19,2025,105,7,-4971,4971,-4971,4971,-4971,4971,692,5155,856,5138,872,5061,6,994,21,1000,24,981
21,20,2133,105,6,-4856,4856,-4856,4856,-4856,4856,488,5447,657,5439,675,5359,11,957,21,973,24,968
22,21,2240,105,14,-4467,4467,-4467,4467,-4467,4467,281,5684,460,5705,481,5609,6,852,26,907,30,877
23,22,2346,105,7,-3088,3088,-3088,3088,-3088,3088,92,5740,269,5807,290,5733,40,506,36,593,37,636
24,23,2455,106,7,-1006,1006,-1006,1006,-1006,1006,-117,5577,74,5679,94,5590,6,93,31,159,30,130
25,24,2562,105,15,-170,170,-170,170,-170,170,-324,5367,-123,5489,-103,5380,6,-6,26,38,24,-19
26,25,2671,106,8,24,-24,24,-24,24,-24,-536,5155,-321,5286,-299,5168,0,0,26,16,30,-58
27,26,2778,105,13,503,-503,503,-503,503,-503,-683,4952,-458,5082,-442,4958,119,12,139,11,128,-58
28,27,2883,105,16,1781,-1781,1781,-1781,1781,-1781,-583,4742,-492,4883,-479,4751,591,0,335,22,329,6
29,28,2991,105,8,3764,-3764,3764,-3764,3764,-3764,-295,4541,-280,4679,-286,4541,949,19,804,11,768,-52
30,29,3098,105,12,4701,-4701,4701,-4701,4701,-4701,8,4331,24,4475,4,4331,977,-6,979,11,951,-52
31,30,3203,105,17,4961,-4961,4961,-4961,4961,-4961,314,4121,339,4273,312,4121,983,-12,1010,16,988,-52
32,31,3312,106,9,5035,-5035,5035,-5035,5035,-5035,623,3909,657,4064,627,3909,983,-6,1010,5,994,-58
33,32,3419,105,14,4978,-4978,4978,-4978,4978,-4978,938,3735,972,3857,939,3699,1017,68,1005,5,994,-52
34,33,3524,105,14,5014,-5014,5014,-5014,5014,-5014,1244,3525,1287,3656,1248,3489,983,-6,1010,16,988,-52
35,34,3632,106,9,5037,-5037,5037,-5037,5037,-5037,1553,3313,1605,3450,1562,3277,983,-6,1005,11,994,-52
36,35,3740,105,15,5034,-5034,5034,-5034,5034,-5034,1856,3103,1920,3248,1877,3067,977,-6,1005,16,1000,-58
37,36,3846,105,17,5065,-5065,5065,-5065,5065,-5065,2171,2893,2235,3047,2192,2857,1006,-6,1021,16,1018,-52
38,37,3954,105,11,5062,-5062,5062,-5062,5062,-5062,2486,2683,2550,2846,2504,2647,1011,-6,1010,16,994,-52
39,38,4061,105,16,5061,-5061,5061,-5061,5061,-5061,2801,2473,2865,2641,2813,2437,1006,-12,1005,11,988,-52
40,39,4166,105,8,5061,-5061,5061,-5061,5061,-5061,3116,2263,3180,2440,3125,2227,1057,0,1015,16,994,-52
41,40,4275,106,7,5053,-5053,5053,-5053,5053,-5053,3434,2051,3498,2237,3439,2019,1006,-6,1031,16,994,6
42,41,4382,105,16,5067,-5067,5067,-5067,5067,-5067,3749,1841,3813,2033,3751,1809,1011,-6,1010,11,994,-52
43,42,4489,105,8,5071,-5071,5071,-5071,5071,-5071,4064,1631,4128,1831,4066,1599,1017,-6,1015,16,1000,-45
44,43,4598,106,11,5071,-5071,5071,-5071,5071,-5071,4382,1419,4446,1625,4381,1387,1011,-12,1010,11,994,-52
45,44,4703,105,17,5063,-5063,5063,-5063,5063,-5063,4697,1209,4761,1421,4689,1177,1011,-6,1005,11,988,-58
46,45,4811,105,9,5052,-5052,5052,-5052,5052,-5052,5012,1002,5076,1217,4998,967,1006,6,1005,11,988,-58
47,46,4918,105,12,5059,-5059,5059,-5059,5059,-5059,5327,792,5389,1010,5307,757,1006,-6,995,5,988,-52
48,47,5023,105,18,4745,-4745,4745,-4745,4745,-4745,5610,582,5641,805,5590,547,938,-12,881,11,939,-52
49,48,5131,106,8,4033,-4033,4033,-4033,4033,-4033,5804,370,5812,605,5807,335,767,0,722,22,811,-52
50,49,5238,105,12,3187,-3187,3187,-3187,3187,-3187,5901,160,5883,398,5934,125,585,-6,536,5,640,-58
51,50,5343,105,15,1990,-1990,1990,-1990,1990,-1990,5835,-50,5836,188,5944,-85,273,-19,309,0,421,-78
52,51,5451,105,9,632,-632,632,-632,632,-632,5646,-260,5655,-22,5779,-295,40,-25,57,0,85,-78
53,52,5558,105,13,223,-223,223,-223,223,-223,5436,-470,5462,-232,5592,-505,-6,-19,31,0,43,-78
54,53,5663,105,18,120,-120,120,-120,120,-120,5226,-677,5265,-442,5401,-715,-23,6,26,0,37,-45
