#Recorded data from Servotor32
#datetime: 06-09-2020_22h-40m-35s
#filename: wave_x_b_sensors_closed_vertical_air_unloaded_06-09-2020_22h-40m-35s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,6565,65,1465,2865,4265,5665,39,18,11,6,6,12
1,0,0,105,0,6419,-6425,-3855,-1284,1287,3858,6668,-3,1397,2797,4197,5597,17,18,11,6,13,6
2,1,105,105,7,3075,-3078,-1846,-615,616,1847,6600,-71,1329,2729,4129,5529,17,18,11,6,0,12
3,2,213,105,5,591,-592,-355,-118,118,355,6531,-104,1260,2660,4060,5460,124,12,11,6,0,12
4,3,320,105,14,348,277,-457,-258,-56,146,6463,285,1192,2592,3992,5392,208,12,11,6,0,12
5,4,425,105,7,3019,4974,-5007,-3003,-996,1012,6395,742,1124,2524,3924,5324,39,49,5,6,6,43
6,5,533,105,6,3973,6610,-6617,-3970,-1322,1325,6327,1199,1056,2456,3856,5256,28,274,11,11,0,12
7,6,640,105,15,3200,5169,-5283,-3228,-1029,1170,6267,1502,993,2387,3787,5194,17,707,11,0,0,12
8,7,746,105,11,4108,6507,-6671,-4089,-1340,1485,6214,1958,933,2322,3719,5132,28,1006,16,6,-6,12
9,8,855,105,7,4268,6839,-6927,-4236,-1370,1426,6154,2415,870,2254,3654,5064,17,1000,11,0,6,0
10,9,962,105,17,4289,6856,-6983,-4232,-1379,1450,6098,2872,808,2188,3589,4999,22,1006,11,6,6,6
11,10,1069,105,7,4311,6814,-7027,-4252,-1389,1544,6044,3329,745,2123,3521,4937,28,1006,11,6,0,12
12,11,1178,106,11,4330,6819,-7022,-4242,-1377,1491,5990,3790,682,2057,3455,4872,28,1006,11,6,6,6
13,12,1283,105,16,4317,6841,-7039,-4225,-1398,1504,5934,4247,616,1992,3387,4807,22,1006,5,6,0,6
14,13,1392,106,8,4350,6954,-6861,-4403,-1511,1470,5877,4708,567,1926,3318,4741,22,1006,37,6,0,6
15,14,1499,105,14,4305,6878,-6971,-4264,-1406,1458,5820,5164,504,1860,3253,4676,22,1006,11,6,6,6
16,15,1604,105,8,4347,6874,-7022,-4236,-1425,1463,5764,5621,439,1795,3185,4608,22,1006,5,6,0,0
17,16,1712,105,9,4334,6866,-7025,-4209,-1393,1428,5707,6078,373,1730,3120,4539,22,1000,5,6,6,0
18,17,1819,105,14,4195,6893,-6977,-4149,-1396,1434,5642,6531,305,1664,3052,4474,6,994,0,6,0,6
19,18,1925,105,15,4113,6972,-6924,-4183,-1389,1410,5574,6988,242,1599,2987,4413,-22,1000,11,6,6,12
20,19,2033,105,6,4103,6984,-6927,-4141,-1273,1253,5506,7445,177,1531,2932,4344,-11,1049,5,0,25,0
21,20,2140,105,15,4028,6787,-6756,-4087,-1331,1359,5437,7883,111,1463,2864,4279,-11,963,5,0,0,6
