#Recorded data from Servotor32
#datetime: 06-09-2020_22h-44m-14s
#filename: tetrapod_x_b_sensors_closed_vertical_air_unloaded_06-09-2020_22h-44m-14s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,5.635,0.135,3.135,5.635,3.135,0.135,0.033,0.034,0.021,0.005,0.006,-0.006,0.033,0.034,0.021,0.005,0.006,0.0,0.861,-0.861,0.0,1.722,0.0,-1.722,0.861,0.0,0.0,0.861,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.93,0.057,0.533,0.93,0.533,0.057,5.635,0.135,3.135,5.635,3.135,0.135,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.105,0.0,5.327,-5.327,0.0,5.327,0.0,-5.327,5.586,-0.007,2.993,5.586,2.993,-0.007,0.028,0.034,0.016,0.005,0.013,-0.006,0.028,0.034,0.016,0.005,0.013,0.0,1.722,-1.722,0.0,1.722,0.0,-1.722,0.177,0.0,0.0,0.177,0.0,0.0,3.0,2.996,3.0,3.0,3.0,2.996,0.0,-0.007,0.0,0.0,0.0,-0.007,6.0,6.0,6.0,6.0,6.0,6.0,0.927,0.05,0.498,0.927,0.498,0.05,5.635,0.135,3.135,5.635,3.135,0.135,0.981,0.98,0.981,0.981,0.981,0.98
2,1,0.105,0.105,0.007,1.881,-1.881,0.0,1.881,0.0,-1.881,5.444,-0.148,2.852,5.444,2.852,-0.148,0.028,0.034,0.016,0.005,0.013,-0.006,0.028,0.034,0.016,0.005,0.013,0.0,0.353,-0.353,0.0,0.353,0.0,-0.353,0.0,0.0,0.0,0.0,0.0,0.0,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.942,0.05,0.464,0.942,0.464,0.05,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
3,2,0.215,0.106,0.006,0.347,-0.347,0.0,0.347,0.0,-0.347,5.301,-0.148,2.708,5.301,2.708,-0.148,0.099,0.04,0.021,0.077,0.006,0.0,0.099,0.04,0.021,0.077,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.27,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.934,0.05,0.429,0.934,0.429,0.05,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
4,3,0.322,0.105,0.017,0.067,1.245,-1.311,0.067,-1.311,1.245,5.159,0.235,2.567,5.159,2.567,0.235,0.094,0.034,0.016,0.077,0.013,-0.006,0.094,0.034,0.016,0.077,0.013,0.0,0.0,0.54,-0.54,0.0,-0.54,0.54,0.0,0.999,0.0,0.0,0.0,0.999,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.924,0.071,0.395,0.924,0.395,0.071,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
5,4,0.429,0.105,0.008,0.013,5.081,-5.094,0.013,-5.094,5.081,5.018,0.618,2.425,5.018,2.425,0.618,0.039,0.125,0.042,0.027,0.013,0.106,0.039,0.125,0.042,0.027,0.013,0.106,0.0,1.998,-1.998,0.0,-1.998,1.998,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.913,0.099,0.363,0.913,0.363,0.099,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
6,5,0.538,0.106,0.011,0.002,5.83,-5.833,0.002,-5.833,5.83,4.875,1.005,2.282,4.875,2.282,1.005,0.033,0.506,0.021,0.0,0.013,0.481,0.033,0.506,0.021,0.0,0.013,0.481,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.9,0.137,0.331,0.9,0.331,0.137,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
7,6,0.643,0.105,0.017,0.015,5.413,-5.429,0.015,-5.429,5.413,4.75,1.331,2.151,4.733,2.143,1.342,0.033,0.892,0.021,0.0,0.006,0.913,0.033,0.892,0.021,0.0,0.006,0.913,0.006,1.772,-1.778,0.006,-1.778,1.772,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.887,0.178,0.303,0.885,0.301,0.18,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
8,7,0.75,0.105,0.008,0.031,5.609,-5.64,0.031,-5.64,5.609,4.626,1.688,2.02,4.594,2.005,1.712,0.033,0.949,0.021,0.005,0.006,0.975,0.033,0.949,0.021,0.005,0.006,0.975,0.011,1.886,-1.897,0.011,-1.897,1.886,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.874,0.234,0.277,0.87,0.274,0.238,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
9,8,0.858,0.105,0.012,0.02,5.83,-5.85,0.02,-5.85,5.83,4.496,2.065,1.887,4.455,1.866,2.095,0.022,0.989,0.016,0.005,0.006,1.0,0.022,0.989,0.016,0.005,0.006,1.0,0.005,1.962,-1.967,0.005,-1.967,1.962,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.858,0.305,0.251,0.852,0.247,0.311,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
10,9,0.963,0.105,0.017,0.005,5.789,-5.794,0.005,-5.794,5.789,4.368,2.427,1.756,4.313,1.728,2.475,0.028,0.96,0.021,0.0,0.006,0.994,0.028,0.96,0.021,0.0,0.006,0.994,0.001,1.926,-1.927,0.001,-1.927,1.926,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.84,0.383,0.228,0.832,0.223,0.394,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
11,10,1.071,0.105,0.009,0.027,5.756,-5.783,0.027,-5.783,5.756,4.244,2.79,1.625,4.177,1.593,2.859,0.033,0.96,0.021,0.011,0.013,1.0,0.033,0.96,0.021,0.011,0.013,1.0,0.01,1.916,-1.926,0.01,-1.926,1.916,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.822,0.467,0.206,0.811,0.201,0.484,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
12,11,1.178,0.105,0.012,0.073,5.791,-5.864,0.073,-5.864,5.791,4.117,3.17,1.494,4.05,1.454,3.239,0.028,0.994,0.021,0.027,0.006,0.994,0.028,0.994,0.021,0.027,0.006,0.994,0.028,1.933,-1.961,0.028,-1.961,1.933,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.802,0.558,0.186,0.79,0.18,0.574,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
