#Recorded data from Servotor32
#datetime: 06-09-2020_20h-37m-08s
#filename: tetrapod_x_b_sensors_closed_vertical_floor_unloaded_06-09-2020_20h-37m-08s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,5635,135,3135,5635,3135,135,33,12,13,-20,13,0
1,0,0,105,0,5327,-5327,0,5327,0,-5327,5586,-7,2993,5586,2993,-7,33,12,19,0,19,-19
2,1,105,105,10,1881,-1881,0,1881,0,-1881,5444,-148,2852,5444,2852,-148,33,12,19,0,13,-13
3,2,213,105,5,362,-361,0,362,0,-361,5303,-156,2710,5303,2710,-156,98,12,19,87,38,6
4,3,320,105,14,70,1174,-1243,70,-1243,1174,5161,227,2568,5161,2568,227,98,18,38,67,31,0
5,4,426,105,16,13,5066,-5079,13,-5079,5066,5019,610,2426,5019,2426,610,71,55,38,34,31,69
6,5,535,107,9,2,5835,-5837,2,-5837,5835,4875,1001,2282,4875,2282,1001,82,494,31,40,44,396
7,6,642,105,16,153,5169,-5322,153,-5322,5169,4781,1323,2153,4750,2160,1338,92,884,25,34,38,912
8,7,751,105,9,143,5530,-5673,143,-5673,5530,4680,1697,2025,4626,2038,1721,76,982,25,34,38,1006
9,8,859,105,11,220,5595,-5815,220,-5815,5595,4578,2080,1893,4513,1913,2104,76,1006,19,54,31,1006
10,9,964,105,17,159,5653,-5812,159,-5812,5653,4473,2463,1764,4392,1791,2488,71,1006,25,40,38,1038
11,10,1073,105,9,144,5668,-5811,144,-5811,5668,4371,2847,1636,4268,1669,2871,76,1000,25,34,38,1000
12,11,1180,105,14,126,5656,-5781,126,-5781,5656,4269,3227,1511,4144,1547,3254,76,994,31,34,38,1006
13,12,1286,105,14,312,5479,-5791,312,-5791,5479,4202,3607,1382,4023,1425,3637,141,994,25,40,38,1013
14,13,1393,105,9,205,5618,-5823,205,-5823,5618,4100,3990,1253,3903,1300,4021,76,1000,25,40,31,1006
15,14,1501,105,15,122,5646,-5768,122,-5768,5646,3998,4370,1132,3778,1178,4404,76,994,38,34,38,1006
16,15,1606,105,10,101,5686,-5788,101,-5788,5686,3885,4753,1006,3661,1056,4787,54,1030,31,47,38,1006
17,16,1716,106,6,99,5708,-5807,99,-5807,5708,3768,5140,880,3543,929,5174,49,1000,31,47,31,1006
18,17,1823,105,17,84,5711,-5795,84,-5795,5711,3652,5523,755,3426,807,5557,49,1006,31,47,38,1019
19,18,1930,105,8,47,5715,-5763,47,-5763,5715,3539,5907,636,3306,685,5941,54,1006,44,40,38,1013
20,19,2039,106,11,29,5727,-5756,29,-5756,5727,3419,6294,513,3184,562,6324,43,1049,38,40,38,994
21,20,2144,105,17,194,5143,-5337,194,-5337,5143,3322,6616,384,3070,440,6668,87,884,25,54,38,925
