#Recorded data from Servotor32
#datetime: 06-09-2020_20h-32m-56s
#filename: tripod_x_b_sensors_closed_vertical_floor_unloaded_06-09-2020_20h-32m-56s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,11,0,0,0,19,25
1,0,0,105,0,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,11,6,19,7,31,31
2,1,106,105,7,1226,-1226,1226,-1226,1226,-1226,4430,-219,4430,-219,4430,-219,11,6,13,13,31,37
3,2,215,106,6,217,-217,217,-217,217,-217,4218,-165,4218,-165,4218,-165,50,19,32,7,56,43
4,3,321,105,16,-2027,2027,-2027,2027,-2027,2027,4008,150,4008,150,4008,150,22,0,26,13,62,49
5,4,429,105,8,-4509,4509,-4509,4509,-4509,4509,3798,465,3798,465,3798,465,28,168,19,174,68,153
6,5,537,105,10,-4986,4986,-4986,4986,-4986,4986,3588,780,3588,780,3588,780,45,609,32,651,62,613
7,6,643,105,18,-4711,4711,-4711,4711,-4711,4711,3398,1079,3388,1060,3410,1070,39,969,19,933,62,951
8,7,751,106,8,-4810,4810,-4810,4810,-4810,4810,3207,1397,3189,1378,3244,1384,39,1000,26,1007,86,994
9,8,858,105,13,-4820,4820,-4820,4820,-4820,4820,3018,1712,2993,1693,3086,1699,39,1056,26,1007,99,1006
10,9,964,105,17,-4905,4905,-4905,4905,-4905,4905,2822,2027,2793,2008,2905,2014,28,1006,19,1000,56,1006
11,10,1074,106,9,-4922,4922,-4922,4922,-4922,4922,2625,2345,2591,2326,2722,2332,28,1006,19,1000,56,1012
12,11,1180,105,15,-4857,4857,-4857,4857,-4857,4857,2415,2660,2432,2641,2542,2647,0,1006,96,1027,56,1006
13,12,1286,105,19,-4942,4942,-4942,4942,-4942,4942,2205,2975,2235,2956,2361,2962,-11,1006,26,1020,56,1018
14,13,1395,105,11,-4914,4914,-4914,4914,-4914,4914,1995,3290,2059,3271,2177,3277,-17,1006,64,1000,49,1012
15,14,1501,105,16,-4935,4935,-4935,4935,-4935,4935,1785,3605,1866,3583,1996,3592,-22,1043,32,993,56,1012
16,15,1610,106,10,-4957,4957,-4957,4957,-4957,4957,1573,3923,1671,3901,1810,3910,-11,1006,32,1013,49,1012
17,16,1718,105,12,-4961,4961,-4961,4961,-4961,4961,1363,4238,1474,4216,1629,4225,-34,1019,26,1013,56,1018
18,17,1823,105,17,-4953,4953,-4953,4953,-4953,4953,1153,4553,1281,4531,1448,4540,-17,1006,32,1007,56,1012
19,18,1932,105,8,-4960,4960,-4960,4960,-4960,4960,943,4868,1088,4846,1264,4855,-17,1006,32,1013,49,1018
20,19,2039,105,14,-4926,4926,-4926,4926,-4926,4926,733,5170,895,5154,1074,5170,-11,975,32,987,37,1000
21,20,2144,105,17,-4762,4762,-4762,4762,-4762,4762,523,5449,705,5444,883,5469,-17,932,38,953,37,969
22,21,2252,106,4,-4179,4179,-4179,4179,-4179,4179,311,5659,510,5673,684,5686,-22,795,32,832,25,810
23,22,2360,105,15,-2829,2829,-2829,2829,-2829,2829,101,5700,317,5755,497,5747,-22,478,32,557,43,515
24,23,2465,105,7,-963,963,-963,963,-963,963,-109,5539,127,5616,310,5621,-28,93,38,134,43,160
25,24,2572,105,5,-336,336,-336,336,-336,336,-319,5358,-66,5448,135,5449,-22,56,32,81,68,74
26,25,2679,105,14,-242,242,-242,242,-242,242,-529,5177,-256,5284,-49,5278,-39,56,38,87,49,74
27,26,2785,105,13,-126,126,-126,126,-126,126,-692,4997,-416,5134,-239,5126,89,56,96,114,37,110
28,27,2895,107,6,450,-450,450,-450,450,-450,-769,4813,-523,4967,-414,4938,257,56,199,87,74,49
29,28,3002,105,16,1455,-1455,1455,-1455,1455,-1455,-624,4635,-542,4806,-539,4754,676,62,365,94,160,49
30,29,3109,105,7,3231,-3231,3231,-3231,3231,-3231,-353,4458,-311,4645,-425,4580,916,62,840,94,617,67
31,30,3218,105,11,4352,-4352,4352,-4352,4352,-4352,-47,4280,4,4481,-143,4399,983,62,1006,87,938,55
32,31,3323,105,17,4643,-4643,4643,-4643,4643,-4643,263,4103,319,4317,162,4214,989,62,1077,87,981,49
33,32,3430,105,8,4707,-4707,4707,-4707,4707,-4707,572,3926,634,4156,477,4033,989,62,1032,94,1006,55
34,33,3538,105,12,4674,-4674,4674,-4674,4674,-4674,881,3748,949,4010,789,3852,989,62,1045,121,994,55
35,34,3643,105,17,4706,-4706,4706,-4706,4706,-4706,1187,3574,1264,3845,1104,3671,983,68,1032,87,1000,55
36,35,3752,105,8,4711,-4711,4711,-4711,4711,-4711,1493,3397,1579,3685,1419,3490,983,62,1032,94,1000,55
37,36,3859,105,14,4688,-4688,4688,-4688,4688,-4688,1800,3213,1894,3521,1721,3316,983,50,1032,87,975,67
38,37,3964,105,15,4742,-4742,4742,-4742,4742,-4742,2106,3019,2209,3360,2033,3135,983,31,1045,94,994,55
39,38,4071,105,9,4785,-4785,4785,-4785,4785,-4785,2415,2819,2524,3199,2348,2954,989,19,1026,94,1000,55
40,39,4179,105,14,4818,-4818,4818,-4818,4818,-4818,2730,2615,2839,3039,2663,2773,1000,12,1026,94,1012,55
41,40,4284,105,15,4824,-4824,4824,-4824,4824,-4824,3045,2418,3154,2874,2978,2588,1011,25,1026,87,1006,49
42,41,4391,105,8,4816,-4816,4816,-4816,4816,-4816,3360,2231,3469,2714,3293,2394,1006,43,1026,94,1006,31
43,42,4498,105,13,4838,-4838,4838,-4838,4838,-4838,3675,2031,3784,2564,3608,2194,1011,19,1038,114,1006,18
44,43,4604,105,17,4870,-4870,4870,-4870,4870,-4870,3990,1834,4099,2399,3923,1994,1006,25,1026,87,1012,18
45,44,4712,106,8,4847,-4847,4847,-4847,4847,-4847,4308,1632,4417,2255,4241,1785,1006,19,1026,128,1012,6
46,45,4819,105,14,4888,-4888,4888,-4888,4888,-4888,4623,1432,4732,2094,4556,1578,1006,19,1026,94,1006,6
47,46,4924,105,12,4879,-4879,4879,-4879,4879,-4879,4938,1231,5047,1937,4871,1375,1006,19,1026,101,1006,12
48,47,5031,105,4,4831,-4831,4831,-4831,4831,-4831,5253,1028,5359,1794,5186,1174,1006,12,994,128,1012,18
