#Recorded data from Servotor32
#datetime: 06-09-2020_21h-31m-04s
#filename: tripod_x_b_sensors_closed_vertical_floor_unloaded_06-09-2020_21h-31m-04s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: on floor
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,-11,6,69,-7,6,-7
1,0,0,105,0,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,-11,90,50,7,0,-88
2,1,106,105,15,1226,-1226,1226,-1226,1226,-1226,4430,-219,4430,-219,4430,-219,-11,0,-13,0,60,-7
3,2,211,105,6,226,-226,226,-226,226,-226,4220,-171,4220,-171,4220,-171,0,12,-13,13,6,-7
4,3,319,106,6,-1998,1998,-1998,1998,-1998,1998,4008,147,4008,147,4008,147,-22,60,50,0,0,0
5,4,426,105,16,-4503,4503,-4503,4503,-4503,4503,3798,462,3798,462,3798,462,-22,-6,82,40,6,-95
6,5,531,105,8,-4985,4985,-4985,4985,-4985,4985,3588,777,3588,777,3588,777,-16,452,-13,457,78,367
7,6,638,105,6,-4534,4534,-4534,4534,-4534,4534,3403,1057,3421,1036,3384,1049,49,934,82,894,12,918
8,7,745,105,15,-4740,4740,-4740,4740,-4740,4740,3205,1362,3244,1351,3206,1353,22,982,63,1007,60,980
9,8,850,105,8,-4940,4940,-4940,4940,-4940,4940,2995,1677,3034,1666,3030,1668,-27,1012,-13,1013,66,1014
10,9,958,106,9,-4831,4831,-4831,4831,-4831,4831,2803,1995,2855,1984,2857,1986,38,1018,63,1013,72,1000
11,10,1065,105,15,-5032,5032,-5032,5032,-5032,5032,2593,2310,2645,2299,2653,2301,-11,1018,-6,1020,12,1000
12,11,1171,105,17,-4953,4953,-4953,4953,-4953,4953,2434,2625,2435,2614,2443,2616,97,1018,0,1020,0,1000
13,12,1281,106,11,-4938,4938,-4938,4938,-4938,4938,2245,2943,2223,2932,2260,2934,43,1042,-13,1013,54,1034
14,13,1387,105,17,-4948,4948,-4948,4948,-4948,4948,2055,3258,2013,3237,2066,3249,38,1012,-44,980,30,1000
15,14,1496,106,9,-5041,5041,-5041,5041,-5041,5041,1851,3576,1801,3555,1857,3567,16,1006,-44,1007,6,1007
16,15,1603,105,12,-5080,5080,-5080,5080,-5080,5080,1641,3891,1591,3870,1650,3882,-43,1006,-44,1000,6,1000
17,16,1708,105,17,-5054,5054,-5054,5054,-5054,5054,1434,4206,1394,4185,1440,4197,5,1006,25,1007,0,1000
18,17,1816,106,8,-5000,5000,-5000,5000,-5000,5000,1222,4524,1182,4503,1263,4515,-59,1006,-44,1020,66,1020
19,18,1923,105,13,-4981,4981,-4981,4981,-4981,4981,1012,4839,976,4818,1088,4830,-70,1012,6,1007,66,1000
20,19,2029,105,17,-4994,4994,-4994,4994,-4994,4994,802,5154,766,5133,910,5145,-81,1018,-44,1013,60,1007
21,20,2137,105,9,-4796,4796,-4796,4796,-4796,4796,592,5447,572,5434,738,5442,-32,958,31,974,72,966
22,21,2244,105,14,-4542,4542,-4542,4542,-4542,4542,382,5712,362,5703,565,5700,-86,904,-31,914,72,891
23,22,2350,105,11,-2901,2901,-2901,2901,-2901,2901,172,5748,152,5772,359,5744,-103,470,-31,530,6,483
24,23,2457,105,5,-500,500,-500,500,-500,500,-38,5538,-22,5579,152,5534,-92,-6,69,33,6,-82
25,24,2565,105,15,-141,141,-141,141,-141,141,-248,5328,-232,5418,-27,5324,-59,-30,-31,93,60,-27
26,25,2671,105,12,36,-36,36,-36,36,-36,-458,5118,-442,5222,-199,5114,-97,-30,-44,26,72,0
27,26,2780,106,10,64,-64,64,-64,64,-64,-670,4906,-637,5020,-395,4902,-27,-30,31,20,30,-61
28,27,2886,105,16,712,-712,712,-712,712,-712,-676,4728,-748,4855,-564,4692,389,60,189,86,78,-129
29,28,2991,105,8,2316,-2316,2316,-2316,2316,-2316,-480,4556,-681,4701,-530,4482,773,72,528,106,464,-129
30,29,3100,106,7,4127,-4127,4127,-4127,4127,-4127,-185,4373,-399,4499,-289,4270,957,54,931,20,855,-143
31,30,3207,105,17,4751,-4751,4751,-4751,4751,-4751,107,4163,-84,4303,1,4060,957,-30,1025,26,952,-143
32,31,3315,105,9,4830,-4830,4830,-4830,4830,-4830,403,3953,231,4139,303,3850,962,-12,1057,86,976,-136
33,32,3423,105,12,4813,-4813,4813,-4813,4813,-4813,689,3743,546,3977,606,3640,946,-24,1031,93,976,-143
34,33,3528,105,18,4880,-4880,4880,-4880,4880,-4880,996,3533,861,3809,908,3430,984,-30,1031,79,976,-75
35,34,3636,106,9,4863,-4863,4863,-4863,4863,-4863,1294,3359,1179,3604,1217,3218,962,72,1013,13,982,-177
36,35,3743,105,13,4822,-4822,4822,-4822,4822,-4822,1583,3177,1494,3429,1532,3008,951,54,1019,66,1000,-109
37,36,3849,105,19,4882,-4882,4882,-4882,4882,-4882,1890,2967,1809,3261,1834,2798,984,-30,1025,79,976,-170
38,37,3956,105,9,4863,-4863,4863,-4863,4863,-4863,2185,2757,2124,3096,2139,2588,962,-42,1025,86,982,-184
39,38,4063,105,13,4786,-4786,4786,-4786,4786,-4786,2477,2570,2439,2931,2442,2378,957,42,1019,86,976,-184
40,39,4169,105,18,4779,-4779,4779,-4779,4779,-4779,2769,2382,2754,2766,2747,2168,957,42,1019,86,982,-177
41,40,4277,105,9,4918,-4918,4918,-4918,4918,-4918,3062,2172,3069,2570,3053,1958,957,-24,1025,26,982,-218
42,41,4384,105,14,4881,-4881,4881,-4881,4881,-4881,3357,1962,3384,2395,3352,1748,962,-36,1019,66,970,-218
43,42,4489,105,13,4855,-4855,4855,-4855,4855,-4855,3646,1777,3699,2199,3654,1538,951,48,1019,26,976,-224
44,43,4597,105,8,4833,-4833,4833,-4833,4833,-4833,3947,1589,4014,2027,3960,1328,973,42,1019,73,982,-245
45,44,4704,105,14,4869,-4869,4869,-4869,4869,-4869,4245,1414,4329,1827,4268,1118,968,66,1019,20,988,-272
46,45,4809,105,11,4943,-4943,4943,-4943,4943,-4943,4540,1204,4644,1628,4571,908,962,-30,1013,20,976,-265
47,46,4917,106,8,4839,-4839,4839,-4839,4839,-4839,4841,992,4962,1465,4866,696,968,-18,1000,93,958,-252
48,47,5025,105,15,4854,-4854,4854,-4854,4854,-4854,5136,807,5273,1269,5169,486,962,48,994,26,976,-265
49,48,5131,105,8,4434,-4434,4434,-4434,4434,-4434,5383,619,5513,1069,5424,276,870,42,855,20,886,-279
50,49,5240,107,6,2991,-2991,2991,-2991,2991,-2991,5481,428,5541,901,5567,62,584,42,453,86,669,-286
51,50,5347,105,15,1513,-1513,1513,-1513,1513,-1513,5413,218,5456,733,5490,-148,270,-36,239,79,253,-286
52,51,5455,105,8,298,-298,298,-298,298,-298,5203,8,5263,537,5280,-358,-103,-36,31,26,-60,-293
53,52,5563,105,12,178,-178,178,-178,178,-178,4993,-193,5115,334,5070,-568,-151,18,119,13,-84,-286
54,53,5668,105,17,42,-42,42,-42,42,-42,4783,-403,4919,134,4860,-778,-151,-60,25,20,-84,-231
55,54,5775,105,8,-316,316,-316,316,-316,316,4573,-575,4712,-69,4650,-906,-151,72,6,13,-78,156
56,55,5883,105,12,-1568,1568,-1568,1568,-1568,1568,4363,-598,4505,-279,4440,-723,-141,355,6,0,-84,748
57,56,5988,105,18,-2693,2693,-2693,2693,-2693,2693,4153,-406,4342,-430,4230,-433,-146,765,88,113,-66,952
58,57,6097,106,9,-4116,4116,-4116,4116,-4116,4116,3941,-95,4133,-305,4018,-119,-157,988,6,636,-48,993
59,58,6204,105,14,-4662,4662,-4662,4662,-4662,4662,3731,220,3969,-28,3808,185,-151,1006,88,927,-78,980
60,59,6309,105,17,-5016,5016,-5016,5016,-5016,5016,3521,535,3759,287,3598,500,-157,1006,0,1000,-84,1000
61,60,6417,105,10,-5056,5056,-5056,5056,-5056,5056,3311,850,3549,599,3388,808,-162,1000,0,993,-78,986
62,61,6524,105,14,-5038,5038,-5038,5038,-5038,5038,3101,1162,3346,910,3178,1116,-157,994,13,993,-78,986
63,62,6629,105,18,-5079,5079,-5079,5079,-5079,5079,2891,1477,3139,1225,2968,1431,-168,1018,6,1000,-84,1061
64,63,6736,105,9,-4941,4941,-4941,4941,-4941,4941,2681,1789,2985,1540,2758,1746,-162,994,107,1007,-84,1000
65,64,6843,105,13,-5061,5061,-5061,5061,-5061,5061,2471,2104,2778,1855,2548,2061,-184,1006,6,1000,-84,1000
66,65,6949,105,19,-4937,4937,-4937,4937,-4937,4937,2261,2419,2628,2170,2338,2376,-189,1018,113,1007,-48,1027
67,66,7056,105,8,-4948,4948,-4948,4948,-4948,4948,2051,2734,2464,2485,2128,2691,-195,1006,88,1007,-96,1007
68,67,7163,105,13,-5062,5062,-5062,5062,-5062,5062,1841,3049,2257,2800,1918,3006,-184,1000,6,1007,-48,1027
69,68,7269,105,19,-4937,4937,-4937,4937,-4937,4937,1631,3364,2104,3115,1708,3317,-195,1006,107,1000,-48,993
70,69,7376,105,9,-4912,4912,-4912,4912,-4912,4912,1421,3679,1950,3430,1498,3629,-200,1006,107,1013,-78,993
