#Recorded data from Servotor32
#datetime: 06-09-2020_20h-58m-16s
#filename: wave_x_b_sensors_closed_vertical_floor_unloaded_06-09-2020_20h-58m-16s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=8.00
#y_bar=0.12
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,8000,-8000,-4800,-1600,1600,4800,7560,60,1660,3260,4860,6460,28,-16,16,11,21,-5
1,0,0,105,0,7354,-7356,-4414,-1471,1472,4415,7635,-3,1597,3197,4797,6397,28,-16,16,16,26,-5
2,1,105,105,7,3113,-3114,-1868,-623,623,1869,7572,-66,1534,3134,4734,6334,33,-16,21,27,21,0
3,2,213,105,6,599,-599,-359,-120,120,359,7509,-95,1471,3071,4671,6271,127,-16,10,22,16,0
4,3,320,105,15,368,306,-489,-276,-61,153,7446,305,1408,3008,4608,6208,160,-16,10,22,11,-11
5,4,426,105,8,3487,5753,-5788,-3470,-1151,1168,7383,767,1345,2945,4545,6145,85,68,16,22,16,-26
6,5,533,105,6,4548,7568,-7575,-4544,-1514,1517,7320,1229,1282,2882,4482,6082,80,158,16,22,11,-21
7,6,640,105,15,3722,4946,-5634,-3250,-1042,1258,7299,1489,1222,2828,4425,6019,80,616,5,16,11,-21
8,7,746,105,9,4926,6697,-7428,-4365,-1436,1606,7280,1932,1167,2776,4370,5956,85,963,16,22,16,-26
9,8,853,105,6,5294,7224,-8018,-4689,-1566,1755,7262,2391,1109,2725,4312,5893,85,995,10,22,11,-16
10,9,960,105,15,5371,7373,-8125,-4785,-1584,1750,7243,2853,1055,2673,4258,5830,85,1005,16,22,16,-21
11,10,1065,105,7,5367,7475,-8125,-4916,-1583,1782,7219,3315,1002,2616,4200,5767,75,1005,21,11,11,-21
12,11,1173,106,5,5573,7288,-8232,-4949,-1576,1896,7213,3781,950,2561,4142,5703,108,1005,21,16,11,-21
13,12,1280,105,15,5422,7415,-8176,-4885,-1591,1814,7192,4243,895,2507,4085,5640,80,1005,16,16,11,-26
14,13,1385,105,8,5414,7473,-8120,-4975,-1598,1806,7171,4705,846,2450,4027,5577,80,1026,26,11,11,-21
15,14,1493,105,6,5375,7521,-8069,-4951,-1641,1765,7147,5167,796,2395,3970,5514,75,1000,26,16,11,-16
16,15,1600,105,14,5448,7477,-8103,-4979,-1671,1828,7129,5629,747,2341,3910,5451,85,1011,26,16,5,-26
17,16,1705,105,7,5425,7478,-8125,-4944,-1663,1828,7108,6091,695,2287,3850,5388,80,1000,21,16,5,-21
18,17,1813,105,6,5370,7530,-8049,-4909,-1689,1748,7084,6553,645,2235,3792,5325,75,1005,26,22,11,-21
19,18,1920,105,15,5390,7482,-8107,-4911,-1632,1779,7063,7015,593,2181,3735,5262,80,1005,21,16,11,-16
20,19,2025,105,7,5370,7496,-8122,-4940,-1592,1788,7039,7477,541,2124,3677,5199,75,1000,21,11,11,-26
21,20,2133,105,6,5359,7533,-8048,-4908,-1675,1740,7016,7939,492,2072,3620,5136,75,1005,26,22,11,-16
22,21,2240,105,15,5290,7390,-7941,-4892,-1593,1747,6992,8390,442,2015,3562,5073,75,979,26,11,11,-21
23,22,2346,105,8,4717,6506,-6951,-4216,-1543,1486,6969,8769,393,1969,3505,5010,75,842,26,33,11,-16
24,23,2453,105,6,2989,3602,-4082,-2525,-918,934,6945,8928,343,1918,3447,4947,75,421,26,22,11,-21
25,24,2560,105,14,1385,914,-1374,-899,-439,412,6922,8911,294,1869,3387,4884,75,89,26,27,5,-21
26,25,2665,105,7,907,267,-764,-524,-137,251,6893,8884,242,1812,3333,4821,66,68,21,11,16,-21
27,26,2773,105,5,771,160,-559,-375,-183,186,6862,8855,190,1760,3275,4758,61,63,21,22,11,-16
28,27,2880,105,15,969,541,-921,-571,-239,221,6831,8858,138,1709,3220,4695,61,126,21,22,16,-26
29,28,2986,105,8,877,91,-554,-435,-178,199,6810,8825,91,1657,3166,4632,80,58,31,22,16,-21
30,29,3095,107,6,687,36,-373,-308,-156,113,6779,8786,41,1605,3110,4568,61,47,26,22,16,-21
