#Recorded data from Servotor32
#datetime: 06-09-2020_22h-35m-22s
#filename: wave_x_b_sensors_closed_vertical_floor_unloaded_06-09-2020_22h-35m-22s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: on floor
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,6565,65,1465,2865,4265,5665,7,38,84,-45,-35,29
1,0,0,105,0,6419,-6425,-3855,-1284,1287,3858,6668,-3,1397,2797,4197,5597,20,44,0,-32,-49,115
2,1,109,106,7,3044,-3046,-1827,-609,610,1828,6599,-72,1328,2728,4128,5528,52,126,0,-39,-49,115
3,2,216,105,13,585,-586,-351,-117,117,352,6531,-103,1260,2660,4060,5460,52,50,0,-6,-42,36
4,3,322,105,11,354,291,-469,-265,-59,148,6462,289,1192,2591,3991,5391,92,82,6,-78,-42,72
5,4,431,106,4,3071,5063,-5094,-3055,-1013,1029,6393,751,1123,2522,3922,5323,137,25,-6,-78,-70,22
6,5,538,105,15,3983,6628,-6634,-3980,-1326,1329,6325,1207,1054,2454,3854,5254,59,138,6,-91,-56,-7
7,6,644,105,8,3252,4519,-5176,-3021,-865,1291,6291,1479,986,2386,3786,5194,65,648,0,-91,-42,14
8,7,751,105,6,3982,5892,-6654,-3864,-1073,1717,6250,1916,918,2318,3718,5144,52,962,-12,-52,-56,36
9,8,858,105,15,4052,6221,-7079,-4113,-1065,1983,6210,2366,853,2249,3649,5110,52,987,6,-84,-35,65
10,9,964,105,9,4555,6522,-7169,-4325,-1302,1720,6176,2823,791,2181,3581,5042,65,1000,12,-26,-63,-22
11,10,1074,107,7,5054,6125,-7504,-4380,-1225,1931,6180,3288,721,2112,3512,4972,137,1006,-12,-58,-63,0
12,11,1180,105,17,4253,6292,-7356,-4212,-1063,2086,6139,3745,653,2043,3443,4942,52,1000,-12,-97,-63,72
13,12,1287,105,8,4574,6773,-6905,-4602,-1480,1641,6098,4202,616,1975,3375,4873,52,1000,60,-78,-70,0
14,13,1396,106,11,4758,6634,-7045,-4570,-1449,1672,6071,4663,567,1906,3306,4805,78,1000,36,-71,-92,-29
15,14,1501,105,17,4928,6307,-7282,-4444,-1318,1808,6061,5116,505,1838,3238,4736,111,994,12,-91,-99,-94
16,15,1609,106,8,4574,6575,-7173,-4276,-1325,1625,6016,5574,436,1769,3169,4667,46,994,0,-91,-92,-65
17,16,1716,105,12,4738,6423,-7252,-4323,-1303,1718,5992,6028,371,1701,3101,4599,85,994,6,-91,-92,-79
18,17,1821,105,17,4952,6322,-7323,-4452,-1317,1818,5983,6484,312,1633,3033,4531,111,1050,18,-104,-85,-79
19,18,1930,105,8,4517,6943,-6822,-4577,-1546,1486,5925,6941,272,1564,2964,4463,20,1000,54,-97,-92,-72
20,19,2037,105,14,4544,6080,-6885,-4141,-1246,1649,5904,7362,204,1496,2896,4394,92,931,0,-110,-127,-50
21,20,2142,105,14,4137,6213,-6604,-3941,-1248,1444,5850,7775,136,1428,2828,4326,26,918,0,-104,-134,-72
22,21,2250,105,8,3546,5385,-5697,-3390,-1078,1234,5795,8110,68,1360,2760,4258,26,767,-6,-78,-127,-29
23,22,2357,105,14,2139,1995,-2888,-1693,-416,862,5779,8180,2,1291,2691,4190,98,264,6,-104,-127,-7
24,23,2462,105,11,976,581,-954,-790,-201,387,5738,8149,-50,1223,2623,4121,52,69,30,-110,-120,-86
25,24,2570,105,8,450,559,-576,-442,-144,153,5670,8120,-115,1155,2555,4053,-7,75,6,-110,-113,-94
26,25,2676,105,13,321,499,-502,-320,-106,108,5601,8088,-183,1087,2487,3985,-7,69,-6,-110,-113,-94
27,26,2781,105,17,623,1041,-987,-650,-226,199,5533,8106,-248,1018,2418,3917,-13,164,6,-97,-127,-94
28,27,2888,105,8,502,892,-554,-671,-280,111,5465,8090,-298,950,2350,3848,0,101,36,-104,-113,-72
29,28,2996,105,12,778,691,-64,-1091,-468,155,5424,8062,-306,882,2282,3780,52,75,114,-110,-113,-94
30,29,3101,105,17,480,784,-64,-841,-400,40,5356,8033,-339,814,2214,3712,-20,75,66,-71,-127,-129
31,30,3208,105,8,704,1614,1194,-2108,-1171,-234,5287,8008,-253,745,2145,3644,-20,82,295,-91,-127,-165
32,31,3316,105,12,1143,2872,3495,-4326,-2503,-680,5223,7976,21,677,2077,3575,7,69,651,-78,-127,-173
33,32,3421,105,16,1408,3804,5049,-5835,-3421,-1006,5154,7944,395,609,2009,3507,-59,69,843,-71,-120,-173
34,33,3528,105,8,1636,4515,6234,-7011,-4128,-1246,5086,7912,852,541,1941,3439,-39,69,1012,-65,-113,-165
35,34,3636,105,12,1673,4631,6427,-7203,-4244,-1285,5018,7880,1306,472,1872,3371,-65,69,994,-71,-120,-165
36,35,3741,105,17,1666,4639,6534,-7252,-4280,-1307,4950,7845,1762,404,1804,3302,-7,63,1030,-78,-113,-165
37,36,3851,106,8,1923,5071,6124,-7520,-4373,-1225,4881,7849,2223,335,1735,3233,-20,138,1000,-58,-120,-144
38,37,3958,105,15,1750,4774,6371,-7322,-4298,-1274,4812,7820,2677,267,1667,3165,-65,75,994,-65,-127,-158
39,38,4064,105,9,1766,4808,6381,-7361,-4318,-1276,4744,7798,3134,199,1599,3097,-65,88,1006,-65,-113,-158
40,39,4173,105,7,1705,4708,6490,-7304,-4301,-1298,4676,7766,3591,130,1530,3029,-52,69,1006,-78,-113,-173
41,40,4279,105,16,1651,4618,6582,-7250,-4283,-1316,4608,7728,4047,62,1462,2960,-59,57,1000,-71,-120,-165
42,41,4384,105,8,1683,4671,6528,-7283,-4294,-1306,4539,7696,4504,-6,1394,2892,-46,69,1006,-39,-113,-165
43,42,4493,107,6,1661,4625,6520,-7233,-4268,-1304,4470,7660,4966,-76,1324,2823,-59,63,994,-58,-134,-158
44,43,4600,105,16,1834,4922,6268,-7429,-4341,-1254,4402,7651,5423,-144,1256,2754,-59,113,1030,-71,-113,-173
45,44,4708,105,8,1697,4694,6504,-7296,-4298,-1301,4333,7616,5880,-212,1188,2686,-72,63,1006,-32,-120,-165
46,45,4816,105,12,1713,4722,6478,-7313,-4304,-1296,4265,7587,6336,-280,1120,2618,-65,75,1012,-32,-134,-173
47,46,4921,105,16,1887,5012,6188,-7487,-4362,-1238,4197,7585,6793,-349,1051,2550,-59,126,1000,-65,-120,-173
48,47,5028,105,8,1707,4712,6488,-7307,-4302,-1298,4129,7550,7250,-417,983,2481,-46,63,1000,-58,-120,-165
49,48,5136,105,12,1867,4897,5813,-7222,-4192,-1163,4060,7554,7678,-485,915,2413,-13,138,946,-71,-120,-173
50,49,5241,105,14,1173,3070,3622,-4519,-2621,-724,3992,7522,7879,-553,847,2345,-78,69,512,-65,-120,-158
51,50,5349,106,7,613,1384,786,-1699,-928,-157,3923,7497,7864,-622,778,2276,-72,82,102,-32,-113,-137
52,51,5456,105,13,430,1031,857,-1374,-773,-171,3855,7448,7881,-690,710,2208,-98,38,163,-32,-113,-137
53,52,5561,105,14,257,606,465,-792,-443,-93,3787,7393,7854,-759,641,2140,-105,25,78,-32,-113,-137
54,53,5668,105,8,202,489,426,-659,-372,-85,3719,7335,7827,-827,573,2071,-92,19,78,-58,-106,-129
55,54,5776,105,12,230,700,847,-827,-710,-240,3650,7277,7832,-882,505,2003,-111,19,139,26,-106,-129
56,55,5881,105,15,-319,661,1579,1656,-2278,-1299,3582,7208,7782,-762,437,1935,-137,0,36,357,-77,-129
57,56,5989,105,9,-511,658,1816,2566,-2849,-1680,3514,7140,7724,-612,368,1867,-137,-6,18,416,-56,-137
58,57,6097,105,14,-556,721,1995,2783,-3110,-1833,3446,7072,7671,-452,300,1798,-137,-19,30,435,-63,-94
59,58,6202,105,10,-886,1354,3594,4433,-5367,-3127,3377,7004,7653,-108,232,1730,-157,-25,96,786,-63,-137
60,59,6310,105,9,-1153,1570,4294,5767,-6601,-3877,3309,6935,7623,318,164,1662,-111,-19,72,942,-35,-137
61,60,6417,105,14,-1310,1444,4198,6548,-6817,-4063,3241,6867,7561,761,95,1594,-163,-6,12,974,-42,-115
62,61,6522,105,12,-1312,1474,4260,6559,-6883,-4098,3173,6799,7509,1201,27,1525,-157,-38,30,968,-63,-137
63,62,6629,105,8,-1327,1494,4316,6635,-6970,-4148,3104,6731,7456,1647,-41,1457,-170,-38,30,981,-63,-137
64,63,6737,105,14,-1343,1457,4258,6717,-6945,-4144,3036,6662,7398,2094,-109,1389,-163,-25,18,981,-56,-129
65,64,6842,105,10,-1353,1402,4157,6765,-6863,-4108,2968,6594,7333,2537,-178,1321,-157,-13,6,974,-63,-129
66,65,6952,106,9,-1274,1723,4720,6369,-7268,-4271,2899,6525,7315,2995,-247,1252,-124,-31,96,994,-70,-101
67,66,7058,105,15,-1306,1555,4416,6528,-7027,-4166,2831,6457,7265,3438,-315,1183,-163,-44,36,974,-28,-137
68,67,7163,105,8,-1353,1428,4210,6765,-6916,-4134,2762,6389,7200,3884,-383,1115,-163,-25,6,981,-49,-129
69,68,7271,105,5,-1334,1458,4250,6672,-6919,-4126,2694,6321,7145,4327,-451,1047,-150,-38,24,974,-63,-137
70,69,7378,105,15,-1352,1430,4212,6759,-6915,-4133,2626,6252,7083,4774,-520,979,-176,-25,12,981,-77,-137
71,70,7484,105,8,-1355,1425,4204,6775,-6914,-4135,2558,6184,7021,5220,-588,910,-157,-25,12,981,-63,-115
72,71,7593,107,6,-1271,1617,4505,6357,-7048,-4160,2488,6115,6990,5669,-657,841,-163,-38,72,968,-63,-129
73,72,7700,105,16,-1250,1671,4591,6250,-7091,-4171,2420,6046,6963,6108,-726,773,-157,-31,78,968,-28,-129
74,73,7809,106,7,-1268,1675,4618,6338,-7153,-4210,2351,5977,6932,6559,-795,704,-163,-38,72,981,-70,-129
75,74,7916,105,12,-1339,1472,4282,6694,-6960,-4150,2283,5909,6870,7006,-863,635,-170,-38,12,981,-70,-129
76,75,8021,105,17,-1167,1520,4206,5835,-6540,-3854,2214,5841,6840,7398,-931,567,-157,-38,72,877,-70,-129
77,76,8130,106,7,-930,1132,3194,4649,-5054,-2992,2146,5772,6787,7676,-1000,498,-131,-31,30,656,-63,-129
78,77,8236,105,13,-790,938,2667,3952,-4248,-2519,2077,5704,6732,7905,-1068,430,-170,-38,24,565,-70,-122
79,78,8342,105,13,-380,408,1196,1898,-1955,-1167,2009,5635,6663,7942,-1136,362,-183,-38,-12,201,-77,-122
80,79,8451,106,9,-63,96,255,316,-382,-222,1940,5567,6598,7873,-1205,293,-157,-38,6,-6,-70,-129
81,80,8558,105,15,-12,18,49,61,-73,-43,1872,5498,6529,7805,-1274,225,-170,-38,-12,-6,-70,-65
82,81,8663,105,10,-289,-92,105,298,464,-486,1804,5430,6461,7737,-1298,156,-170,-31,-24,-26,85,-101
83,82,8771,105,5,-2158,-591,975,1969,3530,-3725,1735,5362,6415,7668,-1033,88,-176,-38,42,0,634,-43
84,83,8878,105,15,-3538,-1009,1519,3283,5811,-6066,1667,5294,6372,7600,-610,20,-183,-50,48,-6,937,-65
85,84,8984,105,9,-4100,-1266,1569,4257,6474,-6935,1599,5225,6304,7556,-157,-48,-183,-44,-6,45,993,-65
86,85,9093,107,6,-4227,-1331,1565,4435,6683,-7123,1529,5156,6234,7507,309,-118,-170,-57,-18,39,1000,-72
87,86,9200,105,16,-4225,-1335,1556,4441,6679,-7116,1461,5088,6166,7459,762,-186,-176,-31,-6,39,993,-72
88,87,9308,105,8,-4264,-1329,1606,4540,6645,-7199,1393,5019,6098,7418,1219,-254,-131,-25,-6,52,1000,-65
89,88,9416,105,12,-4224,-1129,1966,4326,6381,-7320,1325,4951,6058,7384,1675,-323,-176,-50,54,65,1000,-29
90,89,9521,105,16,-4256,-1296,1663,4481,6624,-7216,1256,4883,5990,7340,2132,-391,-176,-44,-24,45,1000,-43
91,90,9628,105,8,-4270,-1321,1627,4548,6634,-7218,1188,4815,5921,7299,2589,-459,-176,-38,-12,52,1000,-72
92,91,9736,105,12,-4213,-1385,1444,4267,6930,-7042,1120,4746,5853,7230,3046,-527,-111,-44,-6,-13,1007,-65
93,92,9841,105,17,-4254,-1346,1563,4470,6729,-7162,1052,4678,5785,7186,3502,-596,-170,-44,-12,45,1000,-72
94,93,9949,105,9,-4156,-1113,1930,4074,6463,-7198,983,4610,5751,7138,3956,-664,-176,-38,66,39,993,-29
95,94,10056,105,13,-4168,-1337,1494,4152,6857,-6998,915,4542,5683,7070,4409,-732,-183,-38,-6,-13,993,-58
96,95,10162,105,17,-4223,-1358,1506,4338,6826,-7088,847,4473,5615,7015,4865,-800,-190,-44,-6,26,1028,-22
97,96,10271,105,5,-4157,-1376,1404,4179,6887,-6937,779,4405,5547,6947,5315,-869,-176,-50,-24,-13,986,-72
98,97,10378,105,15,-4192,-1395,1401,4196,6978,-6988,710,4337,5478,6879,5771,-937,-163,-57,-18,-19,1000,-7
99,98,10484,105,10,-4130,-1195,1741,3859,6791,-7066,642,4269,5442,6811,6228,-1005,-170,-38,60,0,1021,-79
100,99,10593,106,6,-4101,-1168,1764,3803,6736,-7034,573,4200,5402,6742,6686,-1074,-183,-31,54,-13,993,-22
101,100,10700,105,16,-4208,-1296,1616,4357,6652,-7121,505,4131,5333,6697,7139,-1142,-183,-31,-12,45,993,-65
102,101,10807,105,8,-4058,-1332,1394,4087,6694,-6784,437,4063,5265,6629,7573,-1211,-183,-44,-18,-13,958,0
103,102,10916,106,11,-3402,-1130,1142,3407,5657,-5674,368,3994,5196,6560,7915,-1279,-176,-44,-18,0,775,-79
104,103,11021,105,17,-1702,-508,686,1879,2540,-2896,300,3926,5128,6512,8002,-1348,-183,-44,-12,39,296,-72
105,104,11130,105,8,-327,-98,132,361,488,-557,231,3858,5060,6444,7934,-1416,-170,-38,-6,-6,-21,-79
106,105,11237,105,14,-29,83,196,-101,-8,-141,163,3789,5007,6376,7865,-1484,-163,-44,30,0,-70,-94
107,106,11342,105,16,-20,31,82,54,-75,-71,95,3721,4939,6315,7797,-1552,-150,-38,-24,13,-70,-14
108,107,11451,106,8,-3789,-2254,-718,803,2216,3742,26,3652,4870,6249,7728,-1271,-7,-50,-30,6,-77,662
109,108,11558,105,15,-5922,-4069,-1240,931,3736,6563,-5,3584,4827,6181,7660,-814,72,-25,48,-58,-63,1029
110,109,11664,105,8,-6752,-4150,-1361,1302,4086,6875,-73,3516,4759,6113,7592,-361,0,-13,-18,-6,-56,993
111,110,11773,107,6,-6845,-4058,-1238,1227,4047,6867,-142,3446,4702,6043,7522,97,-118,-31,24,-19,-63,986
112,111,11880,105,17,-6828,-4038,-1242,1240,4036,6832,-211,3378,4644,5975,7454,542,-98,-31,18,-58,-63,978
113,112,11989,106,9,-6886,-4121,-1354,1354,4120,6887,-280,3309,4575,5906,7385,996,-98,-25,-18,-65,-56,986
114,113,12096,105,13,-6924,-4120,-1315,1315,4119,6924,-348,3241,4513,5838,7317,1449,-92,-6,12,-19,-63,993
115,114,12202,105,17,-6938,-4041,-1145,1145,4041,6938,-416,3173,4467,5769,7249,1905,-92,-25,42,-13,-77,1000
116,115,12310,106,9,-6988,-4171,-1353,1353,4171,6988,-485,3104,4398,5700,7180,2367,-105,-31,-24,-13,-63,1000
117,116,12417,105,14,-6998,-4194,-1391,1391,4194,6998,-553,3035,4329,5632,7111,2823,-131,-31,-36,0,-92,1000
