#Recorded data from Servotor32
#datetime: 07-09-2020_18h-30m-11s
#filename: tetrapod_x_b_sensors_closed_vertical_floor_unloaded_07-09-2020_18h-30m-11s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: on floor, tripod
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,5635,135,3135,5635,3135,135,-57,0,55,79,-85,26
1,0,0,105,0,5327,-5327,0,5327,0,-5327,5586,-7,2993,5586,2993,-7,-69,20,-14,33,-21,39
2,1,107,105,14,1881,-1881,0,1881,0,-1881,5444,-148,2852,5444,2852,-148,25,14,7,93,-99,39
3,2,212,105,7,362,-361,0,362,0,-361,5303,-156,2710,5303,2710,-156,-44,20,7,53,-85,98
4,3,319,105,5,70,1174,-1243,70,-1243,1174,5161,227,2568,5161,2568,227,-82,-7,7,33,-49,26
5,4,427,105,15,13,5066,-5079,13,-5079,5066,5019,610,2426,5019,2426,610,-107,34,69,40,-85,33
6,5,532,105,10,3,5820,-5823,3,-5823,5820,4877,994,2285,4877,2285,994,-88,439,41,7,-35,359
7,6,640,106,5,-16,5495,-5479,-16,-5479,5495,4734,1327,2145,4734,2141,1332,-13,899,7,-13,-92,908
8,7,747,105,15,44,5775,-5819,44,-5819,5775,4592,1710,2011,4610,2000,1705,-75,1000,14,33,-70,980
9,8,853,105,11,-9,5941,-5932,-9,-5932,5941,4451,2093,1876,4472,1858,2088,-75,1014,14,7,-85,1026
10,9,961,105,6,-152,5989,-5836,-152,-5836,5989,4309,2476,1767,4330,1716,2471,-50,1007,62,-7,-85,1000
11,10,1067,105,15,-180,5998,-5818,-180,-5818,5998,4167,2860,1658,4188,1574,2855,-88,1027,62,-7,-92,1013
12,11,1173,105,13,44,5887,-5932,44,-5932,5887,4025,3243,1523,4071,1433,3238,-82,1014,14,46,-85,1020
13,12,1280,105,6,-159,5978,-5820,-159,-5820,5978,3884,3626,1418,3929,1291,3621,-88,1007,69,0,-85,1020
14,13,1387,105,15,-64,5996,-5932,-64,-5932,5996,3742,4009,1283,3787,1149,4004,-25,1007,14,-7,-92,1013
