#Recorded data from Servotor32
#datetime: 07-09-2020_18h-26m-24s
#filename: tripod_x_b_sensors_closed_vertical_floor_unloaded_07-09-2020_18h-26m-24s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: on floor, tripod
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,0,60,-23,7,-71,106
1,0,0,105,9,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,37,20,-85,73,-57,19
2,1,107,105,13,1226,-1226,1226,-1226,1226,-1226,4430,-219,4430,-219,4430,-219,-6,107,-85,67,-71,44
3,2,212,105,7,226,-226,226,-226,226,-226,4220,-171,4220,-171,4220,-171,-6,114,-92,13,-57,100
4,3,319,105,7,-1977,1977,-1977,1977,-1977,1977,4010,144,4010,144,4010,144,0,27,-77,-20,-85,31
5,4,427,105,12,-4499,4499,-4499,4499,-4499,4499,3800,459,3800,459,3800,459,67,94,-23,-7,-35,19
6,5,532,105,17,-4984,4984,-4984,4984,-4984,4984,3590,774,3590,774,3590,774,6,564,-85,333,-35,363
7,6,639,105,8,-4659,4659,-4659,4659,-4659,4659,3380,1082,3380,1001,3380,1023,-12,987,-69,833,-28,875
8,7,747,105,12,-4816,4816,-4816,4816,-4816,4816,3192,1397,3170,1295,3170,1305,43,1007,-77,960,-35,938
9,8,852,105,17,-4973,4973,-4973,4973,-4973,4973,2982,1712,2960,1589,2960,1614,0,1020,-92,960,-28,988
10,9,959,105,9,-5021,5021,-5021,5021,-5021,5021,2772,2027,2750,1887,2750,1925,-12,1020,-92,967,-85,994
11,10,1067,105,12,-4912,4912,-4912,4912,-4912,4912,2594,2342,2540,2184,2540,2224,61,1020,-85,967,-99,969
12,11,1172,105,18,-4984,4984,-4984,4984,-4984,4984,2384,2657,2330,2482,2330,2526,-6,1007,-23,967,-35,975
13,12,1281,106,10,-4955,4955,-4955,4955,-4955,4955,2182,2975,2118,2782,2118,2824,18,1094,-77,967,-99,963
14,13,1389,105,15,-4931,4931,-4931,4931,-4931,4931,1978,3290,1908,3072,1908,3116,12,1000,-15,953,-35,956
15,14,1495,105,11,-5006,5006,-5006,5006,-5006,5006,1768,3605,1698,3377,1698,3418,-61,1007,-62,980,-85,975
16,15,1602,105,6,-4983,4983,-4983,4983,-4983,4983,1558,3920,1492,3674,1488,3716,-79,1013,8,967,-85,969
17,16,1709,105,15,-4980,4980,-4980,4980,-4980,4980,1348,4235,1282,3972,1278,4012,-85,1007,-77,967,-21,963
18,17,1815,105,11,-5007,5007,-5007,5007,-5007,5007,1138,4550,1072,4276,1068,4310,-98,1027,-69,980,-64,969
19,18,1923,105,6,-4985,4985,-4985,4985,-4985,4985,928,4865,862,4574,858,4606,-98,1020,-77,967,-85,963
20,19,2029,105,15,-5041,5041,-5041,5041,-5041,5041,718,5180,652,4875,648,4921,-110,1013,0,973,-85,1000
21,20,2135,105,13,-4991,4991,-4991,4991,-4991,4991,508,5484,442,5179,438,5219,-116,980,-8,980,-28,969
22,21,2244,106,7,-4584,4584,-4584,4584,-4584,4584,296,5681,230,5459,226,5507,-110,772,-23,927,-92,944
23,22,2351,105,17,-3925,3925,-3925,3925,-3925,3925,86,5781,20,5679,16,5721,-110,591,-69,820,-85,806
24,23,2460,105,8,-1914,1914,-1914,1914,-1914,1914,-124,5624,-190,5679,-194,5691,-98,101,-62,400,-85,344
25,24,2567,105,12,-377,377,-377,377,-377,377,-334,5414,-400,5473,-404,5481,-104,0,-23,7,-99,-13
26,25,2672,105,18,-220,220,-220,220,-220,220,-544,5257,-610,5266,-614,5271,-110,101,-8,7,-85,-50
27,26,2781,107,9,7,-7,7,-7,7,-7,-745,5043,-816,5056,-828,5057,24,-7,15,7,-21,-19
28,27,2888,105,14,1355,-1355,1355,-1355,1355,-1355,-779,4833,-828,4877,-863,4847,335,0,377,60,333,-50
29,28,2993,105,14,3323,-3323,3323,-3323,3323,-3323,-595,4676,-614,4671,-664,4637,750,101,808,7,780,-44
30,29,3101,106,8,4655,-4655,4655,-4655,4655,-4655,-306,4464,-308,4462,-346,4425,945,0,977,7,1000,-50
31,30,3208,105,14,4907,-4907,4907,-4907,4907,-4907,-1,4257,7,4280,-31,4215,982,7,1008,53,1007,-50
32,31,3314,105,13,4938,-4938,4938,-4938,4938,-4938,302,4047,322,4105,284,4005,976,0,1008,67,1000,-50
33,32,3423,106,10,5000,-5000,5000,-5000,5000,-5000,603,3839,640,3900,602,3793,970,7,1008,13,1007,-50
34,33,3529,105,15,5038,-5038,5038,-5038,5038,-5038,906,3629,955,3694,917,3583,976,0,1069,7,1000,-50
35,34,3634,105,14,5054,-5054,5054,-5054,5054,-5054,1211,3419,1270,3487,1232,3373,982,0,1015,7,1007,-56
36,35,3743,106,9,5030,-5030,5030,-5030,5030,-5030,1516,3214,1588,3279,1550,3161,976,13,1015,7,1007,-88
37,36,3849,105,15,4967,-4967,4967,-4967,4967,-4967,1815,3007,1899,3072,1847,2951,970,7,992,7,965,-94
38,37,3954,105,15,5040,-5040,5040,-5040,5040,-5040,2121,2797,2214,2866,2162,2741,982,0,1015,7,1057,-106
39,38,4063,107,10,5054,-5054,5054,-5054,5054,-5054,2435,2583,2535,2659,2483,2527,988,0,1008,13,1000,-100
40,39,4170,105,16,5057,-5057,5057,-5057,5057,-5057,2740,2373,2850,2452,2798,2317,982,-7,1008,7,1000,-113
41,40,4279,105,9,4871,-4871,4871,-4871,4871,-4871,3055,2220,3165,2270,3113,2107,1061,107,1015,53,1007,-100
42,41,4387,105,12,4783,-4783,4783,-4783,4783,-4783,3361,2059,3480,2106,3428,1897,982,94,1015,87,1007,-119
43,42,4492,105,17,4987,-4987,4987,-4987,4987,-4987,3663,1849,3795,1903,3743,1687,976,-7,1008,13,1007,-113
44,43,4600,105,8,5051,-5051,5051,-5051,5051,-5051,3978,1639,4110,1703,4058,1477,1043,0,1046,20,1000,-113
45,44,4707,105,12,4863,-4863,4863,-4863,4863,-4863,4283,1471,4425,1528,4373,1267,982,81,1008,67,1007,-100
46,45,4812,105,17,5003,-5003,5003,-5003,5003,-5003,4586,1261,4740,1325,4688,1057,976,-7,1015,13,1000,-106
