#Recorded data from Servotor32
#datetime: 07-09-2020_18h-38m-11s
#filename: wave_x_b_sensors_closed_vertical_floor_unloaded_07-09-2020_18h-38m-11s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: on floor, tripod
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,6565,65,1465,2865,4265,5665,51,15,-7,37,-90,-131
1,0,0,105,0,6419,-6425,-3855,-1284,1287,3858,6668,-3,1397,2797,4197,5597,57,15,0,-45,-97,-15
2,1,109,106,4,3044,-3046,-1827,-609,610,1828,6599,-72,1328,2728,4128,5528,82,-106,51,22,-97,-124
3,2,216,105,14,585,-586,-351,-117,117,352,6531,-103,1260,2660,4060,5460,38,-106,0,30,-90,-117
4,3,321,105,6,354,291,-469,-265,-59,148,6462,289,1192,2591,3991,5391,25,-91,-7,-52,-90,-109
5,4,429,106,5,3071,5063,-5094,-3055,-1013,1029,6393,751,1123,2522,3922,5323,-13,-83,-7,-60,-7,-124
6,5,536,105,14,3983,6628,-6634,-3980,-1326,1329,6325,1207,1054,2454,3854,5254,-13,-68,0,15,-97,-95
7,6,641,105,9,2549,4151,-4210,-2520,-830,859,6260,1410,986,2386,3786,5186,6,515,-14,-67,-104,-102
8,7,749,106,9,3714,6240,-6149,-3606,-1371,1172,6191,1847,917,2329,3717,5117,-6,955,-7,22,-97,-102
9,8,856,105,15,4029,6725,-6708,-4009,-1369,1330,6123,2291,849,2261,3649,5049,-19,977,-22,-60,-104,-131
10,9,962,105,14,4124,6954,-6784,-4052,-1537,1294,6055,2744,785,2204,3581,4981,-13,992,7,22,-82,0
11,10,1069,105,6,4513,6822,-6647,-4469,-1650,1431,6017,3193,751,2144,3512,4912,57,985,65,15,-90,-139
12,11,1176,105,15,4521,6637,-7061,-4283,-1382,1569,5975,3646,682,2076,3444,4844,51,992,0,-67,-97,-124
13,12,1282,105,16,4459,6697,-7057,-4274,-1370,1545,5927,4098,618,2007,3376,4776,38,992,7,-45,-90,-124
14,13,1390,105,6,4224,6899,-6968,-4189,-1386,1419,5858,4551,550,1939,3308,4708,-13,992,0,-52,-90,-131
