#Recorded data from Servotor32
#datetime: 07-09-2020_18h-38m-11s
#filename: wave_x_b_sensors_closed_vertical_floor_unloaded_07-09-2020_18h-38m-11s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: on floor, tripod
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,7.0,-7.0,-4.2,-1.4,1.4,4.2,6.565,0.065,1.465,2.865,4.265,5.665,0.051,0.015,-0.007,0.037,-0.09,-0.131,0.051,0.015,0.0,0.037,0.0,0.0,0.898,-0.898,-0.539,-0.18,0.18,0.539,0.898,0.0,0.0,0.0,0.0,0.001,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.929,0.053,0.153,0.37,0.656,0.861,6.565,0.065,1.465,2.865,4.265,5.665,0.841,0.841,0.841,0.841,0.841,0.841
1,0,0.0,0.105,0.0,6.419,-6.425,-3.855,-1.284,1.287,3.858,6.668,-0.003,1.397,2.797,4.197,5.597,0.057,0.015,0.0,-0.045,-0.097,-0.015,0.057,0.015,0.0,0.0,0.0,0.0,0.897,-0.898,-0.539,-0.179,0.18,0.539,0.325,0.0,0.0,0.0,0.0,0.0,3.5,3.498,3.5,3.5,3.5,3.5,0.0,-0.003,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.935,0.05,0.146,0.356,0.643,0.854,6.565,0.065,1.465,2.865,4.265,5.665,0.841,0.841,0.841,0.841,0.841,0.841
2,1,0.109,0.106,0.004,3.044,-3.046,-1.827,-0.609,0.61,1.828,6.599,-0.072,1.328,2.728,4.128,5.528,0.082,-0.106,0.051,0.022,-0.097,-0.124,0.082,0.0,0.051,0.022,0.0,0.0,0.325,-0.325,-0.195,-0.065,0.065,0.195,0.0,0.0,0.0,0.0,0.0,0.0,3.334,3.464,3.5,3.5,3.5,3.5,0.0,-0.072,0.0,0.0,0.0,0.0,6.668,7.0,7.0,7.0,7.0,7.0,0.947,0.05,0.139,0.343,0.629,0.846,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.833,0.841,0.841,0.841,0.841
3,2,0.216,0.105,0.014,0.585,-0.586,-0.351,-0.117,0.117,0.352,6.531,-0.103,1.26,2.66,4.06,5.46,0.038,-0.106,0.0,0.03,-0.09,-0.117,0.038,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,3.334,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.668,7.0,7.0,7.0,7.0,7.0,0.944,0.05,0.132,0.33,0.616,0.839,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.829,0.841,0.841,0.841,0.841
4,3,0.321,0.105,0.006,0.354,0.291,-0.469,-0.265,-0.059,0.148,6.462,0.289,1.192,2.591,3.991,5.391,0.025,-0.091,-0.007,-0.052,-0.09,-0.109,0.025,0.0,0.0,0.0,0.0,0.0,0.043,0.071,-0.071,-0.043,-0.014,0.014,0.0,0.878,0.0,0.0,0.0,0.0,3.334,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.668,7.0,7.0,7.0,7.0,7.0,0.941,0.068,0.125,0.318,0.602,0.831,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.829,0.841,0.841,0.841,0.841
5,4,0.429,0.106,0.005,3.071,5.063,-5.094,-3.055,-1.013,1.029,6.393,0.751,1.123,2.522,3.922,5.323,-0.013,-0.083,-0.007,-0.06,-0.007,-0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.527,0.878,-0.877,-0.527,-0.176,0.175,0.0,1.0,0.0,0.0,0.0,0.0,3.334,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.668,7.0,7.0,7.0,7.0,7.0,0.937,0.097,0.119,0.305,0.588,0.823,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.829,0.841,0.841,0.841,0.841
6,5,0.536,0.105,0.014,3.983,6.628,-6.634,-3.98,-1.326,1.329,6.325,1.207,1.054,2.454,3.854,5.254,-0.013,-0.068,0.0,0.015,-0.097,-0.095,0.0,0.0,0.0,0.015,0.0,0.0,0.6,1.0,-1.0,-0.6,-0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,3.334,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.668,7.0,7.0,7.0,7.0,7.0,0.933,0.135,0.113,0.293,0.574,0.814,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.829,0.841,0.841,0.841,0.841
7,6,0.641,0.105,0.009,2.549,4.151,-4.21,-2.52,-0.83,0.859,6.26,1.41,0.986,2.386,3.786,5.186,0.006,0.515,-0.014,-0.067,-0.104,-0.102,0.006,0.515,0.0,0.0,0.0,0.0,0.315,0.509,-0.519,-0.31,-0.102,0.107,0.0,1.0,0.0,0.0,0.0,0.0,3.334,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.668,7.0,7.0,7.0,7.0,7.0,0.93,0.156,0.108,0.281,0.56,0.805,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.829,0.841,0.841,0.841,0.841
8,7,0.749,0.106,0.009,3.714,6.24,-6.149,-3.606,-1.371,1.172,6.191,1.847,0.917,2.329,3.717,5.117,-0.006,0.955,-0.007,0.022,-0.097,-0.102,0.0,0.955,0.0,0.022,0.0,0.0,0.569,0.959,-0.942,-0.551,-0.213,0.178,0.0,1.0,0.0,0.0,0.0,0.0,3.334,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.668,7.0,7.0,7.0,7.0,7.0,0.926,0.21,0.102,0.272,0.546,0.796,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.829,0.841,0.841,0.841,0.841
9,8,0.856,0.105,0.015,4.029,6.725,-6.708,-4.009,-1.369,1.33,6.123,2.291,0.849,2.261,3.649,5.049,-0.019,0.977,-0.022,-0.06,-0.104,-0.131,0.0,0.977,0.0,0.0,0.0,0.0,0.586,0.977,-0.977,-0.586,-0.195,0.195,0.0,1.0,0.0,0.0,0.0,0.0,3.334,3.448,3.5,3.5,3.5,3.5,0.0,-0.103,0.0,0.0,0.0,0.0,6.668,7.0,7.0,7.0,7.0,7.0,0.922,0.277,0.097,0.261,0.531,0.786,6.565,0.065,1.465,2.865,4.265,5.665,0.883,0.829,0.841,0.841,0.841,0.841
