#Recorded data from Servotor32
#datetime: 07-09-2020_22h-54m-41s
#filename: tetrapod_x_b_sensors_closed_vertical_floor_unloaded_07-09-2020_22h-54m-41s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 1
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,5635,135,3135,5635,3135,135,-6,190,52,58,-20,-27
1,0,0,105,0,5327,-5327,0,5327,0,-5327,5586,-7,2993,5586,2993,-7,24,74,39,110,27,-7
2,1,105,105,12,1881,-1881,0,1881,0,-1881,5444,-148,2852,5444,2852,-148,24,178,33,77,-54,-20
3,2,213,105,8,362,-361,0,362,0,-361,5303,-156,2710,5303,2710,-156,112,104,98,148,107,54
4,3,320,105,10,70,1174,-1243,70,-1243,1174,5161,227,2568,5161,2568,227,101,55,92,65,67,27
5,4,426,105,15,13,5066,-5079,13,-5079,5066,5019,610,2426,5019,2426,610,-12,190,98,123,-34,87
6,5,535,106,11,2,5827,-5830,2,-5830,5827,4876,997,2283,4876,2283,997,6,472,105,13,-40,490
7,6,642,105,10,-304,5472,-5168,-304,-5168,5472,4734,1332,2213,4758,2159,1345,0,908,137,45,34,933
8,7,747,105,12,-296,5909,-5613,-296,-5613,5909,4589,1699,2151,4643,2014,1771,-6,969,150,52,-7,1081
9,8,854,105,10,348,6046,-6394,348,-6394,6046,4472,2089,2005,4512,1823,2196,47,1012,-7,19,-94,1081
10,9,961,105,9,259,5715,-5973,259,-5973,5715,4390,2450,1877,4377,1691,2604,112,957,26,13,20,1047
11,10,1067,105,14,21,5859,-5879,21,-5879,5859,4298,2852,1791,4262,1578,3026,95,1037,105,52,54,1074
12,11,1175,105,10,226,6106,-6331,226,-6331,6106,4162,3248,1666,4144,1401,3455,12,1025,33,45,-67,1087
13,12,1282,105,11,278,6014,-6293,278,-6293,6014,4030,3632,1535,4026,1231,3870,18,1000,20,45,-54,1060
14,13,1392,106,10,-164,5857,-5693,-164,-5693,5857,3899,3999,1457,3893,1091,4268,24,963,124,19,7,1020
15,14,1499,105,15,12,5892,-5904,12,-5904,5892,3767,4363,1343,3765,936,4676,18,963,52,26,-27,1047
16,15,1604,105,13,0,5939,-5939,0,-5939,5939,3631,4740,1229,3633,783,5073,12,988,52,19,-20,1027
17,16,1712,105,10,-45,6077,-6032,-45,-6032,6077,3486,5104,1111,3498,631,5499,-6,963,46,13,-20,1081
18,17,1819,105,16,-53,6167,-6115,-53,-6115,6167,3338,5506,993,3367,479,5899,-12,1037,46,19,-20,1034
19,18,1925,105,13,-11,5946,-5935,-11,-5935,5946,3234,5883,917,3235,319,6318,71,988,124,19,-34,1067
20,19,2034,107,10,125,5832,-5956,125,-5956,5832,3099,6238,786,3101,153,6730,18,933,26,19,-40,1040
21,20,2141,105,17,132,5421,-5554,132,-5554,5421,2998,6589,672,2959,1,7067,77,939,52,0,-20,913
22,21,2246,105,15,160,4070,-4230,160,-4230,4070,2905,6891,571,2831,-148,7201,95,847,78,26,-13,523
23,22,2355,106,10,-23,1643,-1620,-23,-1620,1643,2772,6943,459,2695,-294,7072,18,368,59,13,-7,27
24,23,2462,105,11,220,448,-669,220,-669,448,2630,6843,328,2577,-471,6941,0,80,20,45,-67,20
25,24,2567,105,11,-140,618,-478,-140,-478,618,2476,6814,251,2449,-638,6802,-24,215,124,26,-47,7
