#Recorded data from Servotor32
#datetime: 07-09-2020_22h-49m-08s
#filename: tripod_x_b_sensors_closed_vertical_floor_unloaded_07-09-2020_22h-49m-08s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 1
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,109,106,8,1197,-1197,1197,-1197,1197,-1197,4428,-221,4428,-221,4428,-221,44,74,51,156,-35,70
1,2,215,105,11,219,-219,219,-219,219,-219,4218,-167,4218,-167,4218,-167,13,114,-29,19,-70,64
2,3,324,106,9,-2046,2046,-2046,2046,-2046,2046,4006,151,4006,151,4006,151,50,141,58,110,7,204
3,4,432,105,14,-4513,4513,-4513,4513,-4513,4513,3796,466,3796,466,3796,466,81,242,-22,110,7,115
4,5,537,105,13,-4987,4987,-4987,4987,-4987,4987,3586,781,3586,781,3586,781,31,644,51,526,7,541
5,6,646,106,10,-4881,4881,-4881,4881,-4881,4881,3377,1106,3389,1047,3363,1075,6,1013,29,903,-21,955
6,7,753,105,16,-5221,5221,-5221,5221,-5221,5221,3160,1424,3168,1359,3108,1390,-13,1007,-22,994,-85,1000
7,8,859,105,14,-5246,5246,-5246,5246,-5246,5246,2957,1768,2942,1667,2898,1722,13,1054,-29,987,0,1032
8,9,967,105,11,-5372,5372,-5372,5372,-5372,5372,2747,2100,2706,1975,2662,2067,0,1034,-51,987,-49,1057
9,10,1074,105,18,-5376,5376,-5376,5376,-5376,5376,2534,2440,2481,2287,2426,2402,-6,1047,-29,994,-49,1038
10,11,1179,105,14,-5357,5357,-5357,5357,-5357,5357,2314,2765,2248,2602,2202,2737,-19,1020,-43,1000,-28,1038
11,12,1288,107,10,-5755,5755,-5755,5755,-5755,5755,2083,3144,2014,2954,1924,3102,-31,1107,-36,1058,-120,1083
12,13,1395,105,10,-5168,5168,-5168,5168,-5168,5168,1899,3462,1804,3262,1706,3417,50,1007,0,987,-14,1000
13,14,1500,105,11,-5375,5375,-5375,5375,-5375,5375,1696,3809,1610,3608,1467,3762,13,1060,29,1058,-56,1057
14,15,1608,106,9,-5341,5341,-5341,5341,-5341,5341,1448,4138,1409,3922,1217,4084,-69,1020,22,994,-70,1006
