#Recorded data from Servotor32
#datetime: 07-09-2020_22h-49m-08s
#filename: tripod_x_b_sensors_closed_vertical_floor_unloaded_07-09-2020_22h-49m-08s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 1
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.109,0.106,0.008,1.197,-1.197,1.197,-1.197,1.197,-1.197,4.428,-0.221,4.428,-0.221,4.428,-0.221,0.044,0.074,0.051,0.156,-0.035,0.07,0.044,0.074,0.051,0.156,0.0,0.07,0.0,0.008,-0.008,0.015,-0.015,0.023,0.0,0.008,0.0,0.008,0.0,0.008,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.897,0.039,0.897,0.039,0.897,0.039,4.428,-0.221,4.428,-0.221,4.428,-0.221,1.155,1.155,1.155,1.155,1.155,1.155
1,2,0.215,0.105,0.011,0.219,-0.219,0.219,-0.219,0.219,-0.219,4.218,-0.167,4.218,-0.167,4.218,-0.167,0.013,0.114,-0.029,0.019,-0.07,0.064,0.013,0.114,0.0,0.019,0.0,0.064,-0.023,0.023,-0.023,0.023,-0.023,0.023,0.0,0.502,0.0,0.502,0.0,0.502,2.55,2.466,2.55,2.466,2.55,2.466,0.0,-0.167,0.0,-0.167,0.0,-0.167,5.1,5.1,5.1,5.1,5.1,5.1,0.873,0.05,0.873,0.05,0.873,0.05,4.428,-0.221,4.428,-0.221,4.428,-0.221,1.155,1.118,1.155,1.118,1.155,1.118
2,3,0.324,0.106,0.009,-2.046,2.046,-2.046,2.046,-2.046,2.046,4.006,0.151,4.006,0.151,4.006,0.151,0.05,0.141,0.058,0.11,0.007,0.204,0.05,0.141,0.058,0.11,0.007,0.204,-1.507,1.507,-1.507,1.507,-1.507,1.507,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.466,2.55,2.466,2.55,2.466,0.0,-0.167,0.0,-0.167,0.0,-0.167,5.1,5.1,5.1,5.1,5.1,5.1,0.843,0.07,0.843,0.07,0.843,0.07,4.428,-0.221,4.428,-0.221,4.428,-0.221,1.155,1.118,1.155,1.118,1.155,1.118
3,4,0.432,0.105,0.014,-4.513,4.513,-4.513,4.513,-4.513,4.513,3.796,0.466,3.796,0.466,3.796,0.466,0.081,0.242,-0.022,0.11,0.007,0.115,0.081,0.242,0.0,0.11,0.007,0.115,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.466,2.55,2.466,2.55,2.466,0.0,-0.167,0.0,-0.167,0.0,-0.167,5.1,5.1,5.1,5.1,5.1,5.1,0.808,0.097,0.808,0.097,0.808,0.097,4.428,-0.221,4.428,-0.221,4.428,-0.221,1.155,1.118,1.155,1.118,1.155,1.118
4,5,0.537,0.105,0.013,-4.987,4.987,-4.987,4.987,-4.987,4.987,3.586,0.781,3.586,0.781,3.586,0.781,0.031,0.644,0.051,0.526,0.007,0.541,0.031,0.644,0.051,0.526,0.007,0.541,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.466,2.55,2.466,2.55,2.466,0.0,-0.167,0.0,-0.167,0.0,-0.167,5.1,5.1,5.1,5.1,5.1,5.1,0.768,0.132,0.768,0.132,0.768,0.132,4.428,-0.221,4.428,-0.221,4.428,-0.221,1.155,1.118,1.155,1.118,1.155,1.118
5,6,0.646,0.106,0.01,-4.881,4.881,-4.881,4.881,-4.881,4.881,3.377,1.106,3.389,1.047,3.363,1.075,0.006,1.013,0.029,0.903,-0.021,0.955,0.006,1.0,0.029,0.903,0.0,0.955,-2.823,2.823,-2.823,2.823,-2.823,2.823,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.466,2.55,2.466,2.55,2.466,0.0,-0.167,0.0,-0.167,0.0,-0.167,5.1,5.1,5.1,5.1,5.1,5.1,0.722,0.179,0.725,0.17,0.719,0.174,4.428,-0.221,4.428,-0.221,4.428,-0.221,1.155,1.118,1.155,1.118,1.155,1.118
6,7,0.753,0.105,0.016,-5.221,5.221,-5.221,5.221,-5.221,5.221,3.16,1.424,3.168,1.359,3.108,1.39,-0.013,1.007,-0.022,0.994,-0.085,1.0,0.0,1.0,0.0,0.994,0.0,1.0,-2.994,2.994,-2.994,2.994,-2.994,2.994,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.466,2.55,2.466,2.55,2.466,0.0,-0.167,0.0,-0.167,0.0,-0.167,5.1,5.1,5.1,5.1,5.1,5.1,0.669,0.238,0.671,0.225,0.656,0.231,4.428,-0.221,4.428,-0.221,4.428,-0.221,1.155,1.118,1.155,1.118,1.155,1.118
7,8,0.859,0.105,0.014,-5.246,5.246,-5.246,5.246,-5.246,5.246,2.957,1.768,2.942,1.667,2.898,1.722,0.013,1.054,-0.029,0.987,0.0,1.032,0.013,1.0,0.0,0.987,0.0,1.0,-2.974,2.974,-2.974,2.974,-2.974,2.974,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.466,2.55,2.466,2.55,2.466,0.0,-0.167,0.0,-0.167,0.0,-0.167,5.1,5.1,5.1,5.1,5.1,5.1,0.615,0.314,0.611,0.29,0.599,0.303,4.428,-0.221,4.428,-0.221,4.428,-0.221,1.155,1.118,1.155,1.118,1.155,1.118
8,9,0.967,0.105,0.011,-5.372,5.372,-5.372,5.372,-5.372,5.372,2.747,2.1,2.706,1.975,2.662,2.067,0.0,1.034,-0.051,0.987,-0.049,1.057,0.0,1.0,0.0,0.987,0.0,1.0,-2.987,2.987,-2.987,2.987,-2.987,2.987,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.466,2.55,2.466,2.55,2.466,0.0,-0.167,0.0,-0.167,0.0,-0.167,5.1,5.1,5.1,5.1,5.1,5.1,0.557,0.399,0.545,0.366,0.532,0.39,4.428,-0.221,4.428,-0.221,4.428,-0.221,1.155,1.118,1.155,1.118,1.155,1.118
9,10,1.074,0.105,0.018,-5.376,5.376,-5.376,5.376,-5.376,5.376,2.534,2.44,2.481,2.287,2.426,2.402,-0.006,1.047,-0.029,0.994,-0.049,1.038,0.0,1.0,0.0,0.994,0.0,1.0,-2.994,2.994,-2.994,2.994,-2.994,2.994,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.466,2.55,2.466,2.55,2.466,0.0,-0.167,0.0,-0.167,0.0,-0.167,5.1,5.1,5.1,5.1,5.1,5.1,0.495,0.493,0.48,0.45,0.464,0.482,4.428,-0.221,4.428,-0.221,4.428,-0.221,1.155,1.118,1.155,1.118,1.155,1.118
