#Recorded data from Servotor32
#datetime: 07-09-2020_19h-42m-51s
#filename: tripod_x_b_sensors_closed_vertical_floor_loaded_07-09-2020_19h-42m-51s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Calibration: on floor, tripod
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,-45,-49,-35,84,-56,-28
1,0,0,105,0,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,-70,-56,-28,32,-77,-28
2,1,109,106,5,1197,-1197,1197,-1197,1197,-1197,4428,-221,4428,-221,4428,-221,-38,14,42,65,-70,7
3,2,216,105,12,219,-219,219,-219,219,-219,4218,-167,4218,-167,4218,-167,-45,-56,35,32,-35,-28
4,3,321,105,7,-2024,2024,-2024,2024,-2024,2024,4008,148,4008,148,4008,148,-38,-49,49,45,-14,49
5,4,431,106,7,-4532,4532,-4532,4532,-4532,4532,3796,466,3796,466,3796,466,-45,7,-28,110,-7,35
6,5,537,105,17,-4991,4991,-4991,4991,-4991,4991,3586,781,3586,781,3586,781,32,545,21,591,-70,535
7,6,645,106,8,-4856,4856,-4856,4856,-4856,4856,3374,1069,3374,1054,3374,1088,-45,944,-28,916,-70,979
8,7,753,105,12,-4883,4883,-4883,4883,-4883,4883,3164,1358,3178,1355,3164,1392,-32,951,28,974,-56,979
9,8,858,105,17,-4958,4958,-4958,4958,-4958,4958,2970,1659,2968,1664,2954,1707,32,972,-35,987,-7,1056
10,9,966,105,8,-5035,5035,-5035,5035,-5035,5035,2760,1966,2762,1975,2744,2022,-45,986,7,994,-70,1021
11,10,1073,105,12,-5079,5079,-5079,5079,-5079,5079,2550,2281,2552,2287,2534,2337,-38,1014,-21,994,-70,1014
12,11,1178,105,18,-5058,5058,-5058,5058,-5058,5058,2340,2585,2342,2598,2324,2652,-38,979,-28,994,0,1076
13,12,1287,106,11,-5044,5044,-5044,5044,-5044,5044,2128,2885,2130,2916,2112,2970,-45,965,-21,1000,-14,1021
14,13,1394,105,14,-5032,5032,-5032,5032,-5032,5032,1918,3181,1920,3228,1902,3285,-38,965,-21,994,-70,1014
15,14,1499,105,18,-5049,5049,-5049,5049,-5049,5049,1708,3485,1710,3540,1692,3600,-51,979,-21,994,-14,1007
16,15,1606,105,9,-5053,5053,-5053,5053,-5053,5053,1498,3789,1500,3851,1482,3915,-6,979,-21,994,-85,1014
17,16,1713,105,13,-5024,5024,-5024,5024,-5024,5024,1288,4086,1290,4163,1275,4230,-70,965,-21,994,7,1007
18,17,1818,105,17,-5029,5029,-5029,5029,-5029,5029,1078,4383,1080,4474,1065,4545,-89,965,-21,994,-92,1007
19,18,1926,106,8,-5019,5019,-5019,5019,-5019,5019,866,4693,887,4792,853,4863,-89,986,35,1000,-77,1014
20,19,2033,105,13,-5028,5028,-5028,5028,-5028,5028,656,4994,677,5100,643,5178,-57,972,-14,987,-77,1021
21,20,2139,105,18,-5030,5030,-5030,5030,-5030,5030,446,5301,467,5409,433,5486,-102,986,-21,987,-77,986
22,21,2247,106,9,-4493,4493,-4493,4493,-4493,4493,234,5556,255,5651,221,5715,-108,881,-14,857,-92,833
23,22,2354,105,14,-3926,3926,-3926,3926,-3926,3926,24,5746,45,5840,11,5877,-102,762,-7,760,-14,708
24,23,2459,105,10,-2001,2001,-2001,2001,-2001,2001,-186,5713,-165,5821,-199,5776,-115,336,-7,364,-14,208
25,24,2567,105,5,-517,517,-517,517,-517,517,-396,5503,-364,5672,-409,5566,-102,-21,21,117,-92,0
26,25,2674,105,14,-199,199,-199,199,-199,199,-606,5318,-556,5493,-619,5356,-134,49,35,58,-7,-76
