#Recorded data from Servotor32
#datetime: 07-09-2020_23h-01m-23s
#filename: tripod_x_b_sensors_closed_vertical_floor_loaded_07-09-2020_23h-01m-23s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 1
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,105,105,13,1226,-1226,1226,-1226,1226,-1226,4430,-219,4430,-219,4430,-219,12,73,14,66,43,38
1,2,212,105,8,226,-226,226,-226,226,-226,4220,-171,4220,-171,4220,-171,30,93,103,112,75,82
2,3,320,106,8,-1998,1998,-1998,1998,-1998,1998,4008,147,4008,147,4008,147,65,113,166,92,130,51
3,4,425,105,13,-4503,4503,-4503,4503,-4503,4503,3798,462,3798,462,3798,462,48,132,110,125,81,158
4,5,534,106,9,-4990,4990,-4990,4990,-4990,4990,3586,780,3586,780,3586,780,30,556,34,625,43,620
5,6,641,105,17,-4723,4723,-4723,4723,-4723,4723,3394,1091,3416,1064,3399,1075,36,993,76,941,43,962
6,7,747,105,14,-5021,5021,-5021,5021,-5021,5021,3222,1434,3213,1399,3202,1396,71,1053,14,1039,25,1013
7,8,856,106,9,-5050,5050,-5050,5050,-5050,5050,3010,1756,3012,1721,3019,1734,0,1007,21,1007,56,1038
8,9,962,105,10,-5116,5116,-5116,5116,-5116,5116,2800,2081,2823,2057,2822,2063,0,1020,41,1039,25,1025
9,10,1067,105,15,-4878,4878,-4878,4878,-4878,4878,2621,2399,2642,2372,2648,2384,60,1007,55,1000,68,1013
10,11,1176,106,10,-5050,5050,-5050,5050,-5050,5050,2419,2735,2460,2703,2462,2733,18,1033,55,1026,50,1057
11,12,1283,105,18,-5260,5260,-5260,5260,-5260,5260,2206,3078,2261,3050,2279,3087,-6,1053,21,1059,50,1076
12,13,1390,105,10,-4981,4981,-4981,4981,-4981,4981,2021,3414,2098,3368,2088,3412,48,1040,90,1007,37,1019
13,14,1500,106,13,-5147,5147,-5147,5147,-5147,5147,1799,3749,1908,3710,1893,3744,-18,1033,41,1046,31,1025
14,15,1605,105,13,-5373,5373,-5373,5373,-5373,5373,1623,4116,1712,4067,1670,4102,65,1099,28,1079,-25,1082
15,16,1713,106,9,-5227,5227,-5227,5227,-5227,5227,1430,4455,1507,4406,1458,4433,36,1040,14,1039,0,1025
16,17,1820,105,16,-5239,5239,-5239,5239,-5239,5239,1230,4784,1315,4745,1248,4782,18,1026,34,1046,0,1063
17,18,1925,105,13,-5014,5014,-5014,5014,-5014,5014,1045,5096,1134,5074,1060,5120,48,993,55,1026,43,1044
18,19,2035,106,9,-5181,5181,-5181,5181,-5181,5181,830,5442,952,5420,865,5461,-6,1053,55,1053,31,1044
19,20,2142,105,17,-4736,4736,-4736,4736,-4736,4736,613,5708,763,5693,665,5747,-12,907,41,921,19,943
20,21,2248,105,8,-4140,4140,-4140,4140,-4140,4140,435,5895,568,5925,468,5992,60,755,28,842,25,867
21,22,2356,105,9,-2690,2690,-2690,2690,-2690,2690,215,5938,372,5981,258,5991,-18,483,28,507,0,399
22,23,2463,105,11,-404,404,-404,404,-404,404,8,5781,220,5799,97,5768,6,99,110,53,93,-25
23,24,2568,105,8,-439,439,-439,439,-439,439,-205,5633,43,5637,-100,5628,-6,119,62,92,25,133
24,25,2677,107,9,-545,545,-545,545,-545,545,-428,5543,-149,5497,-314,5407,-18,232,41,138,0,-13
