#Recorded data from Servotor32
#datetime: 07-09-2020_23h-01m-23s
#filename: tripod_x_b_sensors_closed_vertical_floor_loaded_07-09-2020_23h-01m-23s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 1
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.105,0.105,0.013,1.226,-1.226,1.226,-1.226,1.226,-1.226,4.43,-0.219,4.43,-0.219,4.43,-0.219,0.012,0.073,0.014,0.066,0.043,0.038,0.012,0.073,0.014,0.066,0.043,0.038,0.0,0.006,-0.006,0.013,-0.013,0.019,0.0,0.006,0.0,0.006,0.0,0.006,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.898,0.039,0.898,0.039,0.898,0.039,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.155,1.155,1.155,1.155,1.155
1,2,0.212,0.105,0.008,0.226,-0.226,0.226,-0.226,0.226,-0.226,4.22,-0.171,4.22,-0.171,4.22,-0.171,0.03,0.093,0.103,0.112,0.075,0.082,0.03,0.093,0.103,0.112,0.075,0.082,-0.019,0.019,-0.019,0.019,-0.019,0.019,0.0,0.491,0.0,0.491,0.0,0.491,2.55,2.464,2.55,2.464,2.55,2.464,0.0,-0.171,0.0,-0.171,0.0,-0.171,5.1,5.1,5.1,5.1,5.1,5.1,0.873,0.05,0.873,0.05,0.873,0.05,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.117,1.155,1.117,1.155,1.117
2,3,0.32,0.106,0.008,-1.998,1.998,-1.998,1.998,-1.998,1.998,4.008,0.147,4.008,0.147,4.008,0.147,0.065,0.113,0.166,0.092,0.13,0.051,0.065,0.113,0.166,0.092,0.13,0.051,-1.474,1.474,-1.474,1.474,-1.474,1.474,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.464,2.55,2.464,2.55,2.464,0.0,-0.171,0.0,-0.171,0.0,-0.171,5.1,5.1,5.1,5.1,5.1,5.1,0.843,0.07,0.843,0.07,0.843,0.07,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.117,1.155,1.117,1.155,1.117
3,4,0.425,0.105,0.013,-4.503,4.503,-4.503,4.503,-4.503,4.503,3.798,0.462,3.798,0.462,3.798,0.462,0.048,0.132,0.11,0.125,0.081,0.158,0.048,0.132,0.11,0.125,0.081,0.158,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.464,2.55,2.464,2.55,2.464,0.0,-0.171,0.0,-0.171,0.0,-0.171,5.1,5.1,5.1,5.1,5.1,5.1,0.809,0.096,0.809,0.096,0.809,0.096,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.117,1.155,1.117,1.155,1.117
4,5,0.534,0.106,0.009,-4.99,4.99,-4.99,4.99,-4.99,4.99,3.586,0.78,3.586,0.78,3.586,0.78,0.03,0.556,0.034,0.625,0.043,0.62,0.03,0.556,0.034,0.625,0.043,0.62,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.464,2.55,2.464,2.55,2.464,0.0,-0.171,0.0,-0.171,0.0,-0.171,5.1,5.1,5.1,5.1,5.1,5.1,0.768,0.132,0.768,0.132,0.768,0.132,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.117,1.155,1.117,1.155,1.117
5,6,0.641,0.105,0.017,-4.723,4.723,-4.723,4.723,-4.723,4.723,3.394,1.091,3.416,1.064,3.399,1.075,0.036,0.993,0.076,0.941,0.043,0.962,0.036,0.993,0.076,0.941,0.043,0.962,-2.741,2.741,-2.741,2.741,-2.741,2.741,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.464,2.55,2.464,2.55,2.464,0.0,-0.171,0.0,-0.171,0.0,-0.171,5.1,5.1,5.1,5.1,5.1,5.1,0.726,0.177,0.731,0.173,0.727,0.175,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.117,1.155,1.117,1.155,1.117
6,7,0.747,0.105,0.014,-5.021,5.021,-5.021,5.021,-5.021,5.021,3.222,1.434,3.213,1.399,3.202,1.396,0.071,1.053,0.014,1.039,0.025,1.013,0.071,1.0,0.014,1.0,0.025,1.0,-2.89,2.89,-2.89,2.89,-2.89,2.89,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.464,2.55,2.464,2.55,2.464,0.0,-0.171,0.0,-0.171,0.0,-0.171,5.1,5.1,5.1,5.1,5.1,5.1,0.685,0.24,0.683,0.233,0.68,0.233,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.117,1.155,1.117,1.155,1.117
7,8,0.856,0.106,0.009,-5.05,5.05,-5.05,5.05,-5.05,5.05,3.01,1.756,3.012,1.721,3.019,1.734,0.0,1.007,0.021,1.007,0.056,1.038,0.0,1.0,0.021,1.0,0.056,1.0,-2.923,2.923,-2.923,2.923,-2.923,2.923,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.464,2.55,2.464,2.55,2.464,0.0,-0.171,0.0,-0.171,0.0,-0.171,5.1,5.1,5.1,5.1,5.1,5.1,0.63,0.312,0.63,0.304,0.632,0.307,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.117,1.155,1.117,1.155,1.117
8,9,0.962,0.105,0.01,-5.116,5.116,-5.116,5.116,-5.116,5.116,2.8,2.081,2.823,2.057,2.822,2.063,0.0,1.02,0.041,1.039,0.025,1.025,0.0,1.0,0.041,1.0,0.025,1.0,-2.934,2.934,-2.934,2.934,-2.934,2.934,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.464,2.55,2.464,2.55,2.464,0.0,-0.171,0.0,-0.171,0.0,-0.171,5.1,5.1,5.1,5.1,5.1,5.1,0.572,0.394,0.578,0.388,0.578,0.39,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.117,1.155,1.117,1.155,1.117
9,10,1.067,0.105,0.015,-4.878,4.878,-4.878,4.878,-4.878,4.878,2.621,2.399,2.642,2.372,2.648,2.384,0.06,1.007,0.055,1.0,0.068,1.013,0.06,1.0,0.055,1.0,0.068,1.0,-2.817,2.817,-2.817,2.817,-2.817,2.817,0.0,1.0,0.0,1.0,0.0,1.0,2.55,2.464,2.55,2.464,2.55,2.464,0.0,-0.171,0.0,-0.171,0.0,-0.171,5.1,5.1,5.1,5.1,5.1,5.1,0.52,0.482,0.527,0.474,0.528,0.478,4.43,-0.219,4.43,-0.219,4.43,-0.219,1.155,1.117,1.155,1.117,1.155,1.117
