#Recorded data from Servotor32
#datetime: 07-09-2020_20h-55m-18s
#filename: tripod_x_b_sensors_open_horizontal_floor_unloaded_07-09-2020_20h-55m-18s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,1000,500,-157,72,409,1026
1,0,0,105,13,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,1020,514,-186,-12,370,957
2,1,108,106,8,1197,-1197,1197,-1197,1197,-1197,4428,-221,4428,-221,4428,-221,1030,528,-86,-60,331,974
3,2,215,105,9,219,-219,219,-219,219,-219,4218,-167,4218,-167,4218,-167,1091,458,214,-169,315,722
4,3,320,105,14,-2024,2024,-2024,2024,-2024,2024,4008,148,4008,148,4008,148,1101,90,486,-181,803,296
5,4,428,106,8,-4532,4532,-4532,4532,-4532,4532,3796,466,3796,466,3796,466,1162,104,686,-169,764,200
6,5,535,105,16,-4991,4991,-4991,4991,-4991,4991,3586,781,3586,781,3586,781,1081,49,571,-48,858,70
7,6,641,105,14,-5079,5079,-5079,5079,-5079,5079,3376,1096,3376,1096,3376,1096,990,42,500,36,850,113
8,7,748,105,9,-5096,5096,-5096,5096,-5096,5096,3166,1411,3166,1411,3166,1411,960,28,471,133,843,157
9,8,855,105,16,-5099,5099,-5099,5099,-5099,5099,2956,1726,2956,1726,2956,1726,1000,104,486,145,811,200
10,9,961,105,14,-5100,5100,-5100,5100,-5100,5100,2746,2041,2746,2041,2746,2041,960,118,414,217,764,252
11,10,1070,106,10,-5100,5100,-5100,5100,-5100,5100,2534,2359,2534,2359,2534,2359,960,271,486,253,709,261
12,11,1176,105,10,-5100,5100,-5100,5100,-5100,5100,2324,2674,2324,2674,2324,2674,1091,333,443,373,614,374
13,12,1282,105,16,-5100,5100,-5100,5100,-5100,5100,2114,2989,2114,2989,2114,2989,990,479,529,313,528,417
14,13,1391,105,11,-5100,5100,-5100,5100,-5100,5100,1904,3304,1904,3304,1904,3304,1131,542,543,422,402,409
