#Recorded data from Servotor32
#datetime: 07-09-2020_20h-57m-16s
#filename: tripod_x_b_sensors_open_horizontal_floor_unloaded_07-09-2020_20h-57m-16s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,981,500,-13,29,500,1018
1,0,0,105,13,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,1038,494,0,29,474,1044
2,1,108,106,8,1197,-1197,1197,-1197,1197,-1197,4428,-221,4428,-221,4428,-221,1086,500,26,-29,409,1000
3,2,215,105,10,219,-219,219,-219,219,-219,4218,-167,4218,-167,4218,-167,1057,396,481,-176,532,637
4,3,321,105,10,-2024,2024,-2024,2024,-2024,2024,4008,148,4008,148,4008,148,1086,136,844,-250,851,248
5,4,430,106,9,-4532,4532,-4532,4532,-4532,4532,3796,466,3796,466,3796,466,1181,136,688,-324,877,115
6,5,537,105,12,-4991,4991,-4991,4991,-4991,4991,3586,781,3586,781,3586,781,1076,136,688,-206,870,9
7,6,646,106,9,-5080,5080,-5080,5080,-5080,5080,3374,1099,3374,1099,3374,1099,1038,91,740,74,883,142
8,7,753,105,15,-5096,5096,-5096,5096,-5096,5096,3164,1414,3164,1414,3164,1414,1019,123,922,-15,786,186
9,8,858,105,13,-5099,5099,-5099,5099,-5099,5099,2954,1729,2954,1729,2954,1729,1038,162,857,59,792,168
10,9,967,105,10,-5100,5100,-5100,5100,-5100,5100,2744,2044,2744,2044,2744,2044,943,208,831,88,831,212
11,10,1074,105,17,-5100,5100,-5100,5100,-5100,5100,2534,2359,2534,2359,2534,2359,886,266,779,279,695,319
12,11,1179,105,14,-5100,5100,-5100,5100,-5100,5100,2324,2674,2324,2674,2324,2674,790,357,740,338,643,345
13,12,1287,106,10,-5100,5100,-5100,5100,-5100,5100,2112,2992,2112,2992,2112,2992,933,429,662,412,662,442
14,13,1394,105,17,-5100,5100,-5100,5100,-5100,5100,1902,3307,1902,3307,1902,3307,676,500,558,574,513,558
15,14,1499,105,13,-5100,5100,-5100,5100,-5100,5100,1692,3622,1692,3622,1692,3622,714,617,532,588,526,602
16,15,1607,105,9,-5099,5099,-5099,5099,-5099,5099,1482,3936,1482,3936,1482,3936,524,786,390,779,468,699
17,16,1714,105,9,-5097,5097,-5097,5097,-5097,5097,1272,4250,1272,4250,1272,4250,571,766,390,838,409,770
18,17,1819,105,13,-5087,5087,-5087,5087,-5087,5087,1062,4557,1062,4557,1062,4557,419,864,247,882,435,788
19,18,1929,106,10,-5035,5035,-5035,5035,-5035,5035,850,4831,850,4831,850,4831,410,883,247,956,351,858
20,19,2036,105,11,-4743,4743,-4743,4743,-4743,4743,640,4826,640,4826,640,4826,381,870,208,1088,169,894
21,20,2141,105,8,-2526,2526,-2526,2526,-2526,2526,430,4616,430,4616,430,4616,505,955,247,1015,240,858
22,21,2249,106,9,-466,466,-466,466,-466,466,224,4404,224,4404,224,4404,438,961,260,1074,26,929
23,22,2356,105,11,-44,44,-44,44,-44,44,123,4194,123,4194,123,4194,305,948,52,1074,39,938
24,23,2464,105,8,849,-849,849,-849,849,-849,424,3984,424,3984,424,3984,324,1032,260,956,39,805
25,24,2573,106,6,4208,-4208,4208,-4208,4208,-4208,742,3772,742,3772,742,3772,238,974,221,1015,78,885
26,25,2678,105,13,4928,-4928,4928,-4928,4928,-4928,1057,3562,1057,3562,1057,3562,229,987,247,956,45,814
27,26,2786,106,9,5068,-5068,5068,-5068,5068,-5068,1375,3350,1375,3350,1375,3350,152,935,78,1029,52,885
28,27,2893,105,16,5094,-5094,5094,-5094,5094,-5094,1690,3140,1690,3140,1690,3140,143,961,143,1118,104,920
29,28,2999,105,14,5099,-5099,5099,-5099,5099,-5099,2005,2930,2005,2930,2005,2930,248,877,234,1015,143,885
30,29,3107,105,10,5100,-5100,5100,-5100,5100,-5100,2320,2720,2320,2720,2320,2720,286,890,364,735,227,796
31,30,3214,105,17,5100,-5100,5100,-5100,5100,-5100,2635,2510,2635,2510,2635,2510,381,838,442,838,260,770
32,31,3320,105,15,5100,-5100,5100,-5100,5100,-5100,2950,2300,2950,2300,2950,2300,352,786,481,809,305,708
33,32,3429,107,9,5100,-5100,5100,-5100,5100,-5100,3271,2086,3271,2086,3271,2086,524,727,584,676,506,664
34,33,3536,105,10,5100,-5100,5100,-5100,5100,-5100,3586,1876,3586,1876,3586,1876,695,662,779,662,591,513
35,34,3641,105,8,5100,-5100,5100,-5100,5100,-5100,3901,1666,3901,1666,3901,1666,771,721,831,515,656,522
36,35,3750,106,9,5098,-5098,5098,-5098,5098,-5098,4218,1454,4218,1454,4218,1454,886,656,987,353,708,381
37,36,3856,105,11,5089,-5089,5089,-5089,5089,-5089,4526,1244,4526,1244,4526,1244,952,494,909,412,838,416
38,37,3961,105,8,5046,-5046,5046,-5046,5046,-5046,4805,1034,4805,1034,4805,1034,933,565,1117,338,851,327
39,38,4069,106,9,4802,-4802,4802,-4802,4802,-4802,4856,822,4856,822,4856,822,1067,565,1117,147,851,186
40,39,4176,105,11,2969,-2969,2969,-2969,2969,-2969,4646,612,4646,612,4646,612,990,481,1013,206,909,257
41,40,4281,105,7,571,-571,571,-571,571,-571,4436,404,4436,404,4436,404,990,461,1091,118,851,35
42,41,4390,106,2,94,-94,94,-94,94,-94,4224,232,4224,232,4224,232,1038,468,1156,-29,857,115
43,42,4497,105,12,-297,297,-297,297,-297,297,4014,327,4014,327,4014,327,981,455,1013,132,909,133
44,43,4604,105,8,-2449,2449,-2449,2449,-2449,2449,3804,642,3804,642,3804,642,1000,370,1117,162,831,71
45,44,4713,106,14,-4611,4611,-4611,4611,-4611,4611,3592,960,3592,960,3592,960,1114,370,1260,-74,766,-44
46,45,4818,105,12,-5006,5006,-5006,5006,-5006,5006,3382,1275,3382,1275,3382,1275,1048,130,1065,-147,857,27
47,46,4926,105,9,-5082,5082,-5082,5082,-5082,5082,3172,1590,3172,1590,3172,1590,943,117,922,-118,786,27
48,47,5033,106,15,-5097,5097,-5097,5097,-5097,5097,2960,1908,2960,1908,2960,1908,914,143,909,103,805,177
49,48,5138,105,13,-5099,5099,-5099,5099,-5099,5099,2750,2223,2750,2223,2750,2223,771,188,805,118,734,221
50,49,5245,105,9,-5100,5100,-5100,5100,-5100,5100,2540,2538,2540,2538,2540,2538,781,247,714,206,669,239
