#Recorded data from Servotor32
#datetime: 07-09-2020_00h-20m-01s
#filename: tetrapod_x_b_sensors_open_horizontal_air_unloaded_07-09-2020_00h-20m-01s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,5635,135,3135,5635,3135,135,535,543,523,550,380,487
1,0,0,105,0,5327,-5327,0,5327,0,-5327,5586,-7,2993,5586,2993,-7,525,543,545,525,380,496
2,1,106,105,8,1881,-1881,0,1881,0,-1881,5444,-148,2852,5444,2852,-148,525,543,534,550,372,462
3,2,215,106,6,347,-347,0,347,0,-347,5301,-148,2708,5301,2708,-148,723,357,534,725,364,274
4,3,321,105,15,67,1245,-1311,67,-1311,1245,5159,235,2567,5159,2567,235,911,93,489,913,355,103
5,4,429,105,9,13,5081,-5094,13,-5094,5081,5018,618,2425,5018,2425,618,950,39,466,913,298,43
6,5,538,106,11,2,5830,-5833,2,-5833,5830,4875,1005,2282,4875,2282,1005,941,54,420,913,256,51
7,6,643,105,17,0,5967,-5968,0,-5968,5967,4733,1388,2140,4733,2140,1388,931,39,398,950,207,51
8,7,752,106,9,0,5994,-5994,0,-5994,5994,4590,1775,1997,4590,1997,1775,921,93,352,925,190,85
9,8,859,105,14,0,5999,-5999,0,-5999,5999,4448,2158,1855,4448,1855,2158,921,147,341,925,124,128
10,9,964,105,14,0,6000,-6000,0,-6000,6000,4306,2541,1713,4306,1713,2541,891,178,284,925,99,179
11,10,1072,106,9,0,6000,-6000,0,-6000,6000,4163,2928,1570,4163,1570,2928,891,279,239,900,83,291
12,11,1179,105,14,0,6000,-6000,0,-6000,6000,4021,3312,1429,4021,1429,3312,871,349,239,913,41,308
13,12,1284,105,13,0,6000,-6000,0,-6000,6000,3880,3695,1287,3880,1287,3695,812,450,216,888,17,470
14,13,1392,105,5,0,6000,-6000,0,-6000,6000,3738,4078,1145,3738,1145,4078,792,558,148,863,-17,547
15,14,1500,105,15,0,6000,-6000,0,-6000,6000,3596,4461,1003,3596,1003,4461,792,643,159,813,-50,624
16,15,1606,105,9,0,6000,-6000,0,-6000,6000,3454,4844,862,3454,862,4844,802,729,159,763,-74,718
17,16,1715,106,7,0,5998,-5998,0,-5998,5998,3311,5230,719,3311,719,5230,723,806,148,788,-91,795
18,17,1822,105,17,0,5984,-5984,0,-5984,5984,3170,5601,577,3170,577,5601,673,860,102,738,-99,846
19,18,1931,106,9,0,5887,-5887,0,-5887,5887,3026,5886,434,3026,434,5886,644,899,148,700,-99,872
20,19,2038,105,13,0,5044,-5044,0,-5044,5044,2885,5752,292,2885,292,5752,624,930,102,663,-132,906
21,20,2143,105,16,0,1041,-1041,0,-1041,1041,2743,5610,151,2743,151,5610,584,953,80,625,-140,940
22,21,2251,105,7,-6,200,-194,-6,-194,200,2601,5468,89,2601,89,5468,574,969,91,575,-215,923
23,22,2358,105,12,-735,38,696,-735,696,38,2459,5326,448,2459,448,5326,505,938,45,588,-124,991
24,23,2463,105,17,-4766,7,4758,-4766,4758,7,2318,5185,831,2318,831,5185,465,930,34,538,-174,932
25,24,2570,105,8,-5763,1,5761,-5763,5761,1,2176,5043,1214,2176,1214,5043,446,938,45,475,-165,923
26,25,2678,105,12,-5954,0,5954,-5954,5954,0,2034,4901,1598,2034,1598,4901,386,938,45,425,-174,923
27,26,2783,105,17,-5991,0,5991,-5991,5991,0,1892,4759,1981,1892,1981,4759,337,930,68,450,-124,923
28,27,2892,105,9,-5998,0,5998,-5998,5998,0,1751,4618,2364,1751,2364,4618,327,938,170,375,-58,889
29,28,2999,105,14,-6000,0,6000,-6000,6000,0,1609,4476,2747,1609,2747,4476,297,907,261,338,17,880
30,29,3104,105,15,-6000,0,6000,-6000,6000,0,1467,4334,3131,1467,3131,4334,267,884,295,300,74,829
31,30,3212,106,8,-6000,0,6000,-6000,6000,0,1324,4191,3517,1324,3517,4191,228,860,398,263,248,855
32,31,3319,105,14,-6000,0,6000,-6000,6000,0,1182,4049,3901,1182,3901,4049,198,837,432,250,281,812
33,32,3425,105,11,-6000,0,6000,-6000,6000,0,1041,3908,4284,1041,4284,3908,178,783,580,213,455,821
34,33,3535,106,6,-6000,0,6000,-6000,6000,0,897,3764,4671,897,4671,3764,139,783,705,188,587,786
35,34,3641,105,15,-5999,0,5999,-5999,5999,0,756,3623,5053,756,5053,3623,139,783,750,175,678,761
36,35,3746,105,7,-5994,0,5994,-5994,5994,0,614,3481,5432,614,5432,3481,149,736,841,138,769,735
37,36,3855,107,6,-5954,0,5954,-5954,5954,0,470,3337,5786,470,5786,3337,129,705,864,138,835,641
38,37,3962,105,17,-5660,0,5660,-5660,5660,0,328,3195,5827,328,5827,3195,79,674,898,138,876,658
39,38,4069,105,8,-2775,0,2775,-2775,2775,0,186,3053,5685,186,5685,3053,89,667,955,100,917,615
40,39,4178,106,11,-512,0,512,-512,512,0,59,2910,5542,59,5542,2910,69,620,943,75,843,590
41,40,4283,105,16,45,-143,99,45,99,-143,170,2768,5400,170,5400,2768,50,589,943,88,917,564
42,41,4392,106,8,2370,-2388,18,2370,18,-2388,557,2625,5257,557,5257,2625,50,543,977,88,926,521
43,42,4499,105,14,5302,-5305,3,5302,3,-5305,940,2483,5115,940,5115,2483,50,496,955,113,909,504
44,43,4604,105,17,5866,-5866,1,5866,1,-5866,1324,2342,4974,1324,4974,2342,40,473,955,75,909,436
45,44,4714,107,9,5976,-5976,0,5976,0,-5976,1714,2197,4829,1714,4829,2197,69,442,932,75,901,410
