#Recorded data from Servotor32
#datetime: 07-09-2020_00h-16m-31s
#filename: tripod_x_b_sensors_open_horizontal_air_unloaded_07-09-2020_00h-16m-31s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,529,554,534,532,510,491
1,0,0,105,0,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,529,546,523,544,510,491
2,1,108,106,5,1197,-1197,1197,-1197,1197,-1197,4428,-221,4428,-221,4428,-221,529,546,523,544,503,509
3,2,215,105,13,219,-219,219,-219,219,-219,4218,-167,4218,-167,4218,-167,706,415,705,354,587,353
4,3,321,105,8,-2024,2024,-2024,2024,-2024,2024,4008,148,4008,148,4008,148,892,115,920,63,884,95
5,4,430,107,6,-4556,4556,-4556,4556,-4556,4556,3794,469,3794,469,3794,469,931,69,955,13,923,43
6,5,537,105,17,-4995,4995,-4995,4995,-4995,4995,3584,784,3584,784,3584,784,912,69,932,38,916,52
7,6,645,106,8,-5081,5081,-5081,5081,-5081,5081,3372,1102,3372,1102,3372,1102,882,92,909,51,884,52
8,7,753,105,12,-5096,5096,-5096,5096,-5096,5096,3162,1417,3162,1417,3162,1417,843,115,886,76,839,69
9,8,858,105,17,-5099,5099,-5099,5099,-5099,5099,2952,1732,2952,1732,2952,1732,833,154,841,139,800,121
10,9,966,105,8,-5100,5100,-5100,5100,-5100,5100,2742,2047,2742,2047,2742,2047,784,223,784,203,755,172
11,10,1073,105,13,-5100,5100,-5100,5100,-5100,5100,2532,2362,2532,2362,2532,2362,706,223,693,316,781,276
12,11,1178,105,17,-5100,5100,-5100,5100,-5100,5100,2322,2677,2322,2677,2322,2677,657,362,670,342,665,328
13,12,1286,105,10,-5100,5100,-5100,5100,-5100,5100,2112,2992,2112,2992,2112,2992,598,462,591,405,594,457
14,13,1393,105,12,-5100,5100,-5100,5100,-5100,5100,1902,3307,1902,3307,1902,3307,529,546,534,532,542,526
