#Recorded data from Servotor32
#datetime: 07-09-2020_00h-21m-53s
#filename: wave_x_b_sensors_open_horizontal_air_unloaded_07-09-2020_00h-21m-53s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: open
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,6565,65,1465,2865,4265,5665,500,551,528,500,516,435
1,0,0,105,0,6419,-6425,-3855,-1284,1287,3858,6668,-3,1397,2797,4197,5597,520,559,539,568,516,504
2,1,105,105,7,3075,-3078,-1846,-615,616,1847,6600,-71,1329,2729,4129,5529,510,559,528,554,510,478
3,2,213,105,6,591,-592,-355,-118,118,355,6531,-104,1260,2660,4060,5460,700,378,292,446,613,661
4,3,319,105,14,348,277,-457,-258,-56,146,6463,285,1192,2592,3992,5392,890,102,169,432,613,817
5,4,424,105,7,3019,4974,-5007,-3003,-996,1012,6395,742,1124,2524,3924,5324,930,63,169,378,619,852
6,5,531,105,5,3973,6610,-6617,-3970,-1322,1325,6327,1199,1056,2456,3856,5256,940,63,169,311,613,843
7,6,638,105,14,4156,6925,-6926,-4156,-1385,1386,6258,1655,987,2387,3787,5187,940,63,157,365,626,852
8,7,743,105,10,4192,6985,-6986,-4192,-1397,1397,6190,2112,919,2319,3719,5119,930,102,124,338,594,800
9,8,850,105,8,4199,6997,-6997,-4198,-1399,1400,6122,2569,851,2251,3651,5051,940,165,124,338,594,835
10,9,957,105,13,4200,6999,-7000,-4200,-1400,1400,6054,3026,783,2183,3583,4983,940,205,124,338,574,817
11,10,1063,105,16,4200,6999,-7000,-4200,-1400,1400,5985,3482,714,2114,3514,4914,940,299,124,297,548,817
12,11,1172,106,8,4201,6999,-7000,-4200,-1400,1400,5917,3943,646,2045,3445,4845,930,394,124,311,542,791
13,12,1279,105,15,4201,6999,-7001,-4200,-1400,1401,5848,4400,577,1977,3377,4777,940,472,124,203,529,783
14,13,1384,105,7,4201,6999,-7001,-4200,-1400,1401,5780,4857,509,1909,3309,4709,940,567,79,284,510,774
15,14,1492,106,5,4202,6998,-7001,-4200,-1400,1401,5712,5318,440,1840,3240,4640,940,677,157,284,497,765
16,15,1599,105,14,4202,6997,-7001,-4200,-1399,1401,5644,5775,372,1772,3172,4572,940,740,79,176,471,765
17,16,1705,105,8,4203,6995,-7001,-4200,-1399,1402,5576,6230,304,1703,3103,4504,950,835,90,297,471,739
18,17,1814,106,7,4197,6982,-6990,-4193,-1396,1400,5507,6679,235,1635,3035,4435,940,874,79,216,458,739
19,18,1921,105,16,4128,6862,-6873,-4123,-1372,1378,5440,6986,167,1566,2966,4366,930,913,67,203,439,722
20,19,2029,106,7,3212,5335,-5346,-3207,-1067,1073,5371,6917,98,1497,2897,4297,940,953,90,203,439,713
21,20,2137,105,12,619,1027,-1030,-618,-205,207,5303,6849,31,1429,2829,4229,920,976,79,162,419,696
22,21,2242,105,11,123,210,-178,-139,-52,36,5234,6781,100,1361,2761,4161,890,976,79,162,400,687
23,22,2351,106,4,319,930,1453,-1508,-903,-292,5165,6712,560,1292,2692,4092,890,976,79,149,381,687
24,23,2458,105,14,1191,3567,5927,-5937,-3562,-1186,5097,6643,1017,1224,2624,4024,860,969,90,162,374,687
25,24,2564,105,8,1360,4078,6794,-6796,-4077,-1359,5029,6575,1474,1156,2556,3956,850,976,79,149,355,643
26,25,2674,106,6,1393,4178,6962,-6962,-4177,-1392,4960,6506,1935,1087,2487,3887,840,976,79,162,348,635
27,26,2780,105,15,1399,4196,6993,-6993,-4196,-1399,4892,6438,2391,1019,2418,3818,850,976,124,162,355,609
28,27,2888,105,8,1400,4199,6999,-6999,-4199,-1400,4823,6370,2848,950,2350,3750,830,969,180,162,316,617
29,28,2997,106,11,1400,4200,7000,-7000,-4200,-1400,4755,6301,3309,881,2281,3681,820,976,270,149,316,583
30,29,3102,105,17,1400,4200,7000,-7000,-4200,-1400,4686,6233,3766,813,2213,3613,850,969,337,162,303,591
31,30,3210,105,8,1400,4200,7000,-7000,-4200,-1400,4618,6164,4223,745,2145,3545,800,984,461,135,284,574
32,31,3317,105,13,1400,4200,7000,-7000,-4200,-1400,4550,6096,4679,677,2076,3477,790,945,427,162,303,574
33,32,3423,105,12,1400,4200,7000,-7000,-4200,-1400,4482,6028,5136,608,2008,3408,760,945,607,135,277,548
34,33,3530,105,4,1400,4200,6999,-7000,-4200,-1400,4413,5960,5593,540,1940,3340,810,945,753,68,265,504
35,34,3637,105,13,1400,4200,6999,-7000,-4200,-1400,4345,5892,6049,472,1872,3272,760,945,854,68,245,504
36,35,3742,105,13,1400,4198,6994,-6995,-4197,-1399,4277,5823,6501,404,1803,3204,740,945,854,68,239,487
37,36,3851,106,8,1391,4171,6947,-6950,-4170,-1389,4208,5755,6911,335,1735,3135,720,937,888,81,239,478
38,37,3958,105,14,1289,3867,6440,-6442,-3865,-1288,4140,5687,6888,267,1666,3066,680,976,933,68,239,461
39,38,4064,105,8,346,1038,1727,-1728,-1037,-345,4071,5618,6820,198,1598,2998,660,937,944,68,213,443
40,39,4171,105,5,66,200,332,-332,-200,-67,4003,5550,6752,165,1530,2930,660,921,944,68,206,443
41,40,4279,105,14,-62,113,287,309,-410,-237,3935,5482,6683,450,1462,2862,660,921,944,81,200,400
42,41,4384,105,7,-773,783,2338,3864,-3883,-2329,3867,5414,6615,906,1393,2793,650,921,955,81,181,391
43,42,4492,105,5,-1279,1281,3842,6397,-6401,-3840,3798,5345,6547,1363,1325,2725,630,929,955,54,174,365
44,43,4599,105,15,-1377,1377,4131,6884,-6885,-4131,3730,5277,6479,1820,1257,2657,630,921,944,68,161,374
45,44,4704,105,7,-1396,1396,4187,6978,-6978,-4187,3662,5209,6410,2277,1189,2589,610,890,944,68,161,357
46,45,4813,106,5,-1399,1399,4198,6996,-6996,-4198,3593,5140,6342,2738,1120,2520,640,882,955,81,161,348
47,46,4919,105,14,-1400,1400,4200,6999,-6999,-4200,3525,5072,6273,3194,1051,2451,570,882,944,203,148,322
