#Recorded data from Servotor32
#datetime: 07-09-2020_19h-14m-37s
#filename: tetrapod_x_b_sensors_open_horizontal_floor_unloaded_07-09-2020_19h-14m-37s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,5635,135,3135,5635,3135,135,1000,517,78,13,507,1000
1,0,0,105,0,5327,-5327,0,5327,0,-5327,5586,-7,2993,5586,2993,-7,1029,524,-33,-13,507,948
2,1,105,105,7,1881,-1881,0,1881,0,-1881,5444,-148,2852,5444,2852,-148,1029,510,-33,-13,493,991
3,2,215,107,6,333,-332,0,333,0,-332,5300,-140,2707,5300,2707,-140,1019,517,189,177,472,696
4,3,321,105,16,64,1318,-1382,64,-1382,1318,5158,243,2565,5158,2565,243,981,163,422,772,451,313
5,4,428,105,8,12,5096,-5109,12,-5109,5096,5016,626,2424,5016,2424,626,990,75,422,911,396,139
6,5,537,106,11,2,5833,-5835,2,-5835,5833,4873,1013,2280,4873,2280,1013,971,68,411,911,403,78
7,6,642,105,17,0,5968,-5968,0,-5968,5968,4731,1396,2139,4731,2139,1396,981,68,389,911,382,61
8,7,750,106,8,0,5994,-5994,0,-5994,5994,4588,1783,1996,4588,1996,1783,951,95,367,911,354,70
9,8,857,105,13,0,5999,-5999,0,-5999,5999,4447,2166,1854,4447,1854,2166,951,156,356,911,319,113
10,9,963,105,17,0,6000,-6000,0,-6000,6000,4305,2549,1712,4305,1712,2549,913,190,311,823,340,165
11,10,1071,106,9,0,6000,-6000,0,-6000,6000,4162,2936,1569,4162,1569,2936,893,293,244,911,313,296
12,11,1178,105,14,0,6000,-6000,0,-6000,6000,4020,3319,1427,4020,1427,3319,913,367,244,911,250,296
13,12,1284,105,12,0,6000,-6000,0,-6000,6000,3878,3703,1286,3878,1286,3703,835,456,189,861,257,470
14,13,1392,106,5,0,6000,-6000,0,-6000,6000,3735,4090,1142,3735,1142,4090,816,571,200,861,257,539
15,14,1499,105,15,0,6000,-6000,0,-6000,6000,3593,4473,1001,3593,1001,4473,825,646,211,785,194,626
