#Recorded data from Servotor32
#datetime: 07-09-2020_19h-11m-51s
#filename: tripod_x_b_sensors_open_horizontal_floor_unloaded_07-09-2020_19h-11m-51s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,990,520,33,13,519,1009
1,0,0,105,0,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,1000,514,22,-13,513,1009
2,1,108,106,5,1197,-1197,1197,-1197,1197,-1197,4428,-221,4428,-221,4428,-221,1010,527,22,13,513,1000
3,2,215,105,13,219,-219,219,-219,219,-219,4218,-167,4218,-167,4218,-167,961,486,231,0,461,786
4,3,320,105,9,-2024,2024,-2024,2024,-2024,2024,4008,148,4008,148,4008,148,1000,189,582,-77,766,479
5,4,428,106,5,-4532,4532,-4532,4532,-4532,4532,3796,466,3796,466,3796,466,1000,88,736,-51,786,145
6,5,535,105,15,-4991,4991,-4991,4991,-4991,4991,3586,781,3586,781,3586,781,980,81,670,-38,903,94
7,6,640,105,10,-5079,5079,-5079,5079,-5079,5079,3376,1096,3376,1096,3376,1096,990,81,780,38,877,85
8,7,750,107,6,-5096,5096,-5096,5096,-5096,5096,3162,1417,3162,1417,3162,1417,990,101,780,77,838,85
9,8,857,105,17,-5099,5099,-5099,5099,-5099,5099,2952,1732,2952,1732,2952,1732,990,162,725,103,825,120
10,9,966,106,8,-5100,5100,-5100,5100,-5100,5100,2740,2050,2740,2050,2740,2050,971,216,725,192,766,179
11,10,1073,105,13,-5100,5100,-5100,5100,-5100,5100,2530,2365,2530,2365,2530,2365,1000,291,670,256,740,274
12,11,1178,105,17,-5100,5100,-5100,5100,-5100,5100,2320,2680,2320,2680,2320,2680,1020,345,637,308,747,316
13,12,1286,105,9,-5100,5100,-5100,5100,-5100,5100,2110,2995,2110,2995,2110,2995,941,446,560,397,675,453
14,13,1393,105,13,-5100,5100,-5100,5100,-5100,5100,1900,3310,1900,3310,1900,3310,765,520,484,526,532,496
