#Recorded data from Servotor32
#datetime: 07-09-2020_19h-18m-50s
#filename: wave_x_b_sensors_open_horizontal_floor_unloaded_07-09-2020_19h-18m-50s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: open
#Sensors: horizontal
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,6565,65,1465,2865,4265,5665,990,480,-45,0,497,932
1,0,0,105,15,6419,-6425,-3855,-1284,1287,3858,6668,-3,1397,2797,4197,5597,1010,473,-34,-26,477,983
2,1,109,106,11,3044,-3046,-1827,-609,610,1828,6599,-72,1328,2728,4128,5528,1000,473,-34,-13,497,991
3,2,214,105,12,585,-586,-351,-117,117,352,6531,-103,1260,2660,4060,5460,990,432,45,38,544,932
4,3,323,106,7,352,299,-470,-267,-60,146,6462,296,1191,2591,3991,5391,990,115,45,256,550,863
5,4,430,105,14,3060,5045,-5076,-3044,-1010,1025,6393,752,1123,2522,3922,5323,1000,74,11,308,550,838
6,5,535,105,9,3981,6624,-6630,-3978,-1325,1328,6325,1209,1054,2454,3854,5254,980,27,0,308,570,838
7,6,644,106,9,4160,6931,-6932,-4159,-1386,1387,6256,1670,986,2385,3785,5185,990,54,22,295,570,821
8,7,751,105,15,4192,6987,-6987,-4192,-1397,1398,6188,2127,917,2317,3717,5117,951,74,11,308,557,838
9,8,857,105,8,4199,6997,-6998,-4199,-1399,1400,6120,2584,849,2249,3649,5049,941,149,11,308,550,795
10,9,966,106,6,4200,6999,-7000,-4200,-1400,1400,6051,3045,780,2180,3580,4980,951,216,22,205,537,786
11,10,1073,105,16,4200,6999,-7000,-4200,-1400,1400,5983,3501,712,2112,3512,4912,941,284,22,282,530,795
12,11,1180,105,7,4201,6999,-7000,-4200,-1400,1400,5915,3958,644,2043,3443,4843,941,372,22,256,503,744
13,12,1289,106,11,4201,6999,-7001,-4200,-1400,1401,5846,4419,575,1975,3375,4775,951,520,22,244,503,752
14,13,1394,105,13,4201,6999,-7001,-4200,-1400,1401,5778,4876,506,1906,3306,4706,941,561,11,231,490,744
15,14,1503,106,8,4202,6998,-7001,-4200,-1400,1401,5709,5337,438,1837,3237,4637,961,676,22,218,470,735
16,15,1610,105,14,4202,6997,-7001,-4200,-1399,1401,5641,5794,369,1769,3169,4569,931,723,22,218,443,735
17,16,1715,105,9,4203,6995,-7001,-4200,-1399,1402,5573,6249,301,1701,3101,4501,892,804,11,128,456,735
18,17,1823,106,4,4196,6981,-6989,-4192,-1396,1400,5505,6697,232,1632,3032,4432,912,865,22,179,416,701
19,18,1931,105,15,4120,6848,-6859,-4114,-1370,1375,5437,6986,164,1564,2964,4364,902,892,-11,192,430,701
20,19,2037,105,8,3107,5160,-5170,-3101,-1032,1037,5369,6918,96,1495,2895,4296,902,939,22,167,430,692
21,20,2146,106,7,574,953,-955,-573,-191,192,5300,6849,30,1427,2827,4227,902,946,22,167,369,658
22,21,2253,105,15,116,201,-154,-139,-54,31,5232,6781,111,1359,2758,4158,902,932,11,154,376,641
23,22,2362,105,7,344,1007,1584,-1637,-980,-318,5163,6713,567,1290,2690,4090,912,946,112,128,356,632
24,23,2469,105,12,1196,3584,5955,-5965,-3579,-1191,5095,6644,1024,1222,2622,4022,902,946,-22,141,383,624
25,24,2574,105,14,1361,4081,6799,-6801,-4081,-1360,5027,6576,1481,1154,2554,3954,882,939,34,90,322,607
26,25,2681,105,8,1392,4177,6961,-6962,-4177,-1392,4959,6508,1938,1086,2485,3885,873,939,146,128,315,598
27,26,2789,105,12,1399,4196,6993,-6993,-4196,-1399,4890,6440,2394,1017,2417,3817,863,932,135,115,309,581
28,27,2894,105,17,1400,4199,6999,-6999,-4199,-1400,4822,6371,2851,949,2349,3749,873,939,169,103,295,573
29,28,3002,105,8,1400,4200,7000,-7000,-4200,-1400,4754,6303,3308,881,2281,3681,882,946,270,90,289,547
30,29,3109,105,13,1400,4200,7000,-7000,-4200,-1400,4686,6235,3765,813,2212,3612,873,919,191,141,309,556
31,30,3215,105,16,1400,4200,7000,-7000,-4200,-1400,4617,6167,4221,744,2144,3544,833,899,416,51,268,521
32,31,3322,105,4,1400,4200,7000,-7000,-4200,-1400,4549,6098,4678,676,2076,3476,843,926,584,38,248,504
33,32,3429,105,13,1400,4200,7000,-7000,-4200,-1400,4481,6030,5135,608,2008,3408,833,919,607,64,248,504
34,33,3535,105,12,1400,4200,6999,-7000,-4200,-1400,4413,5962,5592,540,1939,3339,824,919,708,38,215,487
35,34,3644,106,5,1400,4200,6999,-7000,-4200,-1400,4344,5893,6052,471,1870,3270,843,919,820,26,228,479
36,35,3751,105,14,1400,4198,6994,-6996,-4197,-1399,4276,5825,6504,402,1802,3202,814,899,854,38,228,479
37,36,3857,105,8,1391,4170,6947,-6949,-4169,-1389,4207,5757,6909,334,1734,3134,784,892,910,13,221,470
38,37,3964,105,6,1288,3862,6431,-6434,-3860,-1286,4139,5689,6885,266,1666,3066,824,899,955,38,221,453
39,38,4071,105,14,343,1028,1711,-1712,-1027,-342,4071,5620,6817,198,1597,2997,784,899,944,38,168,453
40,39,4177,105,8,66,198,329,-329,-198,-66,4003,5552,6749,165,1529,2929,873,905,944,26,141,427
41,40,4284,105,6,-64,114,291,316,-416,-241,3934,5484,6680,454,1461,2861,784,899,955,13,201,427
42,41,4391,105,15,-782,792,2366,3910,-3929,-2356,3866,5416,6612,911,1393,2793,755,872,933,26,188,419
43,42,4496,105,7,-1281,1283,3847,6406,-6409,-3845,3798,5347,6544,1367,1325,2724,735,872,933,26,181,368
44,43,4604,105,6,-1377,1378,4132,6886,-6886,-4132,3730,5279,6476,1824,1256,2656,745,865,933,38,141,342
45,44,4711,105,15,-1396,1396,4187,6978,-6978,-4187,3661,5211,6407,2281,1188,2588,696,858,933,13,154,325
46,45,4817,105,8,-1399,1399,4198,6996,-6996,-4197,3593,5143,6339,2738,1120,2520,735,851,933,90,134,299
47,46,4924,105,6,-1400,1400,4200,6999,-6999,-4200,3525,5074,6271,3194,1052,2451,696,838,944,167,121,299
48,47,5031,105,15,-1400,1400,4200,7000,-7000,-4200,3457,5006,6203,3651,983,2383,716,838,933,231,114,299
49,48,5137,105,8,-1400,1400,4200,7000,-7000,-4200,3388,4938,6135,4108,915,2315,657,838,933,359,114,265
