#Recorded data from Servotor32
#datetime: 07-09-2020_00h-03m-10s
#filename: tetrapod_x_b_sensors_open_vertical_air_unloaded_07-09-2020_00h-03m-10s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,5635,135,3135,5635,3135,135,0,-6,10,0,6,0
1,0,0,105,0,5327,-5327,0,5327,0,-5327,5586,-7,2993,5586,2993,-7,0,-11,5,0,6,6
2,1,107,105,5,1881,-1881,0,1881,0,-1881,5444,-148,2852,5444,2852,-148,0,-6,0,6,0,6
3,2,214,105,14,362,-361,0,362,0,-361,5303,-156,2710,5303,2710,-156,74,-6,10,50,6,6
4,3,319,105,11,70,1174,-1243,70,-1243,1174,5161,227,2568,5161,2568,227,68,0,5,67,0,0
5,4,429,107,10,12,5140,-5152,12,-5152,5140,5016,618,2424,5016,2424,618,17,144,15,17,13,81
6,5,536,105,16,2,5835,-5837,2,-5837,5835,4875,1001,2282,4875,2282,1001,17,506,15,0,6,525
7,6,641,105,8,0,5968,-5969,0,-5969,5968,4733,1384,2140,4733,2140,1384,6,879,5,0,6,913
8,7,750,106,6,0,5994,-5994,0,-5994,5994,4590,1771,1997,4590,1997,1771,-6,920,10,-6,6,981
9,8,856,105,16,0,5999,-5999,0,-5999,5999,4448,2154,1855,4448,1855,2154,-6,937,5,0,0,1006
10,9,961,105,8,0,6000,-6000,0,-6000,6000,4306,2538,1713,4306,1713,2538,0,989,5,28,6,1013
11,10,1070,106,6,0,6000,-6000,0,-6000,6000,4163,2924,1570,4163,1570,2924,0,937,5,-6,0,1069
12,11,1176,105,16,0,6000,-6000,0,-6000,6000,4021,3308,1429,4021,1429,3308,-6,954,5,0,0,1006
13,12,1284,105,9,0,6000,-6000,0,-6000,6000,3880,3691,1287,3880,1287,3691,0,937,5,0,6,1006
14,13,1393,106,11,0,6000,-6000,0,-6000,6000,3737,4078,1144,3737,1144,4078,0,937,5,28,0,1013
15,14,1498,105,17,0,6000,-6000,0,-6000,6000,3595,4461,1002,3595,1002,4461,6,937,5,0,0,1006
