#Recorded data from Servotor32
#datetime: 07-09-2020_00h-00m-25s
#filename: tripod_x_b_sensors_open_vertical_air_unloaded_07-09-2020_00h-00m-25s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,33,-6,-11,6,6,44
1,0,0,105,0,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,33,0,-5,6,0,0
2,1,106,105,8,1226,-1226,1226,-1226,1226,-1226,4430,-219,4430,-219,4430,-219,38,0,0,6,6,-6
3,2,215,105,7,226,-226,226,-226,226,-226,4220,-171,4220,-171,4220,-171,82,0,53,0,31,0
4,3,321,105,15,-1977,1977,-1977,1977,-1977,1977,4010,144,4010,144,4010,144,55,-6,21,0,25,51
5,4,430,106,8,-4523,4523,-4523,4523,-4523,4523,3798,462,3798,462,3798,462,38,180,0,123,12,89
6,5,538,105,12,-4989,4989,-4989,4989,-4989,4989,3588,777,3588,777,3588,777,38,646,0,570,6,639
7,6,643,105,18,-5079,5079,-5079,5079,-5079,5079,3378,1092,3378,1092,3378,1092,38,969,-5,922,6,956
8,7,751,106,8,-5096,5096,-5096,5096,-5096,5096,3166,1410,3166,1410,3166,1410,33,988,-5,994,31,1019
9,8,858,105,12,-5099,5099,-5099,5099,-5099,5099,2956,1725,2956,1725,2956,1725,27,1000,-5,1034,0,1006
10,9,963,105,17,-5100,5100,-5100,5100,-5100,5100,2746,2040,2746,2040,2746,2040,27,1000,-5,1000,0,1006
11,10,1071,106,9,-5100,5100,-5100,5100,-5100,5100,2534,2358,2534,2358,2534,2358,33,1000,-5,1000,0,1032
12,11,1179,105,14,-5100,5100,-5100,5100,-5100,5100,2324,2673,2324,2673,2324,2673,38,1006,0,1000,6,1013
13,12,1285,105,19,-5100,5100,-5100,5100,-5100,5100,2114,2988,2114,2988,2114,2988,33,1006,0,1011,6,1006
14,13,1392,105,9,-5100,5100,-5100,5100,-5100,5100,1904,3303,1904,3303,1904,3303,33,1006,0,1011,12,1006
15,14,1499,105,14,-5100,5100,-5100,5100,-5100,5100,1694,3618,1694,3618,1694,3618,22,1006,-5,1000,0,1006
16,15,1604,105,15,-5099,5099,-5099,5099,-5099,5099,1484,3932,1484,3932,1484,3932,5,1006,-5,1006,-6,1013
17,16,1713,106,9,-5097,5097,-5097,5097,-5097,5097,1272,4249,1272,4249,1272,4249,0,1006,-5,994,0,1019
18,17,1820,105,15,-5087,5087,-5087,5087,-5087,5087,1062,4556,1062,4556,1062,4556,5,1025,-11,1017,0,1006
19,18,1925,105,10,-5036,5036,-5036,5036,-5036,5036,852,4827,852,4827,852,4827,16,1006,32,1000,6,1006
20,19,2033,106,9,-4743,4743,-4743,4743,-4743,4743,640,4825,640,4825,640,4825,0,1000,-5,1000,6,1013
