#Recorded data from Servotor32
#datetime: 07-09-2020_00h-08m-00s
#filename: wave_x_b_sensors_open_vertical_air_unloaded_07-09-2020_00h-08m-00s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,6565,65,1465,2865,4265,5665,6,0,5,6,6,0
1,0,0,105,0,6419,-6425,-3855,-1284,1287,3858,6668,-3,1397,2797,4197,5597,0,12,5,6,6,0
2,1,105,105,7,3075,-3078,-1846,-615,616,1847,6600,-71,1329,2729,4129,5529,6,6,5,6,6,0
3,2,215,106,6,568,-568,-341,-114,114,341,6531,-100,1260,2660,4060,5460,102,12,5,11,12,6
4,3,322,105,15,371,327,-500,-284,-66,152,6462,302,1192,2591,3991,5391,164,12,5,0,6,0
5,4,430,105,8,3104,5118,-5150,-3089,-1024,1040,6394,758,1123,2523,3923,5323,28,49,5,6,12,0
6,5,538,105,12,3989,6638,-6644,-3986,-1328,1331,6326,1215,1055,2455,3855,5255,6,245,11,6,12,-6
7,6,643,105,17,4160,6930,-6932,-4159,-1386,1387,6258,1672,987,2387,3787,5187,11,693,5,0,6,-6
8,7,753,106,9,4193,6987,-6987,-4192,-1397,1398,6189,2133,918,2318,3718,5118,6,975,0,6,6,-13
9,8,860,105,15,4199,6997,-6998,-4199,-1399,1400,6121,2590,850,2249,3649,5050,-6,982,5,0,19,0
10,9,965,105,9,4200,6999,-7000,-4200,-1400,1400,6052,3046,781,2181,3581,4981,-28,988,-5,-11,-12,-13
11,10,1073,105,6,4200,6999,-7000,-4200,-1400,1400,5984,3503,713,2113,3513,4913,23,1000,-5,-11,-12,-19
12,11,1180,105,15,4201,6999,-7000,-4200,-1400,1400,5916,3960,645,2045,3445,4845,-28,1006,-11,-11,19,-25
13,12,1286,105,8,4201,6999,-7001,-4200,-1400,1401,5848,4417,577,1976,3376,4777,-17,1000,-16,-6,-12,-19
14,13,1394,105,6,4201,6999,-7001,-4200,-1400,1401,5780,4873,508,1908,3308,4708,-23,1000,-11,-11,-12,-19
15,14,1500,105,14,4202,6998,-7001,-4200,-1400,1401,5712,5330,440,1840,3240,4640,-17,1000,-11,-11,-12,-25
