#Recorded data from Servotor32
#datetime: 07-09-2020_19h-04m-23s
#filename: tetrapod_x_b_sensors_open_vertical_floor_unloaded_07-09-2020_19h-04m-23s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,5635,135,3135,5635,3135,135,5,6,0,0,-6,12
1,0,0,105,0,5327,-5327,0,5327,0,-5327,5586,-7,2993,5586,2993,-7,11,6,0,6,-6,12
2,1,110,107,6,1815,-1815,0,1815,0,-1815,5442,-151,2849,5442,2849,-151,11,6,0,0,-6,6
3,2,217,105,16,349,-348,-1,349,-1,-348,5300,-150,2707,5300,2707,-150,49,12,19,84,-6,12
4,3,324,105,7,67,1249,-1316,67,-1316,1249,5158,232,2565,5158,2565,232,27,6,19,66,0,35
5,4,432,105,10,13,5082,-5095,13,-5095,5082,5016,616,2424,5016,2424,616,16,107,6,48,6,106
6,5,538,105,18,2,5823,-5826,2,-5826,5823,4875,999,2282,4875,2282,999,33,429,31,30,-12,471
7,6,646,106,8,0,5967,-5968,0,-5968,5967,4731,1386,2139,4731,2139,1386,27,881,19,66,-6,894
8,7,753,105,12,0,5994,-5994,0,-5994,5994,4590,1769,1997,4590,1997,1769,22,982,25,24,-6,976
9,8,858,105,17,0,5999,-5999,0,-5999,5999,4448,2152,1855,4448,1855,2152,27,1000,25,24,-6,1000
10,9,967,106,8,0,6000,-6000,0,-6000,6000,4305,2539,1712,4305,1712,2539,27,994,19,24,-6,1029
11,10,1073,105,13,0,6000,-6000,0,-6000,6000,4163,2923,1570,4163,1570,2923,22,994,13,42,0,994
12,11,1178,105,17,0,6000,-6000,0,-6000,6000,4021,3306,1429,4021,1429,3306,22,1000,19,54,0,994
13,12,1287,107,8,0,6000,-6000,0,-6000,6000,3877,3696,1284,3877,1284,3696,49,988,25,24,0,1000
14,13,1394,105,14,0,6000,-6000,0,-6000,6000,3735,4080,1142,3735,1142,4080,11,994,81,30,6,1000
15,14,1499,105,13,0,6000,-6000,0,-6000,6000,3593,4463,1001,3593,1001,4463,11,1000,38,30,0,1000
16,15,1609,107,9,0,6000,-6000,0,-6000,6000,3449,4853,856,3449,856,4853,16,1000,31,36,0,1012
17,16,1716,105,16,0,5998,-5998,0,-5998,5998,3307,5235,714,3307,714,5235,11,1000,31,42,0,1006
18,17,1821,105,9,0,5984,-5984,0,-5984,5984,3165,5606,573,3165,573,5606,22,1006,25,42,0,1024
19,18,1930,106,6,0,5884,-5884,0,-5884,5884,3022,5887,430,3022,430,5887,11,1000,25,30,0,1000
20,19,2036,105,16,0,5013,-5013,0,-5013,5013,2881,5752,288,2881,288,5752,5,988,44,30,0,988
21,20,2145,106,9,0,986,-986,0,-986,986,2738,5609,146,2738,146,5609,11,893,31,36,0,912
22,21,2253,106,12,-8,182,-174,-8,-174,182,2594,5466,92,2594,92,5466,16,631,38,30,0,759
23,22,2358,105,16,-818,35,783,-818,783,35,2453,5324,459,2453,459,5324,5,179,25,36,-17,241
24,23,2466,106,8,-4893,6,4887,-4893,4887,6,2310,5181,846,2310,846,5181,-16,71,113,36,35,29
25,24,2574,105,14,-5787,1,5786,-5787,5786,1,2168,5039,1229,2168,1229,5039,-16,137,356,36,260,29
26,25,2679,105,17,-5959,0,5959,-5959,5959,0,2026,4897,1612,2026,1612,4897,-16,71,825,42,769,18
27,26,2789,106,9,-5992,0,5992,-5992,5992,0,1883,4754,1999,1883,1999,4754,-22,65,988,30,965,6
28,27,2895,105,15,-5999,0,5999,-5999,5999,0,1741,4613,2383,1741,2383,4613,-16,71,1056,36,988,18
29,28,3001,105,13,-6000,0,6000,-6000,6000,0,1599,4471,2766,1599,2766,4471,-16,71,1025,48,1000,6
