#Recorded data from Servotor32
#datetime: 07-09-2020_19h-06m-48s
#filename: tripod_x_b_sensors_open_vertical_floor_unloaded_07-09-2020_19h-06m-48s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,-22,-12,-24,-6,-17,46
1,0,0,105,0,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,-16,-12,-24,-6,-12,6
2,1,105,105,6,1226,-1226,1226,-1226,1226,-1226,4430,-219,4430,-219,4430,-219,-16,-12,-24,-18,-17,6
3,2,213,105,5,226,-226,226,-226,226,-226,4220,-171,4220,-171,4220,-171,5,6,-6,-12,23,0
4,3,320,105,14,-1977,1977,-1977,1977,-1977,1977,4010,144,4010,144,4010,144,-11,6,0,-6,-17,29
5,4,425,105,7,-4499,4499,-4499,4499,-4499,4499,3800,459,3800,459,3800,459,-5,54,12,101,0,80
6,5,533,106,5,-4989,4989,-4989,4989,-4989,4989,3588,777,3588,777,3588,777,11,599,18,544,0,577
7,6,640,105,15,-5079,5079,-5079,5079,-5079,5079,3378,1092,3378,1092,3378,1092,5,958,18,911,-6,931
8,7,745,105,9,-5096,5096,-5096,5096,-5096,5096,3168,1407,3168,1407,3168,1407,11,970,12,976,6,954
9,8,853,106,5,-5099,5099,-5099,5099,-5099,5099,2956,1725,2956,1725,2956,1725,5,982,18,982,0,1000
10,9,960,105,15,-5100,5100,-5100,5100,-5100,5100,2746,2040,2746,2040,2746,2040,5,982,18,982,-6,960
11,10,1065,105,15,-5100,5100,-5100,5100,-5100,5100,2536,2355,2536,2355,2536,2355,5,976,36,982,-12,971
12,11,1174,105,10,-5100,5100,-5100,5100,-5100,5100,2326,2670,2326,2670,2326,2670,-11,970,24,976,-12,960
13,12,1280,105,15,-5100,5100,-5100,5100,-5100,5100,2116,2985,2116,2985,2116,2985,22,982,24,976,-12,971
14,13,1385,105,13,-5100,5100,-5100,5100,-5100,5100,1906,3300,1906,3300,1906,3300,-11,982,42,982,-12,971
