#Recorded data from Servotor32
#datetime: 07-09-2020_18h-57m-50s
#filename: wave_x_b_sensors_open_vertical_floor_unloaded_07-09-2020_18h-57m-50s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,6565,65,1465,2865,4265,5665,49,24,-19,-12,0,6
1,0,0,105,0,6419,-6425,-3855,-1284,1287,3858,6668,-3,1397,2797,4197,5597,5,-12,-19,-6,12,12
2,1,108,105,7,3075,-3078,-1846,-615,616,1847,6600,-71,1329,2729,4129,5529,11,-6,-13,0,12,6
3,2,216,105,12,591,-592,-355,-118,118,355,6531,-104,1260,2660,4060,5460,126,-6,-19,0,12,41
4,3,321,105,13,348,277,-457,-258,-56,146,6463,285,1192,2592,3992,5392,148,-6,-6,-6,17,29
5,4,430,107,8,3070,5064,-5094,-3055,-1013,1028,6393,751,1123,2522,3922,5323,115,6,-19,0,23,12
6,5,537,105,14,3983,6628,-6633,-3980,-1326,1329,6325,1207,1054,2454,3854,5254,71,96,6,-6,23,6
7,6,642,105,13,4158,6928,-6930,-4158,-1386,1386,6257,1664,986,2386,3786,5186,71,464,0,0,17,12
8,7,750,105,8,4192,6986,-6987,-4192,-1397,1397,6189,2121,918,2318,3718,5118,71,946,13,0,12,29
9,8,857,105,14,4199,6997,-6998,-4198,-1399,1400,6121,2578,850,2249,3649,5050,66,988,0,0,17,6
10,9,962,105,12,4200,6999,-7000,-4200,-1400,1400,6052,3034,781,2181,3581,4981,77,994,6,0,64,6
11,10,1070,105,8,4200,6999,-7000,-4200,-1400,1400,5984,3491,713,2113,3513,4913,109,994,-6,0,29,6
12,11,1177,105,14,4201,6999,-7000,-4200,-1400,1400,5916,3948,645,2045,3445,4845,66,994,0,-6,17,6
13,12,1283,105,11,4201,6999,-7001,-4200,-1400,1401,5848,4405,577,1976,3376,4777,71,1000,-6,0,23,6
14,13,1390,105,5,4201,6999,-7001,-4200,-1400,1401,5780,4861,508,1908,3308,4708,71,1000,-6,-6,17,6
15,14,1497,105,14,4202,6998,-7001,-4200,-1400,1401,5712,5318,440,1840,3240,4640,66,994,-6,6,40,12
16,15,1603,105,8,4202,6997,-7001,-4200,-1399,1401,5644,5775,372,1772,3172,4572,66,994,0,-6,17,0
17,16,1710,105,5,4203,6995,-7001,-4200,-1399,1402,5576,6230,304,1703,3103,4504,60,988,6,0,17,12
18,17,1817,105,14,4197,6982,-6990,-4193,-1396,1400,5508,6675,235,1635,3035,4435,109,988,6,0,12,6
