#Recorded data from Servotor32
#datetime: 07-09-2020_19h-04m-23s
#filename: tetrapod_x_b_sensors_open_vertical_floor_unloaded_07-09-2020_19h-04m-23s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,5.635,0.135,3.135,5.635,3.135,0.135,0.005,0.006,0.0,0.0,-0.006,0.012,0.005,0.006,0.0,0.0,0.0,0.012,0.861,-0.861,0.0,1.722,0.0,-1.722,0.861,0.0,0.0,0.861,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.93,0.057,0.533,0.93,0.533,0.057,5.635,0.135,3.135,5.635,3.135,0.135,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.105,0.0,5.327,-5.327,0.0,5.327,0.0,-5.327,5.586,-0.007,2.993,5.586,2.993,-0.007,0.011,0.006,0.0,0.006,-0.006,0.012,0.011,0.006,0.0,0.006,0.0,0.012,1.722,-1.722,0.0,1.722,0.0,-1.722,0.177,0.0,0.0,0.177,0.0,0.0,3.0,2.996,3.0,3.0,3.0,2.996,0.0,-0.007,0.0,0.0,0.0,-0.007,6.0,6.0,6.0,6.0,6.0,6.0,0.927,0.05,0.498,0.927,0.498,0.05,5.635,0.135,3.135,5.635,3.135,0.135,0.981,0.98,0.981,0.981,0.981,0.98
2,1,0.11,0.107,0.006,1.815,-1.815,0.0,1.815,0.0,-1.815,5.442,-0.151,2.849,5.442,2.849,-0.151,0.011,0.006,0.0,0.0,-0.006,0.006,0.011,0.006,0.0,0.0,0.0,0.006,0.353,-0.353,0.0,0.353,0.0,-0.353,0.0,0.0,0.0,0.0,0.0,0.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.942,0.05,0.463,0.942,0.463,0.05,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
3,2,0.217,0.105,0.016,0.349,-0.348,-0.001,0.349,-0.001,-0.348,5.3,-0.15,2.707,5.3,2.707,-0.15,0.049,0.012,0.019,0.084,-0.006,0.012,0.049,0.012,0.019,0.084,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.0,0.0,0.0,0.272,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.934,0.05,0.429,0.934,0.429,0.05,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
4,3,0.324,0.105,0.007,0.067,1.249,-1.316,0.067,-1.316,1.249,5.158,0.232,2.565,5.158,2.565,0.232,0.027,0.006,0.019,0.066,0.0,0.035,0.027,0.006,0.019,0.066,0.0,0.035,0.0,0.544,-0.544,0.0,-0.544,0.544,0.0,0.999,0.0,0.0,0.0,0.999,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.924,0.071,0.395,0.924,0.395,0.071,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
5,4,0.432,0.105,0.01,0.013,5.082,-5.095,0.013,-5.095,5.082,5.016,0.616,2.424,5.016,2.424,0.616,0.016,0.107,0.006,0.048,0.006,0.106,0.016,0.107,0.006,0.048,0.006,0.106,0.0,1.998,-1.998,0.0,-1.998,1.998,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.912,0.099,0.362,0.912,0.362,0.099,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
6,5,0.538,0.105,0.018,0.002,5.823,-5.826,0.002,-5.826,5.823,4.875,0.999,2.282,4.875,2.282,0.999,0.033,0.429,0.031,0.03,-0.012,0.471,0.033,0.429,0.031,0.03,0.0,0.471,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.9,0.137,0.331,0.9,0.331,0.137,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
7,6,0.646,0.106,0.008,0.0,5.967,-5.968,0.0,-5.968,5.967,4.731,1.386,2.139,4.731,2.139,1.386,0.027,0.881,0.019,0.066,-0.006,0.894,0.027,0.881,0.019,0.066,0.0,0.894,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.885,0.186,0.3,0.885,0.3,0.186,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
8,7,0.753,0.105,0.012,0.0,5.994,-5.994,0.0,-5.994,5.994,4.59,1.769,1.997,4.59,1.997,1.769,0.022,0.982,0.025,0.024,-0.006,0.976,0.022,0.982,0.025,0.024,0.0,0.976,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.869,0.249,0.272,0.869,0.272,0.249,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
9,8,0.858,0.105,0.017,0.0,5.999,-5.999,0.0,-5.999,5.999,4.448,2.152,1.855,4.448,1.855,2.152,0.027,1.0,0.025,0.024,-0.006,1.0,0.027,1.0,0.025,0.024,0.0,1.0,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.851,0.323,0.245,0.851,0.245,0.323,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
10,9,0.967,0.106,0.008,0.0,6.0,-6.0,0.0,-6.0,6.0,4.305,2.539,1.712,4.305,1.712,2.539,0.027,0.994,0.019,0.024,-0.006,1.029,0.027,0.994,0.019,0.024,0.0,1.0,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.831,0.409,0.22,0.831,0.22,0.409,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
11,10,1.073,0.105,0.013,0.0,6.0,-6.0,0.0,-6.0,6.0,4.163,2.923,1.57,4.163,1.57,2.923,0.022,0.994,0.013,0.042,0.0,0.994,0.022,0.994,0.013,0.042,0.0,0.994,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.809,0.5,0.197,0.809,0.197,0.5,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
12,11,1.178,0.105,0.017,0.0,6.0,-6.0,0.0,-6.0,6.0,4.021,3.306,1.429,4.021,1.429,3.306,0.022,1.0,0.019,0.054,0.0,0.994,0.022,1.0,0.019,0.054,0.0,0.994,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.785,0.59,0.176,0.785,0.176,0.59,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
13,12,1.287,0.107,0.008,0.0,6.0,-6.0,0.0,-6.0,6.0,3.877,3.696,1.284,3.877,1.284,3.696,0.049,0.988,0.025,0.024,0.0,1.0,0.049,0.988,0.025,0.024,0.0,1.0,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.758,0.677,0.157,0.758,0.157,0.677,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
14,13,1.394,0.105,0.014,0.0,6.0,-6.0,0.0,-6.0,6.0,3.735,4.08,1.142,3.735,1.142,4.08,0.011,0.994,0.081,0.03,0.006,1.0,0.011,0.994,0.081,0.03,0.006,1.0,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.73,0.751,0.139,0.73,0.139,0.751,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
15,14,1.499,0.105,0.013,0.0,6.0,-6.0,0.0,-6.0,6.0,3.593,4.463,1.001,3.593,1.001,4.463,0.011,1.0,0.038,0.03,0.0,1.0,0.011,1.0,0.038,0.03,0.0,1.0,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.699,0.814,0.123,0.699,0.123,0.814,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
16,15,1.609,0.107,0.009,0.0,6.0,-6.0,0.0,-6.0,6.0,3.449,4.853,0.856,3.449,0.856,4.853,0.016,1.0,0.031,0.036,0.0,1.012,0.016,1.0,0.031,0.036,0.0,1.0,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.666,0.864,0.109,0.666,0.109,0.864,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
17,16,1.716,0.105,0.016,0.0,5.998,-5.998,0.0,-5.998,5.998,3.307,5.235,0.714,3.307,0.714,5.235,0.011,1.0,0.031,0.042,0.0,1.006,0.011,1.0,0.031,0.042,0.0,1.0,0.0,1.999,-1.999,0.0,-1.999,1.999,0.0,0.997,0.0,0.0,0.0,0.997,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.632,0.901,0.096,0.632,0.096,0.901,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
18,17,1.821,0.105,0.009,0.0,5.984,-5.984,0.0,-5.984,5.984,3.165,5.606,0.573,3.165,0.573,5.606,0.022,1.006,0.025,0.042,0.0,1.024,0.022,1.0,0.025,0.042,0.0,1.0,0.0,1.993,-1.993,0.0,-1.993,1.993,0.0,0.977,0.0,0.0,0.0,0.977,2.793,2.924,3.0,2.793,3.0,2.924,0.0,-0.151,0.0,0.0,0.0,-0.151,5.586,6.0,6.0,5.586,6.0,6.0,0.597,0.929,0.085,0.597,0.085,0.929,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
