#Recorded data from Servotor32
#datetime: 07-09-2020_18h-45m-26s
#filename: tetrapod_x_b_sensors_open_vertical_floor_unloaded_07-09-2020_18h-45m-26s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: on floor, tripod
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,5635,135,3135,5635,3135,135,-6,13,0,66,52,85
1,0,0,105,0,5327,-5327,0,5327,0,-5327,5586,-7,2993,5586,2993,-7,6,99,7,33,0,13
2,1,107,105,14,1881,-1881,0,1881,0,-1881,5444,-148,2852,5444,2852,-148,-6,13,50,66,6,13
3,2,212,105,7,362,-361,0,362,0,-361,5303,-156,2710,5303,2710,-156,31,93,14,40,0,7
4,3,319,105,5,70,1174,-1243,70,-1243,1174,5161,227,2568,5161,2568,227,6,86,0,40,6,7
5,4,426,105,14,13,5066,-5079,13,-5079,5066,5019,610,2426,5019,2426,610,0,33,0,20,6,52
6,5,532,105,18,3,5820,-5823,3,-5823,5820,4877,994,2285,4877,2285,994,74,411,64,0,45,412
7,6,639,105,9,0,5965,-5966,0,-5966,5965,4736,1377,2143,4736,2143,1377,12,894,57,-7,65,902
8,7,746,105,14,0,5993,-5993,0,-5993,5993,4594,1760,2001,4594,2001,1760,74,993,92,0,-6,980
9,8,851,105,16,0,5999,-5999,0,-5999,5999,4452,2143,1859,4452,1859,2143,0,1013,0,26,6,1000
10,9,958,105,9,0,6000,-6000,0,-6000,6000,4310,2527,1718,4310,1718,2527,6,1000,0,-7,-6,1007
11,10,1065,105,13,0,6000,-6000,0,-6000,6000,4169,2910,1576,4169,1576,2910,0,1007,7,0,6,1007
12,11,1170,105,17,0,6000,-6000,0,-6000,6000,4027,3293,1434,4027,1434,3293,12,1000,0,0,0,1013
13,12,1279,106,9,0,6000,-6000,0,-6000,6000,3884,3680,1291,3884,1291,3680,-6,1007,-14,0,13,1059
14,13,1386,105,14,0,6000,-6000,0,-6000,6000,3742,4063,1149,3742,1149,4063,74,1007,0,0,13,1000
15,14,1491,105,15,0,6000,-6000,0,-6000,6000,3600,4446,1007,3600,1007,4446,12,987,0,7,6,993
