#Recorded data from Servotor32
#datetime: 07-09-2020_18h-42m-10s
#filename: tripod_x_b_sensors_open_vertical_floor_unloaded_07-09-2020_18h-42m-10s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: on floor, tripod
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,74,26,-134,7,-79,7
1,0,0,105,0,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,0,33,-142,0,-66,13
2,1,108,106,8,1197,-1197,1197,-1197,1197,-1197,4428,-221,4428,-221,4428,-221,-12,105,-142,33,-59,13
3,2,215,105,13,219,-219,219,-219,219,-219,4218,-167,4218,-167,4218,-167,6,26,-126,0,-26,112
4,3,320,105,12,-2024,2024,-2024,2024,-2024,2024,4008,148,4008,148,4008,148,62,39,-134,7,-20,13
5,4,427,105,4,-4508,4508,-4508,4508,-4508,4508,3798,463,3798,463,3798,463,80,151,-134,72,-72,99
6,5,534,105,12,-4986,4986,-4986,4986,-4986,4986,3588,778,3588,778,3588,778,0,599,-63,539,-86,559
7,6,639,105,18,-5078,5078,-5078,5078,-5078,5078,3378,1093,3378,1093,3378,1093,12,961,-134,934,-79,941
8,7,747,105,8,-5096,5096,-5096,5096,-5096,5096,3168,1408,3168,1408,3168,1408,12,993,-134,980,-20,1000
9,8,854,105,12,-5099,5099,-5099,5099,-5099,5099,2958,1723,2958,1723,2958,1723,0,1013,-150,1007,-33,1007
10,9,959,105,17,-5100,5100,-5100,5100,-5100,5100,2748,2038,2748,2038,2748,2038,6,1013,-142,993,-72,1020
11,10,1067,106,9,-5100,5100,-5100,5100,-5100,5100,2536,2356,2536,2356,2536,2356,12,1000,-134,993,-86,1007
12,11,1174,105,13,-5100,5100,-5100,5100,-5100,5100,2326,2671,2326,2671,2326,2671,68,1026,-71,987,-86,1000
13,12,1279,105,18,-5100,5100,-5100,5100,-5100,5100,2116,2986,2116,2986,2116,2986,-12,993,-71,987,-86,1059
14,13,1389,107,9,-5100,5100,-5100,5100,-5100,5100,1902,3307,1902,3307,1902,3307,-19,1000,-150,993,-79,1013
15,14,1496,105,15,-5100,5100,-5100,5100,-5100,5100,1692,3622,1692,3622,1692,3622,-56,1000,-134,980,-72,1007
16,15,1602,105,9,-5099,5099,-5099,5099,-5099,5099,1482,3936,1482,3936,1482,3936,-68,1066,-134,993,-86,1020
17,16,1711,105,7,-5097,5097,-5097,5097,-5097,5097,1272,4250,1272,4250,1272,4250,-86,1007,-134,987,-79,1026
18,17,1818,105,17,-5087,5087,-5087,5087,-5087,5087,1062,4557,1062,4557,1062,4557,-93,993,-118,987,-20,1007
19,18,1926,105,8,-5036,5036,-5036,5036,-5036,5036,852,4828,852,4828,852,4828,-99,1046,-126,987,-20,1013
20,19,2034,105,12,-4743,4743,-4743,4743,-4743,4743,642,4826,642,4826,642,4826,-99,1000,-118,980,-66,1000
21,20,2139,105,17,-2542,2542,-2542,2542,-2542,2542,432,4616,432,4616,432,4616,-105,967,-134,947,-72,993
22,21,2248,107,8,-450,450,-450,450,-450,450,224,4402,224,4402,224,4402,-99,776,-55,836,-79,836
23,22,2355,105,13,-37,37,-37,37,-37,37,126,4192,126,4192,126,4192,-117,362,-47,388,-79,362
24,23,2460,105,6,871,-871,871,-871,871,-871,429,3982,429,3982,429,3982,-123,26,-47,33,-39,7
25,24,2569,106,4,4221,-4221,4221,-4221,4221,-4221,747,3770,747,3770,747,3770,12,13,-31,66,-26,-46
26,25,2676,105,15,4931,-4931,4931,-4931,4931,-4931,1062,3560,1062,3560,1062,3560,123,86,189,33,112,-59
27,26,2782,105,10,5068,-5068,5068,-5068,5068,-5068,1377,3350,1377,3350,1377,3350,704,7,709,26,638,-59
28,27,2889,105,6,5094,-5094,5094,-5094,5094,-5094,1692,3140,1692,3140,1692,3140,1006,7,1000,20,914,-66
29,28,2996,105,15,5099,-5099,5099,-5099,5099,-5099,2007,2930,2007,2930,2007,2930,988,13,1008,20,967,-59
30,29,3102,105,12,5100,-5100,5100,-5100,5100,-5100,2322,2720,2322,2720,2322,2720,994,66,1094,20,967,-59
