#Recorded data from Servotor32
#datetime: 07-09-2020_18h-53m-44s
#filename: wave_x_b_sensors_open_vertical_floor_unloaded_07-09-2020_18h-53m-44s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: wave
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: on floor, tripod
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,6565,65,1465,2865,4265,5665,6,13,7,13,0,78
1,0,0,105,13,6419,-6425,-3855,-1284,1287,3858,6668,-3,1397,2797,4197,5597,43,7,0,81,65,26
2,1,107,105,16,3075,-3078,-1846,-615,616,1847,6600,-71,1329,2729,4129,5529,6,94,42,74,0,33
3,2,214,105,7,591,-592,-355,-118,118,355,6531,-104,1260,2660,4060,5460,74,7,56,20,0,33
4,3,323,106,11,346,285,-458,-259,-58,144,6462,291,1192,2591,3991,5391,6,121,56,13,65,20
5,4,428,105,15,3035,5002,-5034,-3019,-1001,1017,6394,748,1123,2523,3923,5323,93,40,63,54,6,13
6,5,538,106,9,3985,6631,-6637,-3982,-1326,1329,6325,1209,1054,2454,3854,5254,6,168,0,60,0,111
7,6,645,105,15,4159,6929,-6930,-4158,-1386,1386,6257,1666,986,2386,3786,5186,0,658,0,7,58,20
8,7,750,105,9,4192,6986,-6987,-4192,-1397,1397,6189,2123,918,2318,3718,5118,62,973,84,54,6,20
9,8,857,105,5,4199,6997,-6998,-4198,-1399,1400,6121,2579,850,2249,3649,5050,74,987,14,0,0,20
10,9,965,105,15,4200,6999,-7000,-4200,-1400,1400,6052,3036,781,2181,3581,4981,12,1000,49,40,71,20
11,10,1070,105,7,4200,6999,-7000,-4200,-1400,1400,5984,3493,713,2113,3513,4913,12,993,0,7,13,33
12,11,1178,105,6,4201,6999,-7000,-4200,-1400,1400,5916,3950,645,2045,3445,4845,6,1013,77,-13,19,85
13,12,1285,105,15,4201,6999,-7001,-4200,-1400,1401,5848,4406,577,1976,3376,4777,12,1007,14,7,6,26
14,13,1391,105,8,4201,6999,-7001,-4200,-1400,1401,5780,4863,508,1908,3308,4708,12,1020,70,7,0,26
15,14,1498,105,6,4202,6998,-7001,-4200,-1400,1401,5712,5320,440,1840,3240,4640,74,1007,0,7,65,20
16,15,1605,105,15,4202,6997,-7001,-4200,-1399,1401,5644,5776,372,1772,3172,4572,25,1020,77,-13,19,20
17,16,1711,105,8,4203,6995,-7001,-4200,-1399,1402,5576,6232,304,1703,3103,4504,68,1007,14,0,6,33
18,17,1820,106,7,4197,6982,-6990,-4193,-1396,1400,5507,6681,235,1635,3035,4435,6,1000,0,54,32,85
19,18,1927,105,16,4127,6861,-6872,-4122,-1372,1378,5440,6986,167,1566,2966,4366,12,993,84,0,19,13
20,19,2034,105,7,3211,5333,-5344,-3205,-1067,1072,5371,6918,98,1498,2898,4298,74,1000,7,7,6,20
21,20,2143,106,11,594,986,-988,-593,-197,198,5303,6849,32,1429,2829,4229,0,872,63,54,6,72
22,21,2248,105,13,119,204,-165,-138,-53,33,5234,6781,106,1361,2761,4161,111,537,91,-7,6,98
23,22,2356,105,8,330,962,1507,-1562,-935,-302,5166,6712,562,1293,2693,4093,12,40,7,0,13,92
24,23,2463,105,13,1193,3574,5939,-5949,-3569,-1188,5098,6644,1019,1225,2624,4024,56,34,42,7,0,20
25,24,2569,105,14,1360,4080,6796,-6798,-4079,-1359,5030,6576,1476,1156,2556,3956,-12,40,406,13,0,7
26,25,2677,106,8,1393,4178,6962,-6963,-4178,-1392,4961,6507,1937,1087,2487,3887,56,101,937,47,71,85
27,26,2784,105,14,1399,4196,6993,-6993,-4196,-1399,4892,6439,2394,1019,2419,3819,0,27,965,0,13,13
28,27,2889,105,15,1400,4199,6999,-6999,-4199,-1400,4824,6371,2851,951,2351,3751,0,87,986,13,13,0
29,28,2997,105,9,1400,4200,7000,-7000,-4200,-1400,4756,6302,3307,883,2283,3683,56,94,993,54,6,-7
30,29,3104,105,14,1400,4200,7000,-7000,-4200,-1400,4688,6234,3764,814,2214,3614,-12,121,979,13,6,-7
31,30,3209,105,10,1400,4200,7000,-7000,-4200,-1400,4619,6166,4221,746,2146,3546,37,101,1014,60,13,-13
32,31,3318,106,5,1400,4200,7000,-7000,-4200,-1400,4550,6097,4682,677,2077,3477,-12,20,1000,13,6,-7
