#Recorded data from Servotor32
#datetime: 07-09-2020_18h-45m-26s
#filename: tetrapod_x_b_sensors_open_vertical_floor_unloaded_07-09-2020_18h-45m-26s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: on floor, tripod
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,5.635,0.135,3.135,5.635,3.135,0.135,-0.006,0.013,0.0,0.066,0.052,0.085,0.0,0.013,0.0,0.066,0.052,0.085,0.861,-0.861,0.0,1.722,0.0,-1.722,0.861,0.0,0.0,0.861,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.93,0.057,0.533,0.93,0.533,0.057,5.635,0.135,3.135,5.635,3.135,0.135,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.105,0.0,5.327,-5.327,0.0,5.327,0.0,-5.327,5.586,-0.007,2.993,5.586,2.993,-0.007,0.006,0.099,0.007,0.033,0.0,0.013,0.006,0.099,0.007,0.033,0.0,0.013,1.722,-1.722,0.0,1.722,0.0,-1.722,0.177,0.0,0.0,0.177,0.0,0.0,3.0,2.996,3.0,3.0,3.0,2.996,0.0,-0.007,0.0,0.0,0.0,-0.007,6.0,6.0,6.0,6.0,6.0,6.0,0.927,0.05,0.498,0.927,0.498,0.05,5.635,0.135,3.135,5.635,3.135,0.135,0.981,0.98,0.981,0.981,0.981,0.98
2,1,0.107,0.105,0.014,1.881,-1.881,0.0,1.881,0.0,-1.881,5.444,-0.148,2.852,5.444,2.852,-0.148,-0.006,0.013,0.05,0.066,0.006,0.013,0.0,0.013,0.05,0.066,0.006,0.013,0.353,-0.353,0.0,0.353,0.0,-0.353,0.0,0.0,0.0,0.0,0.0,0.0,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.942,0.05,0.464,0.942,0.464,0.05,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
3,2,0.212,0.105,0.007,0.362,-0.361,0.0,0.362,0.0,-0.361,5.303,-0.156,2.71,5.303,2.71,-0.156,0.031,0.093,0.014,0.04,0.0,0.007,0.031,0.093,0.014,0.04,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.0,0.0,0.0,0.256,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.934,0.05,0.429,0.934,0.429,0.05,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
4,3,0.319,0.105,0.005,0.07,1.174,-1.243,0.07,-1.243,1.174,5.161,0.227,2.568,5.161,2.568,0.227,0.006,0.086,0.0,0.04,0.006,0.007,0.006,0.086,0.0,0.04,0.006,0.007,0.0,0.513,-0.513,0.0,-0.513,0.513,0.0,0.999,0.0,0.0,0.0,0.999,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.924,0.071,0.396,0.924,0.396,0.071,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
5,4,0.426,0.105,0.014,0.013,5.066,-5.079,0.013,-5.079,5.066,5.019,0.61,2.426,5.019,2.426,0.61,0.0,0.033,0.0,0.02,0.006,0.052,0.0,0.033,0.0,0.02,0.006,0.052,0.0,1.997,-1.997,0.0,-1.997,1.997,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.913,0.099,0.363,0.913,0.363,0.099,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
6,5,0.532,0.105,0.018,0.003,5.82,-5.823,0.003,-5.823,5.82,4.877,0.994,2.285,4.877,2.285,0.994,0.074,0.411,0.064,0.0,0.045,0.412,0.074,0.411,0.064,0.0,0.045,0.412,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.9,0.137,0.331,0.9,0.331,0.137,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
7,6,0.639,0.105,0.009,0.0,5.965,-5.966,0.0,-5.966,5.965,4.736,1.377,2.143,4.736,2.143,1.377,0.012,0.894,0.057,-0.007,0.065,0.902,0.012,0.894,0.057,0.0,0.065,0.902,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.886,0.186,0.301,0.886,0.301,0.186,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
8,7,0.746,0.105,0.014,0.0,5.993,-5.993,0.0,-5.993,5.993,4.594,1.76,2.001,4.594,2.001,1.76,0.074,0.993,0.092,0.0,-0.006,0.98,0.074,0.993,0.092,0.0,0.0,0.98,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.87,0.248,0.273,0.87,0.273,0.248,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
9,8,0.851,0.105,0.016,0.0,5.999,-5.999,0.0,-5.999,5.999,4.452,2.143,1.859,4.452,1.859,2.143,0.0,1.013,0.0,0.026,0.006,1.0,0.0,1.0,0.0,0.026,0.006,1.0,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.852,0.322,0.246,0.852,0.246,0.322,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
