#Recorded data from Servotor32
#datetime: 07-09-2020_19h-50m-38s
#filename: tripod_x_b_sensors_open_vertical_floor_loaded_07-09-2020_19h-50m-38s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Calibration: on floor, tripod
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,4800,200,4800,200,4800,200,85,159,-7,37,25,97
1,0,0,105,0,4349,-4349,4349,-4349,4349,-4349,4640,-10,4640,-10,4640,-10,6,99,7,43,13,32
2,1,105,105,7,1226,-1226,1226,-1226,1226,-1226,4430,-219,4430,-219,4430,-219,6,40,56,43,6,45
3,2,213,105,6,226,-226,226,-226,226,-226,4220,-171,4220,-171,4220,-171,24,46,21,37,13,39
4,3,320,105,14,-1977,1977,-1977,1977,-1977,1977,4010,144,4010,144,4010,144,12,113,76,43,6,32
5,4,425,105,7,-4499,4499,-4499,4499,-4499,4499,3800,459,3800,459,3800,459,85,119,28,106,6,65
6,5,533,106,5,-4989,4989,-4989,4989,-4989,4989,3588,777,3588,777,3588,777,37,596,28,547,13,574
7,6,640,105,15,-5079,5079,-5079,5079,-5079,5079,3378,1092,3378,1092,3378,1092,24,967,21,882,6,968
8,7,746,105,9,-5096,5096,-5096,5096,-5096,5096,3168,1407,3168,1407,3168,1407,24,1000,28,975,6,1000
9,8,853,105,6,-5099,5099,-5099,5099,-5099,5099,2958,1722,2958,1722,2958,1722,98,1013,28,944,57,994
10,9,960,105,15,-5100,5100,-5100,5100,-5100,5100,2748,2037,2748,2037,2748,2037,18,987,21,957,0,1077
11,10,1065,105,17,-5100,5100,-5100,5100,-5100,5100,2538,2352,2538,2352,2538,2352,18,1007,28,957,6,1013
12,11,1174,105,6,-5100,5100,-5100,5100,-5100,5100,2328,2667,2328,2667,2328,2667,18,1020,125,957,0,1071
13,12,1280,105,15,-5100,5100,-5100,5100,-5100,5100,2118,2982,2118,2982,2118,2982,12,1040,21,957,51,1000
14,13,1385,105,12,-5100,5100,-5100,5100,-5100,5100,1908,3297,1908,3297,1908,3297,24,993,35,950,13,1006
