#Recorded data from Servotor32
#datetime: 20-11-2020_18h-53m-37s
#filename: identity_tetrapod_x_b_sensors_closed_horizontal_air_unloaded_20-11-2020_18h-53m-37s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,3000,1110,4110,3000,4110,1110,981,493,-13,13,507,1010
1,0,0,110,0,6000,-6000,0,6000,0,-6000,3401,961,3961,3401,3961,961,1000,514,-13,13,507,1010
2,1,117,112,9,6000,-6000,0,6000,0,-6000,3810,810,3810,3810,3810,810,990,514,27,-25,486,1000
3,2,230,110,8,6000,-6000,0,6000,0,-6000,4212,661,3661,4212,3661,661,845,324,427,266,615,587
4,3,342,111,1,6000,-6000,0,6000,0,-6000,4617,512,3512,4617,3512,512,728,142,747,544,649,221
5,4,456,111,9,5999,-5999,0,5999,0,-5999,5021,362,3362,5021,3362,362,777,88,693,684,655,106
6,5,569,110,9,5995,-5995,0,5995,0,-5995,5419,213,3213,5419,3213,213,816,74,653,823,635,106
7,6,682,111,-1,5960,-5960,0,5960,0,-5960,5798,63,3063,5823,3063,63,893,68,640,759,601,67
8,7,796,111,6,5871,-5871,0,5871,0,-5871,6116,-87,2913,6182,2913,-87,922,47,587,899,500,87
9,8,909,110,4,5370,-5370,0,5370,0,-5370,5998,-235,2765,6150,2765,-235,971,47,600,911,527,67
10,9,1024,115,-5,1326,-1326,0,1326,0,-1326,5843,-390,2610,5994,2610,-390,942,47,507,949,480,67
11,10,1142,116,-6,143,-139,-4,143,-4,-139,5686,-379,2453,5838,2453,-297,961,68,507,975,446,48
12,11,1255,110,6,22,1803,-1825,22,-1825,1803,5538,22,2305,5689,2305,105,961,47,413,1000,345,58
13,12,1368,110,3,3,5354,-5357,3,-5357,5354,5389,424,2156,5541,2156,506,951,47,453,975,365,87
14,13,1483,115,-5,0,5925,-5926,0,-5926,5925,5234,844,2001,5385,2001,926,961,54,360,975,318,87
15,14,1598,111,6,0,5989,-5989,0,-5989,5989,5084,1249,1851,5236,1851,1331,942,68,360,975,250,106
16,15,1710,110,5,0,5998,-5998,0,-5998,5998,4935,1650,1703,5087,1703,1732,922,88,333,975,257,125
17,16,1824,113,-3,0,6000,-6000,0,-6000,6000,4783,2063,1550,4935,1550,2145,932,142,253,949,236,202
18,17,1938,111,7,0,6000,-6000,0,-6000,6000,4633,2468,1400,4785,1400,2550,922,216,253,911,216,202
19,18,2050,110,5,0,6000,-6000,0,-6000,6000,4485,2869,1252,4636,1252,2952,864,284,253,911,196,260
20,19,2163,112,-2,0,6000,-6000,0,-6000,6000,4333,3278,1100,4485,1100,3360,845,378,213,886,108,442
21,20,2278,111,7,0,6000,-6000,0,-6000,6000,4184,3683,951,4335,951,3765,893,493,173,835,162,510
22,21,2396,112,6,0,6000,-6000,0,-6000,6000,4032,4092,799,4184,799,4174,786,581,147,823,122,606
23,22,2509,110,4,0,6000,-6000,0,-6000,6000,3884,4494,651,4035,651,4576,786,669,133,797,128,692
24,23,2624,114,-4,0,6000,-6000,0,-6000,6000,3730,4909,497,3882,497,4992,757,750,147,797,95,760
25,24,2740,112,7,0,5998,-5998,0,-5998,5998,3579,5317,346,3730,346,5398,709,811,93,772,88,827
26,25,2858,112,7,0,5983,-5983,0,-5983,5983,3428,5724,195,3579,195,5806,641,824,0,759,101,779
27,26,2970,110,6,0,5985,-5985,0,-5985,5985,3279,6103,46,3431,46,6128,680,899,80,722,61,942
28,27,3084,113,-3,0,5512,-5512,0,-5512,5512,3126,6130,-106,3278,-106,6309,650,932,53,620,41,894
29,28,3198,110,6,0,3158,-3158,0,-3158,3158,2978,5982,-255,3130,-255,6161,563,966,53,671,54,933
30,29,3310,110,4,0,486,-486,0,-486,486,2829,5833,-358,2981,-359,6012,592,966,40,595,41,923
31,30,3425,113,-3,-428,64,365,-428,365,64,2677,5681,5,2829,-35,5860,524,959,40,494,61,923
32,31,3542,115,-5,-4709,7,4701,-4709,4701,7,2522,5525,425,2673,385,5704,485,993,27,481,14,933
33,32,3655,110,6,-5801,1,5800,-5801,5800,1,2373,5377,826,2525,787,5556,437,946,53,481,34,904
34,33,3768,110,4,-5969,0,5969,-5969,5969,0,2225,5228,1228,2376,1188,5407,398,932,53,418,41,923
35,34,3883,113,-3,-5996,0,5996,-5996,5996,0,2072,5076,1640,2224,1601,5255,369,966,107,367,81,913
36,35,3996,110,6,-5999,0,5999,-5999,5999,0,1924,4927,2042,2075,2002,5106,320,912,187,316,135,798
37,36,4109,110,4,-6000,0,6000,-6000,6000,0,1775,4779,2443,1927,2404,4958,311,912,213,342,209,904
38,37,4223,114,-4,-6000,0,6000,-6000,6000,0,1621,4625,2859,1773,2820,4804,291,912,333,278,243,933
39,38,4339,112,6,-6000,0,6000,-6000,6000,0,1470,4474,3268,1622,3228,4653,243,885,413,278,385,856
40,39,4455,110,6,-6000,0,6000,-6000,6000,0,1322,4325,3670,1473,3630,4504,204,858,533,228,446,885
41,40,4567,110,3,-6000,0,6000,-6000,6000,0,1173,4177,4071,1325,4031,4356,165,831,640,203,547,865
42,41,4682,113,-3,-6000,0,6000,-6000,6000,0,1020,4024,4483,1172,4444,4203,243,818,680,215,642,817
43,42,4798,112,6,-6000,0,6000,-6000,6000,0,869,3873,4892,1021,4853,4052,117,818,747,139,736,798
44,43,4910,110,5,-5999,0,5999,-5999,5999,0,721,3725,5276,872,5253,3904,136,770,893,139,791,769
45,44,5024,114,-4,-5910,0,5910,-5910,5910,0,567,3571,5673,718,5663,3750,136,736,880,127,845,750
46,45,5138,110,6,-5873,0,5873,-5873,5873,0,418,3422,5884,570,6056,3601,87,730,960,76,851,750
47,46,5250,110,6,-5061,0,5061,-5061,5061,0,270,3274,5762,421,5933,3453,87,703,947,89,939,625
48,47,5364,114,-4,-870,0,870,-870,870,0,117,3120,5608,268,5779,3299,78,662,893,127,926,683
49,48,5482,116,-6,-90,-4,94,-90,94,-4,-7,2963,5451,207,5622,3142,78,622,933,38,926,606
50,49,5598,113,6,564,-576,12,564,12,-576,65,2811,5299,452,5470,2990,107,588,960,63,905,606
51,50,5715,111,6,2905,-2907,2,2905,2,-2907,470,2661,5149,857,5320,2840,97,541,907,51,926,548
52,51,5828,110,3,5524,-5524,0,5524,0,-5524,872,2512,5000,1258,5171,2691,87,514,907,25,926,538
53,52,5943,114,-4,5941,-5941,0,5941,0,-5941,1288,2358,4846,1674,5017,2537,78,473,933,76,932,510
54,53,6059,113,6,5992,-5992,0,5992,0,-5992,1700,2206,4694,2087,4865,2385,107,439,947,51,926,433
55,54,6174,110,6,5999,-5999,0,5999,0,-5999,2102,2057,4545,2488,4716,2236,87,405,933,101,919,433
56,55,6286,110,2,6000,-6000,0,6000,0,-6000,2503,1909,4397,2890,4568,2088,155,372,907,165,905,433
57,56,6402,114,-4,6000,-6000,0,6000,0,-6000,2919,1755,4243,3306,4414,1934,252,338,933,228,858,385
58,57,6516,111,6,6000,-6000,0,6000,0,-6000,3325,1605,4093,3711,4264,1784,350,324,933,354,858,356
59,58,6629,110,5,6000,-6000,0,6000,0,-6000,3726,1457,3945,4113,4116,1636,456,284,893,506,818,308
60,59,6743,113,-3,6000,-6000,0,6000,0,-6000,4139,1304,3792,4525,3963,1483,563,264,813,519,804,288
