#Recorded data from Servotor32
#datetime: 20-11-2020_18h-53m-37s
#filename: identity_tetrapod_x_b_sensors_closed_horizontal_air_unloaded_20-11-2020_18h-53m-37s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.0,1.11,4.11,3.0,4.11,1.11,0.981,0.493,-0.013,0.013,0.507,1.01,0.981,0.493,0.0,0.013,0.507,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5,0.135,0.748,0.5,0.748,0.135,3.0,1.11,4.11,3.0,4.11,1.11,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.11,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.401,0.961,3.961,3.401,3.961,0.961,1.0,0.514,-0.013,0.013,0.507,1.01,1.0,0.514,0.0,0.013,0.507,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.597,0.119,0.72,0.597,0.72,0.119,3.0,1.11,4.11,3.0,4.11,6.0,0.981,0.981,0.981,0.981,0.981,0.981
2,1,0.117,0.112,0.009,6.0,-6.0,0.0,6.0,0.0,-6.0,3.81,0.81,3.81,3.81,3.81,0.81,0.99,0.514,0.027,-0.025,0.486,1.0,0.99,0.514,0.027,0.0,0.486,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.117,0.104,0.689,0.117,0.689,0.104,3.0,1.11,4.11,3.0,4.11,6.0,2.266,0.981,0.981,2.266,0.981,0.981
3,2,0.23,0.11,0.008,6.0,-6.0,0.0,6.0,0.0,-6.0,4.212,0.661,3.661,4.212,3.661,0.661,0.845,0.324,0.427,0.266,0.615,0.587,0.845,0.324,0.427,0.266,0.615,0.587,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.248,0.091,0.657,0.248,0.657,0.091,3.0,1.11,4.11,3.0,4.11,3.522,2.266,0.981,0.981,2.266,0.981,0.981
4,3,0.342,0.111,0.001,6.0,-6.0,0.0,6.0,0.0,-6.0,4.617,0.512,3.512,4.617,3.512,0.512,0.728,0.142,0.747,0.544,0.649,0.221,0.728,0.142,0.747,0.544,0.649,0.221,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.453,0.08,0.623,0.453,0.623,0.08,3.0,1.11,4.11,3.0,4.11,1.326,2.266,0.981,0.981,2.266,0.981,0.981
5,4,0.456,0.111,0.009,5.999,-5.999,0.0,5.999,0.0,-5.999,5.021,0.362,3.362,5.021,3.362,0.362,0.777,0.088,0.693,0.684,0.655,0.106,0.777,0.088,0.693,0.684,0.655,0.106,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.674,0.07,0.588,0.674,0.588,0.07,3.0,1.11,4.11,3.0,4.11,0.636,2.266,0.981,0.981,2.266,0.981,0.981
6,5,0.569,0.11,0.009,5.995,-5.995,0.0,5.995,0.0,-5.995,5.419,0.213,3.213,5.419,3.213,0.213,0.816,0.074,0.653,0.823,0.635,0.106,0.816,0.074,0.653,0.823,0.635,0.106,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.836,0.061,0.552,0.836,0.552,0.061,3.0,1.11,4.11,3.0,4.11,0.636,2.266,0.981,0.981,2.266,0.981,0.981
7,6,0.682,0.111,-0.001,5.96,-5.96,0.0,5.96,0.0,-5.96,5.798,0.063,3.063,5.823,3.063,0.063,0.893,0.068,0.64,0.759,0.601,0.067,0.893,0.068,0.64,0.759,0.601,0.067,2.0,0.0,0.0,2.0,0.0,0.0,0.767,0.0,0.0,0.949,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.923,0.053,0.515,0.927,0.515,0.053,5.722,0.408,3.84,5.374,3.606,0.402,2.266,0.981,0.981,2.266,0.981,0.981
8,7,0.796,0.111,0.006,5.871,-5.871,0.0,5.871,0.0,-5.871,6.116,-0.087,2.913,6.182,2.913,-0.087,0.922,0.047,0.587,0.899,0.5,0.087,0.922,0.047,0.587,0.899,0.5,0.087,1.534,0.0,0.0,1.899,0.0,0.0,0.591,0.0,0.0,0.661,0.0,0.0,4.759,2.956,3.0,4.792,3.0,2.956,3.401,-0.087,0.0,3.401,0.0,-0.087,6.116,6.0,6.0,6.182,6.0,6.0,0.95,0.05,0.479,0.95,0.479,0.05,5.797,0.282,3.522,5.738,3.0,0.522,2.169,0.967,0.981,2.118,0.981,0.967
9,8,0.909,0.11,0.004,5.37,-5.37,0.0,5.37,0.0,-5.37,5.998,-0.235,2.765,6.15,2.765,-0.235,0.971,0.047,0.6,0.911,0.527,0.067,0.971,0.047,0.6,0.911,0.527,0.067,1.182,0.0,0.0,1.322,0.0,0.0,0.034,0.0,0.0,0.056,0.0,0.0,4.759,2.882,3.0,4.792,3.0,2.882,3.401,-0.235,0.0,3.401,0.0,-0.235,6.116,6.0,6.0,6.182,6.0,6.0,0.936,0.05,0.443,0.947,0.443,0.05,6.037,0.199,3.6,5.934,3.162,0.321,2.169,0.944,0.981,2.118,0.981,0.944
