#Recorded data from Servotor32
#datetime: 20-11-2020_18h-55m-08s
#filename: identity_tripod_x_b_sensors_closed_horizontal_air_unloaded_20-11-2020_18h-55m-08s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,2550,1700,2550,1700,2550,1700,981,500,0,13,490,990
1,0,0,110,0,5100,-5100,5100,-5100,5100,-5100,2880,1480,2880,1480,2880,1480,981,493,-13,13,483,1000
2,1,114,112,-2,5100,-5100,5100,-5100,5100,-5100,3216,1256,3216,1256,3216,1256,990,513,13,-13,483,962
3,2,228,110,8,5100,-5100,5100,-5100,5100,-5100,3546,1036,3546,1036,3546,1036,808,414,329,51,536,683
4,3,340,110,6,5100,-5100,5100,-5100,5100,-5100,3876,816,3876,816,3876,816,740,224,605,152,656,260
5,4,454,110,0,5098,-5098,5098,-5098,5098,-5098,4204,596,4204,596,4204,596,750,178,776,139,715,173
6,5,570,112,9,5090,-5090,5090,-5090,5090,-5090,4534,372,4534,372,4534,372,808,138,829,89,788,106
7,6,687,111,9,5047,-5047,5047,-5047,5047,-5047,4849,150,4849,150,4850,150,856,92,855,101,854,-10
8,7,800,110,4,4957,-4957,4957,-4957,4957,-4957,5003,-70,5061,-70,5131,-70,942,79,921,76,881,106
9,8,915,115,-5,4145,-4145,4145,-4145,4145,-4145,4799,-300,4878,-300,4923,-300,933,79,908,76,934,77
10,9,1029,110,5,873,-873,873,-873,873,-873,4579,-516,4658,-509,4703,-516,923,79,921,38,914,77
11,10,1141,110,2,86,-86,86,-86,86,-86,4359,-445,4438,-321,4483,-462,952,72,961,38,887,77
12,11,1256,114,-4,-2626,2626,-2626,2626,-2626,2626,4131,-103,4210,21,4255,-120,942,-39,750,25,960,77
13,12,1374,115,-5,-4815,4815,-4815,4815,-4815,4815,3901,242,3980,366,4025,225,913,26,921,13,907,58
14,13,1488,111,6,-5058,5058,-5058,5058,-5058,5058,3679,575,3758,699,3803,558,904,105,908,63,874,77
15,14,1601,110,5,-5094,5094,-5094,5094,-5094,5094,3459,905,3538,1029,3583,888,856,59,868,38,854,67
