#Recorded data from Servotor32
#datetime: 20-11-2020_18h-55m-08s
#filename: identity_tripod_x_b_sensors_closed_horizontal_air_unloaded_20-11-2020_18h-55m-08s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.55,1.7,2.55,1.7,2.55,1.7,0.981,0.5,0.0,0.013,0.49,0.99,0.981,0.5,0.0,0.013,0.49,0.99,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.5,0.273,0.5,0.273,0.5,0.273,2.55,1.7,2.55,1.7,2.55,1.7,1.155,1.155,1.155,1.155,1.155,1.155
1,0,0.0,0.11,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.88,1.48,2.88,1.48,2.88,1.48,0.981,0.493,-0.013,0.013,0.483,1.0,0.981,0.493,0.0,0.013,0.483,1.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.594,0.225,0.594,0.225,0.594,0.225,2.55,1.7,2.55,1.7,2.55,5.1,1.155,1.155,1.155,1.155,1.155,1.155
2,1,0.114,0.112,-0.002,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.216,1.256,3.216,1.256,3.216,1.256,0.99,0.513,0.013,-0.013,0.483,0.962,0.99,0.513,0.013,0.0,0.483,0.962,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.114,0.183,0.114,0.183,0.114,0.183,2.55,1.7,2.55,1.7,2.55,4.906,2.653,1.155,2.653,1.155,2.653,1.155
3,2,0.228,0.11,0.008,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.546,1.036,3.546,1.036,3.546,1.036,0.808,0.414,0.329,0.051,0.536,0.683,0.808,0.414,0.329,0.051,0.536,0.683,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.235,0.148,0.235,0.148,0.235,0.148,2.55,1.7,2.55,1.7,2.55,3.483,2.653,1.155,2.653,1.155,2.653,1.155
4,3,0.34,0.11,0.006,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.876,0.816,3.876,0.816,3.876,0.816,0.74,0.224,0.605,0.152,0.656,0.26,0.74,0.224,0.605,0.152,0.656,0.26,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.425,0.119,0.425,0.119,0.425,0.119,2.55,1.7,2.55,1.7,2.55,1.326,2.653,1.155,2.653,1.155,2.653,1.155
5,4,0.454,0.11,0.0,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.204,0.596,4.204,0.596,4.204,0.596,0.75,0.178,0.776,0.139,0.715,0.173,0.75,0.178,0.776,0.139,0.715,0.173,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.638,0.095,0.638,0.095,0.638,0.095,2.55,1.7,2.55,1.7,2.55,0.882,2.653,1.155,2.653,1.155,2.653,1.155
6,5,0.57,0.112,0.009,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.534,0.372,4.534,0.372,4.534,0.372,0.808,0.138,0.829,0.089,0.788,0.106,0.808,0.138,0.829,0.089,0.788,0.106,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.809,0.075,0.809,0.075,0.809,0.075,2.55,1.7,2.55,1.7,2.55,0.541,2.653,1.155,2.653,1.155,2.653,1.155
7,6,0.687,0.111,0.009,5.047,-5.047,5.047,-5.047,5.047,-5.047,4.849,0.15,4.849,0.15,4.85,0.15,0.856,0.092,0.855,0.101,0.854,-0.01,0.856,0.092,0.855,0.101,0.854,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.791,0.0,0.793,0.0,0.795,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.907,0.059,0.907,0.059,0.907,0.059,4.78,0.469,4.778,0.515,4.776,0.0,2.653,1.155,2.653,1.155,2.653,1.155
8,7,0.8,0.11,0.004,4.957,-4.957,4.957,-4.957,4.957,-4.957,5.003,-0.07,5.061,-0.07,5.131,-0.07,0.942,0.079,0.921,0.076,0.881,0.106,0.942,0.079,0.921,0.076,0.881,0.106,2.374,0.0,2.38,0.0,2.385,0.0,0.482,0.0,0.54,0.0,0.647,0.0,3.99,2.515,3.99,2.515,4.005,2.515,2.88,-0.07,2.88,-0.07,2.88,-0.07,5.1,5.1,5.1,5.1,5.131,5.1,0.936,0.05,0.945,0.05,0.95,0.05,4.971,0.403,4.925,0.388,4.836,0.541,2.653,1.139,2.653,1.139,2.616,1.139
9,8,0.915,0.115,-0.005,4.145,-4.145,4.145,-4.145,4.145,-4.145,4.799,-0.3,4.878,-0.3,4.923,-0.3,0.933,0.079,0.908,0.076,0.934,0.077,0.933,0.079,0.908,0.076,0.934,0.077,1.447,0.0,1.621,0.0,1.941,0.0,0.017,0.0,0.023,0.0,0.015,0.0,3.942,2.4,3.97,2.4,4.005,2.4,2.88,-0.3,2.88,-0.3,2.88,-0.3,5.003,5.1,5.061,5.1,5.131,5.1,0.915,0.05,0.921,0.05,0.917,0.05,4.951,0.338,4.896,0.323,4.982,0.328,2.774,1.091,2.7,1.091,2.616,1.091
