#Recorded data from Servotor32
#datetime: 20-11-2020_18h-51m-42s
#filename: identity_wave_x_b_sensors_closed_horizontal_air_unloaded_20-11-2020_18h-51m-42s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,115,112,-2,7000,-7000,-4200,-1400,1400,4200,4466,379,1779,3179,4579,5979,1010,510,-27,24,476,1030
1,2,229,111,8,6999,-7000,-4200,-1400,1400,4201,4949,307,1707,3107,4507,5907,842,411,173,220,605,950
2,3,342,110,6,6999,-7001,-4200,-1400,1401,4201,5427,235,1635,3035,4435,5835,752,113,133,341,646,921
3,4,455,110,0,6998,-7001,-4200,-1400,1401,4201,5905,164,1564,2964,4364,5764,762,66,160,427,680,931
4,5,570,111,8,6996,-6999,-4199,-1399,1401,4200,6386,91,1491,2891,4291,5692,822,60,187,402,694,931
5,6,683,110,7,6972,-6976,-4185,-1394,1396,4187,6855,20,1420,2820,4220,5621,881,60,200,402,667,901
6,7,797,114,-4,6888,-6889,-4133,-1378,1378,4133,7274,-54,1346,2746,4146,5546,931,53,147,402,667,911
7,8,915,116,-6,6150,-6150,-3690,-1230,1230,3690,7199,-130,1270,2670,4070,5471,1030,53,160,378,646,911
8,9,1029,111,5,906,-906,-544,-181,181,544,7127,-201,1198,2598,3998,5399,980,66,173,402,633,921
9,10,1142,110,3,146,-127,-94,-36,25,86,7056,-155,1135,2527,3927,5327,970,46,107,341,626,911
10,11,1257,114,-4,823,1351,-1233,-882,-314,255,6982,340,1061,2453,3853,5253,960,40,147,341,619,871
11,12,1375,115,-5,3804,6337,-6323,-3811,-1272,1266,6907,841,986,2378,3778,5179,960,53,120,341,537,861
12,13,1491,112,6,4145,6908,-6906,-4146,-1382,1381,6834,1328,913,2305,3705,5106,980,66,120,293,578,871
13,14,1603,110,5,4192,6986,-6986,-4192,-1397,1397,6763,1806,842,2234,3634,5034,980,86,160,329,544,812
14,15,1717,114,-4,4199,6998,-6998,-4199,-1400,1400,6688,2302,768,2159,3559,4960,960,113,133,305,565,842
15,16,1835,115,-5,4200,7000,-7000,-4200,-1400,1400,6614,2802,693,2085,3485,4885,970,172,93,293,524,822
16,17,1951,112,5,4200,7000,-7000,-4200,-1400,1400,6541,3290,620,2012,3412,4813,980,245,67,305,510,802
17,18,2063,110,4,4200,7000,-7000,-4200,-1400,1400,6469,3768,549,1940,3340,4741,980,351,67,293,476,782
18,19,2178,113,-3,4200,7000,-7000,-4200,-1400,1400,6396,4260,475,1867,3267,4668,980,437,67,256,490,762
19,20,2295,115,-5,4200,7000,-7000,-4200,-1400,1400,6321,4760,400,1792,3192,4593,980,530,93,232,476,792
20,21,2409,111,5,4200,7000,-7000,-4200,-1400,1400,6249,5243,328,1720,3120,4521,980,642,80,244,429,752
21,22,2522,110,4,4200,7000,-7000,-4200,-1400,1400,6178,5721,257,1649,3049,4449,921,649,40,244,469,743
22,23,2638,114,-4,4200,7000,-7000,-4200,-1400,1400,6103,6217,183,1574,2974,4375,901,762,80,244,415,782
23,24,2755,115,-5,4199,6999,-6999,-4199,-1400,1400,6029,6715,108,1500,2900,4300,911,848,53,195,395,713
24,25,2869,111,5,4185,6975,-6975,-4185,-1395,1395,5957,7133,36,1428,2828,4228,901,940,80,122,374,703
25,26,2982,110,3,3782,6303,-6303,-3782,-1261,1261,5885,7238,-36,1356,2756,4157,911,907,13,171,361,723
26,27,3097,115,-5,1628,2713,-2713,-1628,-543,543,5810,7163,-110,1281,2681,4082,911,921,107,146,340,723
27,28,3215,115,-5,188,313,-313,-188,-63,63,5736,7088,-166,1208,2607,4007,980,934,67,146,327,723
28,29,3331,113,5,62,164,167,-210,-142,-40,5662,7015,76,1135,2533,3934,931,934,40,171,340,554
29,30,3443,110,4,670,2011,3337,-3335,-2012,-671,5591,6943,554,1063,2462,3862,891,940,40,122,306,663
30,31,3558,114,-4,1310,3931,6549,-6549,-3931,-1310,5516,6869,1050,989,2388,3788,941,947,40,146,299,624
