#Recorded data from Servotor32
#datetime: 20-11-2020_18h-51m-42s
#filename: identity_wave_x_b_sensors_closed_horizontal_air_unloaded_20-11-2020_18h-51m-42s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.115,0.112,-0.002,7.0,-7.0,-4.2,-1.4,1.4,4.2,4.466,0.379,1.779,3.179,4.579,5.979,1.01,0.51,-0.027,0.024,0.476,1.03,1.0,0.51,0.0,0.024,0.476,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.693,0.068,0.19,0.433,0.713,0.889,4.466,0.379,1.779,3.179,4.579,5.979,0.841,0.841,0.841,0.841,0.841,0.841
1,2,0.229,0.111,0.008,6.999,-7.0,-4.2,-1.4,1.4,4.201,4.949,0.307,1.707,3.107,4.507,5.907,0.842,0.411,0.173,0.22,0.605,0.95,0.842,0.411,0.173,0.22,0.605,0.95,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.772,0.064,0.181,0.418,0.7,0.883,4.466,0.379,1.779,3.179,4.579,6.65,0.841,0.841,0.841,0.841,0.841,0.841
2,3,0.342,0.11,0.006,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.427,0.235,1.635,3.035,4.435,5.835,0.752,0.113,0.133,0.341,0.646,0.921,0.752,0.113,0.133,0.341,0.646,0.921,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.254,2.954,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.507,5.907,0.835,0.06,0.172,0.403,0.945,0.946,4.466,0.379,1.779,3.179,4.579,6.447,0.841,0.841,0.841,0.841,1.307,0.997
3,4,0.455,0.11,0.0,6.998,-7.001,-4.2,-1.4,1.401,4.201,5.905,0.164,1.564,2.964,4.364,5.764,0.762,0.066,0.16,0.427,0.68,0.931,0.762,0.066,0.16,0.427,0.68,0.931,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.254,2.954,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.507,5.907,0.883,0.057,0.164,0.389,0.94,0.943,4.466,0.379,1.779,3.179,4.579,5.499,0.841,0.841,0.841,0.841,1.307,0.997
4,5,0.57,0.111,0.008,6.996,-6.999,-4.199,-1.399,1.401,4.2,6.386,0.091,1.491,2.891,4.291,5.692,0.822,0.06,0.187,0.402,0.694,0.931,0.822,0.06,0.187,0.402,0.694,0.931,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.254,2.954,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.507,5.907,0.919,0.054,0.156,0.375,0.935,0.939,4.466,0.379,1.779,3.179,4.579,5.499,0.841,0.841,0.841,0.841,1.307,0.997
5,6,0.683,0.11,0.007,6.972,-6.976,-4.185,-1.394,1.396,4.187,6.855,0.02,1.42,2.82,4.22,5.621,0.881,0.06,0.2,0.402,0.667,0.901,0.881,0.06,0.2,0.402,0.667,0.901,1.0,0.0,0.0,0.0,0.0,0.0,0.982,0.0,0.0,0.0,0.0,0.003,3.5,3.5,3.5,3.5,2.254,2.954,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.507,5.907,0.944,0.051,0.148,0.361,0.929,0.935,6.167,0.42,1.4,2.814,3.006,5.322,0.841,0.841,0.841,0.841,1.307,0.997
6,7,0.797,0.114,-0.004,6.888,-6.889,-4.133,-1.378,1.378,4.133,7.274,-0.054,1.346,2.746,4.146,5.546,0.931,0.053,0.147,0.402,0.667,0.911,0.931,0.053,0.147,0.402,0.667,0.911,0.982,0.0,0.0,0.0,0.0,0.003,0.865,0.0,0.0,0.0,0.0,0.002,3.637,3.473,3.5,3.5,2.254,2.954,0.0,-0.054,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.95,0.05,0.14,0.347,0.922,0.93,6.517,0.371,1.029,2.814,3.006,5.381,0.81,0.835,0.841,0.841,1.307,0.997
7,8,0.915,0.116,-0.006,6.15,-6.15,-3.69,-1.23,1.23,3.69,7.199,-0.13,1.27,2.67,4.07,5.471,1.03,0.053,0.16,0.378,0.646,0.911,1.0,0.053,0.16,0.378,0.646,0.911,0.865,0.0,0.0,0.0,0.0,0.002,0.004,0.0,0.0,0.0,0.0,0.0,3.637,3.435,3.5,3.5,2.254,2.954,0.0,-0.13,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.947,0.05,0.133,0.332,0.915,0.925,7.274,0.32,1.12,2.646,2.912,5.381,0.81,0.826,0.841,0.841,1.307,0.997
8,9,1.029,0.111,0.005,0.906,-0.906,-0.544,-0.181,0.181,0.544,7.127,-0.201,1.198,2.598,3.998,5.399,0.98,0.066,0.173,0.402,0.633,0.921,0.98,0.066,0.173,0.402,0.633,0.921,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.944,0.05,0.126,0.319,0.907,0.92,7.129,0.341,1.211,2.814,2.853,5.44,0.81,0.818,0.841,0.841,1.307,0.997
9,10,1.142,0.11,0.003,0.146,-0.127,-0.094,-0.036,0.025,0.086,7.056,-0.155,1.135,2.527,3.927,5.327,0.97,0.046,0.107,0.341,0.626,0.911,0.97,0.046,0.107,0.341,0.626,0.911,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.216,0.015,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.941,0.052,0.12,0.306,0.899,0.914,7.056,0.13,0.749,2.387,2.821,5.381,0.81,0.818,0.841,0.841,1.307,0.997
10,11,1.257,0.114,-0.004,0.823,1.351,-1.233,-0.882,-0.314,0.255,6.982,0.34,1.061,2.453,3.853,5.253,0.96,0.04,0.147,0.341,0.619,0.871,0.96,0.04,0.147,0.341,0.619,0.871,0.0,0.216,0.015,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.937,0.076,0.114,0.293,0.89,0.908,6.983,0.087,1.029,2.387,2.79,5.145,0.81,0.818,0.841,0.841,1.307,0.997
11,12,1.375,0.115,-0.005,3.804,6.337,-6.323,-3.811,-1.272,1.266,6.907,0.841,0.986,2.378,3.778,5.179,0.96,0.053,0.12,0.341,0.537,0.861,0.96,0.053,0.12,0.341,0.537,0.861,0.0,0.998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.934,0.11,0.108,0.28,0.88,0.902,6.983,0.181,0.84,2.387,2.42,5.086,0.81,0.818,0.841,0.841,1.307,0.997
12,13,1.491,0.112,0.006,4.145,6.908,-6.906,-4.146,-1.382,1.381,6.834,1.328,0.913,2.305,3.705,5.106,0.98,0.066,0.12,0.293,0.578,0.871,0.98,0.066,0.12,0.293,0.578,0.871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.93,0.155,0.102,0.268,0.869,0.895,7.129,0.274,0.84,2.051,2.605,5.145,0.81,0.818,0.841,0.841,1.307,0.997
13,14,1.603,0.11,0.005,4.192,6.986,-6.986,-4.192,-1.397,1.397,6.763,1.806,0.842,2.234,3.634,5.034,0.98,0.086,0.16,0.329,0.544,0.812,0.98,0.086,0.16,0.329,0.544,0.812,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.926,0.214,0.097,0.256,0.859,0.888,7.129,0.418,1.12,2.303,2.452,4.796,0.81,0.818,0.841,0.841,1.307,0.997
14,15,1.717,0.114,-0.004,4.199,6.998,-6.998,-4.199,-1.4,1.4,6.688,2.302,0.768,2.159,3.559,4.96,0.96,0.113,0.133,0.305,0.565,0.842,0.96,0.113,0.133,0.305,0.565,0.842,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.922,0.29,0.091,0.245,0.846,0.881,6.983,0.613,0.931,2.135,2.546,4.974,0.81,0.818,0.841,0.841,1.307,0.997
15,16,1.835,0.115,-0.005,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.614,2.802,0.693,2.085,3.485,4.885,0.97,0.172,0.093,0.293,0.524,0.822,0.97,0.172,0.093,0.293,0.524,0.822,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.918,0.38,0.086,0.233,0.833,0.873,7.056,1.038,0.651,2.051,2.362,4.856,0.81,0.818,0.841,0.841,1.307,0.997
16,17,1.951,0.112,0.005,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.541,3.29,0.62,2.012,3.412,4.813,0.98,0.245,0.067,0.305,0.51,0.802,0.98,0.245,0.067,0.305,0.51,0.802,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.913,0.478,0.081,0.222,0.82,0.865,7.129,1.563,0.469,2.135,2.299,4.737,0.81,0.818,0.841,0.841,1.307,0.997
17,18,2.063,0.11,0.004,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.469,3.768,0.549,1.94,3.34,4.741,0.98,0.351,0.067,0.293,0.476,0.782,0.98,0.351,0.067,0.293,0.476,0.782,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.908,0.575,0.077,0.212,0.805,0.856,7.129,2.327,0.469,2.051,2.145,4.619,0.81,0.818,0.841,0.841,1.307,0.997
18,19,2.178,0.113,-0.003,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.396,4.26,0.475,1.867,3.267,4.668,0.98,0.437,0.067,0.256,0.49,0.762,0.98,0.437,0.067,0.256,0.49,0.762,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.903,0.669,0.073,0.202,0.79,0.847,7.129,2.946,0.469,1.792,2.208,4.501,0.81,0.818,0.841,0.841,1.307,0.997
19,20,2.295,0.115,-0.005,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.321,4.76,0.4,1.792,3.192,4.593,0.98,0.53,0.093,0.232,0.476,0.792,0.98,0.53,0.093,0.232,0.476,0.792,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.898,0.753,0.069,0.192,0.773,0.837,7.129,3.616,0.651,1.624,2.145,4.678,0.81,0.818,0.841,0.841,1.307,0.997
20,21,2.409,0.111,0.005,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.249,5.243,0.328,1.72,3.12,4.521,0.98,0.642,0.08,0.244,0.429,0.752,0.98,0.642,0.08,0.244,0.429,0.752,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.892,0.819,0.065,0.183,0.756,0.827,7.129,4.422,0.56,1.708,1.934,4.442,0.81,0.818,0.841,0.841,1.307,0.997
21,22,2.522,0.11,0.004,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.178,5.721,0.257,1.649,3.049,4.449,0.921,0.649,0.04,0.244,0.469,0.743,0.921,0.649,0.04,0.244,0.469,0.743,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.887,0.87,0.061,0.174,0.739,0.816,6.699,4.472,0.28,1.708,2.114,4.389,0.81,0.818,0.841,0.841,1.307,0.997
22,23,2.638,0.114,-0.004,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.103,6.217,0.183,1.574,2.974,4.375,0.901,0.762,0.08,0.244,0.415,0.782,0.901,0.762,0.08,0.244,0.415,0.782,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.637,3.4,3.5,3.5,2.254,2.954,0.0,-0.201,0.0,0.0,0.0,0.0,7.274,7.0,7.0,7.0,4.507,5.907,0.88,0.909,0.058,0.165,0.719,0.805,6.554,5.286,0.56,1.708,1.87,4.619,0.81,0.818,0.841,0.841,1.307,0.997
