#Recorded data from Servotor32
#datetime: 20-11-2020_18h-59m-59s
#filename: tetrapod_x_b_sensors_open_horizontal_air_unloaded_20-11-2020_18h-59m-59s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,115,111,-1,6000,-6000,0,6000,0,-6000,3807,811,3811,3807,3811,811,990,527,39,-13,487,990
1,2,229,111,8,6000,-6000,0,6000,0,-6000,4212,661,3661,4212,3661,661,837,407,408,195,605,647
2,3,342,110,7,6000,-6000,0,6000,0,-6000,4613,513,3513,4613,3513,513,721,173,645,584,651,186
3,4,455,112,1,5999,-5999,0,5999,0,-5999,5021,362,3362,5021,3362,362,779,113,671,727,658,98
4,5,570,111,9,5995,-5995,0,5995,0,-5995,5422,212,3212,5422,3212,212,817,80,671,805,599,78
5,6,682,110,9,5960,-5960,0,5960,0,-5960,5789,63,3063,5789,3063,63,837,93,645,883,559,39
6,7,795,112,1,5666,-5666,0,5666,0,-5666,5834,-88,2912,5834,2912,-88,913,80,618,948,572,59
7,8,909,111,8,2626,-2626,0,2626,0,-2626,5684,-238,2762,5684,2762,-238,942,107,553,948,526,59
8,9,1023,110,7,404,-404,0,404,0,-404,5536,-219,2614,5536,2614,-219,971,80,566,948,428,29
9,10,1135,111,1,59,1495,-1554,59,-1554,1495,5386,186,2464,5386,2464,186,933,100,474,935,467,59
10,11,1249,111,8,9,5341,-5349,9,-5349,5341,5236,591,2314,5236,2314,591,971,80,447,948,414,69
11,12,1363,110,10,1,5899,-5900,1,-5900,5899,5088,992,2166,5088,2166,992,952,67,382,935,368,39
12,13,1475,111,1,0,5985,-5985,0,-5985,5985,4938,1397,2016,4938,2016,1397,942,73,382,922,336,0
13,14,1590,111,9,0,5998,-5998,0,-5998,5998,4788,1803,1866,4788,1866,1803,913,107,368,896,289,88
14,15,1703,110,10,0,6000,-6000,0,-6000,6000,4640,2204,1717,4640,1717,2204,962,167,316,935,270,186
15,16,1815,110,0,0,6000,-6000,0,-6000,6000,4491,2606,1569,4491,1569,2606,885,233,276,948,263,216
16,17,1930,111,9,0,6000,-6000,0,-6000,6000,4341,3011,1419,4341,1419,3011,894,300,276,948,224,343
17,18,2042,110,9,0,6000,-6000,0,-6000,6000,4193,3412,1271,4193,1271,3412,846,420,250,883,211,373
18,19,2155,111,-1,0,6000,-6000,0,-6000,6000,4043,3817,1121,4043,1121,3817,827,507,184,870,171,422
19,20,2270,111,8,0,6000,-6000,0,-6000,6000,3893,4223,971,3893,971,4223,798,607,184,870,164,559
20,21,2382,110,7,0,6000,-6000,0,-6000,6000,3745,4624,822,3745,822,4624,760,700,184,818,125,706
21,22,2495,111,-1,0,5999,-5999,0,-5999,5999,3595,5029,672,3595,672,5029,740,773,171,792,112,794
22,23,2609,111,9,0,5995,-5995,0,-5995,5995,3445,5429,523,3445,523,5429,692,853,145,779,118,755
23,24,2722,110,9,0,5959,-5959,0,-5959,5959,3296,5794,374,3296,374,5794,683,900,145,727,86,755
24,25,2835,111,-1,0,5655,-5655,0,-5655,5655,3146,5829,224,3146,224,5829,654,947,118,701,112,598
25,26,2948,110,9,0,2560,-2560,0,-2560,2560,2998,5681,76,2998,76,5681,606,947,118,623,39,725
26,27,3061,110,6,0,394,-394,0,-394,394,2849,5532,-25,2849,-25,5532,596,993,118,623,59,588
27,28,3175,112,-2,-451,55,396,-451,396,55,2698,5381,323,2698,323,5381,538,973,105,545,53,765
28,29,3290,111,9,-4632,8,4624,-4632,4624,8,2548,5231,728,2548,728,5231,500,960,53,532,72,814
29,30,3402,110,9,-5790,1,5788,-5790,5788,1,2400,5083,1130,2400,1130,5083,481,980,79,442,66,853
30,31,3515,110,0,-5968,0,5967,-5968,5967,0,2251,4934,1531,2251,1531,4934,433,973,66,403,72,892
31,32,3629,111,9,-5995,0,5995,-5995,5995,0,2102,4784,1937,2102,1937,4784,394,960,118,364,79,922
32,33,3742,110,9,-5999,0,5999,-5999,5999,0,1953,4636,2338,1953,2338,4636,337,933,224,351,151,892
33,34,3855,111,-1,-6000,0,6000,-6000,6000,0,1803,4486,2743,1803,2743,4486,317,913,237,338,224,892
34,35,3969,111,9,-6000,0,6000,-6000,6000,0,1653,4336,3148,1653,3148,4336,288,893,355,299,309,902
35,36,4082,110,9,-6000,0,6000,-6000,6000,0,1505,4188,3550,1505,3550,4188,260,900,539,247,388,814
36,37,4195,110,0,-6000,0,6000,-6000,6000,0,1356,4039,3951,1356,3951,4039,221,847,513,182,493,824
37,38,4308,110,8,-6000,0,6000,-6000,6000,0,1208,3891,4353,1208,4353,3891,202,820,645,195,599,824
38,39,4421,110,6,-6000,0,6000,-6000,6000,0,1059,3742,4754,1059,4754,3742,173,820,697,182,697,784
39,40,4535,110,0,-5999,0,5999,-5999,5999,0,911,3594,5155,911,5155,3594,212,793,842,78,750,765
40,41,4648,110,9,-5990,0,5990,-5990,5990,0,762,3445,5548,762,5548,3445,144,747,855,169,816,735
41,42,4761,110,8,-5922,0,5922,-5922,5922,0,614,3297,5876,614,5876,3297,115,740,882,91,888,686
42,43,4874,111,10,-5304,0,5304,-5304,5304,0,464,3147,5756,464,5756,3147,96,707,947,91,914,667
43,44,4989,110,9,-1091,0,1091,-1091,1091,0,316,2998,5608,316,5608,2998,125,640,895,91,914,657
44,45,5102,110,9,-166,-2,168,-166,168,-2,213,2850,5459,213,5459,2850,87,613,987,65,934,500
45,46,5215,111,1,399,-423,25,399,25,-423,461,2700,5309,461,5309,2700,67,587,961,52,947,578
46,47,5331,112,9,3763,-3767,3,3763,3,-3767,870,2549,5158,870,5158,2549,58,540,947,65,934,510
47,48,5443,110,8,5656,-5656,1,5656,1,-5656,1271,2400,5009,1271,5009,2400,58,520,987,52,914,480
48,49,5555,110,0,5947,-5947,0,5947,0,-5947,1673,2252,4861,1673,4861,2252,58,473,934,52,908,431
49,50,5671,112,9,5993,-5993,0,5993,0,-5993,2082,2101,4710,2082,4710,2101,87,433,934,78,901,412
50,51,5783,110,10,5999,-5999,0,5999,0,-5999,2483,1952,4561,2483,4561,1952,163,387,934,65,908,382
51,52,5895,111,1,6000,-6000,0,6000,0,-6000,2888,1802,4411,2888,4411,1802,260,373,882,208,875,333
52,53,6010,111,9,6000,-6000,0,6000,0,-6000,3293,1652,4262,3293,4262,1652,327,327,882,299,849,304
53,54,6122,110,7,6000,-6000,0,6000,0,-6000,3695,1504,4113,3695,4113,1504,442,307,842,390,842,265
54,55,6235,110,0,6000,-6000,0,6000,0,-6000,4096,1355,3965,4096,3965,1355,548,260,842,545,796,255
55,56,6349,111,8,6000,-6000,0,6000,0,-6000,4501,1206,3815,4501,3815,1206,673,260,855,610,770,255
56,57,6462,110,7,6000,-6000,0,6000,0,-6000,4903,1057,3666,4903,3666,1057,702,220,789,688,757,225
57,58,6575,110,0,5997,-5997,0,5997,0,-5997,5302,909,3518,5302,3518,909,808,207,803,779,730,186
58,59,6690,112,9,5978,-5978,0,5978,0,-5978,5692,757,3367,5692,3367,757,885,173,776,857,691,118
59,60,6803,110,11,5830,-5830,0,5830,0,-5830,5910,609,3218,5910,3218,609,952,153,737,922,645,157
60,61,6915,111,1,4260,-4260,0,4260,0,-4260,5760,459,3068,5760,3068,459,913,133,645,961,605,98
61,62,7027,110,8,657,-657,0,657,0,-657,5611,313,2920,5611,2920,313,923,120,632,948,572,118
62,63,7140,110,5,101,-82,-19,101,-19,-82,5463,231,2771,5463,2771,231,913,120,553,974,566,88
63,64,7255,112,-2,14,620,-634,14,-634,620,5312,570,2620,5312,2620,570,942,93,526,974,513,108
64,65,7369,111,9,2,4571,-4573,2,-4573,4571,5162,975,2470,5162,2470,975,952,127,526,987,467,88
65,66,7482,110,8,0,5780,-5781,0,-5781,5780,5013,1377,2322,5013,2322,1377,933,93,487,961,434,59
66,67,7595,110,0,0,5966,-5966,0,-5966,5966,4865,1778,2173,4865,2173,1778,923,73,447,870,395,59
67,68,7709,111,9,0,5995,-5995,0,-5995,5995,4715,2183,2023,4715,2023,2183,923,133,447,961,329,98
68,69,7822,110,8,0,5999,-5999,0,-5999,5999,4566,2585,1875,4566,1875,2585,856,180,355,974,322,157
69,70,7935,110,0,0,6000,-6000,0,-6000,6000,4418,2986,1726,4418,1726,2986,894,253,303,948,289,225
70,71,8051,112,9,0,6000,-6000,0,-6000,6000,4267,3395,1575,4267,1575,3395,885,347,263,909,263,314
71,72,8163,110,10,0,6000,-6000,0,-6000,6000,4118,3796,1427,4118,1427,3796,837,453,263,831,197,441
72,73,8275,110,0,0,6000,-6000,0,-6000,6000,3970,4198,1278,3970,1278,4198,817,540,263,870,191,529
73,74,8389,110,8,0,6000,-6000,0,-6000,6000,3821,4599,1130,3821,1130,4599,750,667,289,831,112,676
74,75,8501,110,6,0,5999,-5999,0,-5999,5999,3673,5000,981,3673,981,5000,740,753,355,753,158,716
75,76,8615,110,0,0,5995,-5995,0,-5995,5995,3524,5398,833,3524,833,5398,721,827,237,753,151,814
76,77,8731,112,9,0,5964,-5964,0,-5964,5964,3373,5776,681,3373,681,5776,712,900,263,714,66,863
77,78,8843,110,9,0,5711,-5711,0,-5711,5711,3225,5858,533,3225,533,5858,644,927,224,623,118,912
78,79,8955,110,0,0,3012,-3012,0,-3012,3012,3076,5710,384,3076,384,5710,615,940,132,623,46,931
79,80,9070,111,8,0,440,-440,0,-440,440,2926,5560,243,2926,243,5560,558,953,118,584,99,912
80,81,9182,110,7,-81,68,13,-81,13,68,2778,5411,227,2778,227,5411,538,947,92,545,86,922
81,82,9295,110,0,-1233,10,1222,-1233,1222,10,2629,5263,625,2629,625,5263,490,953,118,519,66,931
82,83,9411,112,9,-5305,1,5303,-5305,5303,1,2478,5112,1034,2478,1034,5112,433,947,105,468,59,912
83,84,9523,110,9,-5893,0,5893,-5893,5893,0,2330,4963,1435,2330,1435,4963,433,960,145,377,53,931
84,85,9635,111,1,-5984,0,5984,-5984,5984,0,2180,4813,1840,2180,1840,4813,365,947,118,403,79,882
85,86,9748,110,9,-5998,0,5998,-5998,5998,0,2031,4665,2242,2031,2242,4665,308,927,171,247,105,873
86,87,9861,110,9,-6000,0,6000,-6000,6000,0,1883,4516,2643,1883,2643,4516,317,907,211,325,151,863
87,88,9974,110,0,-6000,0,6000,-6000,6000,0,1734,4368,3045,1734,3045,4368,269,900,368,260,263,882
88,89,10088,110,9,-6000,0,6000,-6000,6000,0,1586,4219,3446,1586,3446,4219,231,847,382,221,342,824
89,90,10201,110,9,-6000,0,6000,-6000,6000,0,1437,4071,3848,1437,3848,4071,192,907,474,221,454,824
90,91,10315,110,0,-6000,0,6000,-6000,6000,0,1289,3922,4249,1289,4249,3922,202,833,618,221,553,814
91,92,10429,110,8,-6000,0,6000,-6000,6000,0,1140,3774,4651,1140,4651,3774,183,780,684,156,671,745
92,93,10541,110,6,-5999,0,5999,-5999,5999,0,992,3625,5051,992,5051,3625,135,753,829,143,750,745
93,94,10655,110,0,-5994,0,5994,-5994,5994,0,843,3477,5448,843,5448,3477,125,713,868,104,809,696
94,95,10771,113,9,-5953,0,5953,-5953,5953,0,691,3324,5819,691,5819,3324,106,673,868,104,816,676
95,96,10887,110,9,-5616,0,5616,-5616,5616,0,542,3176,5817,542,5817,3176,106,640,934,-26,849,618
96,97,11000,110,7,-2215,0,2215,-2215,2215,0,394,3027,5668,394,5668,3027,77,607,921,91,928,569
97,98,11115,112,-2,-307,0,307,-307,307,0,259,2876,5517,259,5517,2876,96,573,947,78,934,559
98,99,11230,111,8,105,-150,45,105,45,-150,285,2726,5367,285,5367,2726,77,527,921,91,928,490
99,100,11343,110,8,1624,-1631,7,1624,7,-1631,686,2578,5218,686,5218,2578,38,487,934,13,934,412
100,101,11455,111,2,5354,-5355,1,5354,1,-5355,1091,2428,5069,1091,5069,2428,58,440,947,39,941,422
101,102,11568,110,9,5901,-5901,0,5901,0,-5901,1492,2279,4920,1492,4920,2279,48,407,934,26,921,422
102,103,11681,110,8,5985,-5985,0,5985,0,-5985,1894,2131,4772,1894,4772,2131,67,373,934,39,921,353
103,104,11795,111,-1,5998,-5998,0,5998,0,-5998,2299,1981,4622,2299,4622,1981,144,327,947,39,908,343
104,105,11908,110,9,6000,-6000,0,6000,0,-6000,2700,1833,4473,2700,4473,1833,192,287,921,169,901,284
105,106,12021,110,9,6000,-6000,0,6000,0,-6000,3102,1684,4325,3102,4325,1684,288,260,974,260,816,235
106,107,12135,111,-1,6000,-6000,0,6000,0,-6000,3507,1534,4175,3507,4175,1534,385,240,934,312,822,216
107,108,12248,110,9,6000,-6000,0,6000,0,-6000,3909,1386,4026,3909,4026,1386,500,207,868,455,822,225
108,109,12361,110,6,6000,-6000,0,6000,0,-6000,4310,1237,3878,4310,3878,1237,548,260,803,545,796,225
109,110,12475,111,-1,6000,-6000,0,6000,0,-6000,4715,1087,3728,4715,3728,1087,702,167,829,688,743,157
110,111,12590,111,9,5999,-5999,0,5999,0,-5999,5119,937,3578,5119,3578,937,760,147,803,766,724,88
111,112,12703,110,8,5992,-5992,0,5992,0,-5992,5514,789,3430,5514,3430,789,837,140,750,818,697,98
112,113,12815,110,0,5935,-5935,0,5935,0,-5935,5856,640,3281,5856,3281,640,865,120,684,896,671,88
113,114,12929,110,9,5438,-5438,0,5438,0,-5438,5768,492,3133,5768,3133,492,894,100,645,935,579,69
114,115,13042,110,7,1397,-1397,0,1397,0,-1397,5619,344,2984,5619,2984,344,952,87,605,974,586,98
115,116,13155,110,0,215,-215,0,215,0,-215,5471,227,2836,5471,2836,227,1010,73,579,961,559,69
116,117,13269,111,8,31,265,-296,31,-296,265,5321,381,2686,5321,2686,381,923,60,513,987,520,78
117,118,13382,110,9,5,2821,-2826,5,-2826,2821,5172,782,2537,5172,2537,782,923,60,487,961,447,78
118,119,13495,110,0,1,5511,-5512,1,-5512,5511,5024,1184,2389,5024,2389,1184,942,73,434,961,414,49
119,120,13609,110,9,0,5925,-5925,0,-5925,5925,4875,1585,2240,4875,2240,1585,923,60,408,987,375,108
120,121,13721,110,9,0,5988,-5988,0,-5988,5988,4727,1987,2092,4727,2092,1987,923,100,395,935,329,88
121,122,13835,111,-1,0,5998,-5998,0,-5998,5998,4577,2392,1942,4577,1942,2392,875,127,355,974,322,147
