#Recorded data from Servotor32
#datetime: 20-11-2020_18h-59m-59s
#filename: tetrapod_x_b_sensors_open_horizontal_air_unloaded_20-11-2020_18h-59m-59s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.115,0.111,-0.001,6.0,-6.0,0.0,6.0,0.0,-6.0,3.807,0.811,3.811,3.807,3.811,0.811,0.99,0.527,0.039,-0.013,0.487,0.99,0.99,0.527,0.039,-0.013,0.487,0.99,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,0.389,0.082,0.389,0.389,0.389,0.082,3.807,0.811,3.811,3.807,3.811,0.811,0.654,0.654,0.654,0.654,0.654,0.654
1,2,0.229,0.111,0.008,6.0,-6.0,0.0,6.0,0.0,-6.0,4.212,0.661,3.661,4.212,3.661,0.661,0.837,0.407,0.408,0.195,0.605,0.647,0.837,0.407,0.408,0.195,0.605,0.647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5,4.5,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,0.453,0.075,0.366,0.453,0.366,0.075,7.533,3.663,3.672,1.755,5.445,5.823,0.654,0.654,0.654,0.654,0.654,0.654
2,3,0.342,0.11,0.007,6.0,-6.0,0.0,6.0,0.0,-6.0,4.613,0.513,3.513,4.613,3.513,0.513,0.721,0.173,0.645,0.584,0.651,0.186,0.721,0.173,0.645,0.584,0.651,0.186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5,4.5,1.83,6.606,1.83,4.5,0.0,0.0,0.0,4.212,0.0,0.0,9.0,9.0,3.661,9.0,3.661,9.0,0.518,0.069,0.937,0.079,0.937,0.069,6.489,1.557,5.805,5.256,5.859,1.674,0.654,0.654,1.609,1.23,1.609,0.654
3,4,0.455,0.112,0.001,5.999,-5.999,0.0,5.999,0.0,-5.999,5.021,0.362,3.362,5.021,3.362,0.362,0.779,0.113,0.671,0.727,0.658,0.098,0.779,0.113,0.671,0.727,0.658,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,4.5,4.5,1.83,6.606,1.83,4.5,0.0,0.0,0.0,4.212,0.0,0.0,9.0,9.0,3.661,9.0,3.661,9.0,0.584,0.063,0.922,0.125,0.922,0.063,7.011,1.017,2.457,7.693,2.409,0.882,0.654,0.654,1.609,1.23,1.609,0.654
4,5,0.57,0.111,0.009,5.995,-5.995,0.0,5.995,0.0,-5.995,5.422,0.212,3.212,5.422,3.212,0.212,0.817,0.08,0.671,0.805,0.599,0.078,0.817,0.08,0.671,0.805,0.599,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.992,0.0,0.0,0.992,0.0,0.0,4.5,4.5,1.83,6.606,1.83,4.5,0.0,0.0,0.0,4.212,0.0,0.0,9.0,9.0,3.661,9.0,3.661,9.0,0.646,0.057,0.902,0.189,0.902,0.057,7.353,0.72,2.457,8.066,2.193,0.702,0.654,0.654,1.609,1.23,1.609,0.654
5,6,0.682,0.11,0.009,5.96,-5.96,0.0,5.96,0.0,-5.96,5.789,0.063,3.063,5.789,3.063,0.063,0.837,0.093,0.645,0.883,0.559,0.039,0.837,0.093,0.645,0.883,0.559,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.936,0.0,0.0,0.936,0.0,0.0,4.5,4.5,1.83,6.606,1.83,4.5,0.0,0.0,0.0,4.212,0.0,0.0,9.0,9.0,3.661,9.0,3.661,9.0,0.699,0.052,0.879,0.268,0.879,0.052,7.533,0.837,2.361,8.44,2.046,0.351,0.654,0.654,1.609,1.23,1.609,0.654
6,7,0.795,0.112,0.001,5.666,-5.666,0.0,5.666,0.0,-5.666,5.834,-0.088,2.912,5.834,2.912,-0.088,0.913,0.08,0.618,0.948,0.572,0.059,0.913,0.08,0.618,0.948,0.572,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.351,0.0,0.0,0.351,0.0,0.0,4.5,4.456,1.83,6.606,1.83,4.456,0.0,-0.088,0.0,4.212,0.0,-0.088,9.0,9.0,3.661,9.0,3.661,9.0,0.705,0.05,0.851,0.279,0.851,0.05,8.217,0.72,2.262,8.751,2.094,0.531,0.654,0.648,1.609,1.23,1.609,0.648
7,8,0.909,0.111,0.008,2.626,-2.626,0.0,2.626,0.0,-2.626,5.684,-0.238,2.762,5.684,2.762,-0.238,0.942,0.107,0.553,0.948,0.526,0.059,0.942,0.107,0.553,0.948,0.526,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.917,4.381,1.83,5.023,1.83,4.381,0.0,-0.238,0.0,4.212,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.942,0.05,0.817,0.917,0.817,0.05,8.478,0.884,2.025,8.751,1.926,0.448,1.009,0.637,1.609,3.631,1.609,0.637
8,9,1.023,0.11,0.007,0.404,-0.404,0.0,0.404,0.0,-0.404,5.536,-0.219,2.614,5.536,2.614,-0.219,0.971,0.08,0.566,0.948,0.428,0.029,0.971,0.08,0.566,0.948,0.428,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.0,0.0,0.0,0.304,2.917,4.381,1.83,5.023,1.83,4.381,0.0,-0.238,0.0,4.212,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.934,0.051,0.779,0.866,0.779,0.051,5.665,0.501,2.072,5.75,1.567,0.03,1.009,0.637,1.609,3.631,1.609,0.637
9,10,1.135,0.111,0.001,0.059,1.495,-1.554,0.059,-1.554,1.495,5.386,0.186,2.464,5.386,2.464,0.186,0.933,0.1,0.474,0.935,0.467,0.059,0.933,0.1,0.474,0.935,0.467,0.059,-0.607,0.607,-0.607,0.607,-0.607,0.607,0.0,1.0,0.0,0.0,0.0,1.0,2.917,4.381,1.83,5.023,1.83,4.381,0.0,-0.238,0.0,4.212,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.924,0.065,0.735,0.789,0.735,0.065,5.443,0.686,1.735,5.729,1.71,0.307,1.009,0.637,1.609,3.631,1.609,0.637
10,11,1.249,0.111,0.008,0.009,5.341,-5.349,0.009,-5.349,5.341,5.236,0.591,2.314,5.236,2.314,0.591,0.971,0.08,0.447,0.948,0.414,0.069,0.971,0.08,0.447,0.948,0.414,0.069,-2.0,2.0,-2.0,2.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.917,4.381,1.83,5.023,1.83,4.381,0.0,-0.238,0.0,4.212,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.912,0.082,0.685,0.684,0.685,0.082,5.665,0.501,1.636,5.75,1.516,0.399,1.009,0.637,1.609,3.631,1.609,0.637
11,12,1.363,0.11,0.01,0.001,5.899,-5.9,0.001,-5.9,5.899,5.088,0.992,2.166,5.088,2.166,0.992,0.952,0.067,0.382,0.935,0.368,0.039,0.952,0.067,0.382,0.935,0.368,0.039,-2.0,2.0,-2.0,2.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.917,4.381,1.83,5.023,1.83,4.381,0.0,-0.238,0.0,4.212,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.899,0.103,0.632,0.559,0.632,0.103,5.554,0.381,1.399,5.729,1.347,0.122,1.009,0.637,1.609,3.631,1.609,0.637
12,13,1.475,0.111,0.001,0.0,5.985,-5.985,0.0,-5.985,5.985,4.938,1.397,2.016,4.938,2.016,1.397,0.942,0.073,0.382,0.922,0.336,0.0,0.942,0.073,0.382,0.922,0.336,0.0,-2.0,2.0,-2.0,2.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.917,4.381,1.83,5.023,1.83,4.381,0.0,-0.238,0.0,4.212,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.885,0.13,0.574,0.423,0.574,0.13,5.496,0.436,1.399,5.707,1.23,-0.238,1.009,0.637,1.609,3.631,1.609,0.637
13,14,1.59,0.111,0.009,0.0,5.998,-5.998,0.0,-5.998,5.998,4.788,1.803,1.866,4.788,1.866,1.803,0.913,0.107,0.368,0.896,0.289,0.088,0.913,0.107,0.368,0.896,0.289,0.088,-2.0,2.0,-2.0,2.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.917,4.381,1.83,5.023,1.83,4.381,0.0,-0.238,0.0,4.212,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.869,0.162,0.514,0.299,0.514,0.162,5.326,0.75,1.347,5.665,1.058,0.575,1.009,0.637,1.609,3.631,1.609,0.637
14,15,1.703,0.11,0.01,0.0,6.0,-6.0,0.0,-6.0,6.0,4.64,2.204,1.717,4.64,1.717,2.204,0.962,0.167,0.316,0.935,0.27,0.186,0.962,0.167,0.316,0.935,0.27,0.186,-2.0,2.0,-2.0,2.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.917,4.381,1.83,5.023,1.83,4.381,0.0,-0.238,0.0,4.212,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.851,0.2,0.454,0.199,0.454,0.2,5.612,1.305,1.157,5.729,0.988,1.48,1.009,0.637,1.609,3.631,1.609,0.637
15,16,1.815,0.11,0.0,0.0,6.0,-6.0,0.0,-6.0,6.0,4.491,2.606,1.569,4.491,1.569,2.606,0.885,0.233,0.276,0.948,0.263,0.216,0.885,0.233,0.276,0.948,0.263,0.216,-2.0,2.0,-2.0,2.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.917,4.381,1.83,5.023,1.83,4.381,0.0,-0.238,0.0,4.212,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.83,0.244,0.396,0.127,0.396,0.244,5.163,1.914,1.01,5.75,0.963,1.757,1.009,0.637,1.609,3.631,1.609,0.637
16,17,1.93,0.111,0.009,0.0,6.0,-6.0,0.0,-6.0,6.0,4.341,3.011,1.419,4.341,1.419,3.011,0.894,0.3,0.276,0.948,0.224,0.343,0.894,0.3,0.276,0.948,0.224,0.343,-2.0,2.0,-2.0,2.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.917,4.381,1.83,5.023,1.83,4.381,0.0,-0.238,0.0,4.212,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.808,0.295,0.34,0.078,0.34,0.295,5.216,2.533,1.01,5.75,0.82,2.931,1.009,0.637,1.609,3.631,1.609,0.637
17,18,2.042,0.11,0.009,0.0,6.0,-6.0,0.0,-6.0,6.0,4.193,3.412,1.271,4.193,1.271,3.412,0.846,0.42,0.25,0.883,0.211,0.373,0.846,0.42,0.25,0.883,0.211,0.373,-2.0,2.0,-2.0,2.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.917,4.381,1.83,5.014,1.83,4.381,0.0,-0.238,0.0,4.193,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.784,0.35,0.289,0.05,0.289,0.35,4.936,3.642,0.915,5.644,0.772,3.208,1.009,0.637,1.609,3.589,1.609,0.637
18,19,2.155,0.111,-0.001,0.0,6.0,-6.0,0.0,-6.0,6.0,4.043,3.817,1.121,4.043,1.121,3.817,0.827,0.507,0.184,0.87,0.171,0.422,0.827,0.507,0.184,0.87,0.171,0.422,-2.0,2.0,-2.0,2.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.917,4.381,1.83,4.938,1.83,4.381,0.0,-0.238,0.0,4.043,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.757,0.411,0.242,0.05,0.242,0.411,4.825,4.446,0.674,5.621,0.626,3.66,1.009,0.637,1.609,3.288,1.609,0.637
19,20,2.27,0.111,0.008,0.0,6.0,-6.0,0.0,-6.0,6.0,3.893,4.223,0.971,3.893,0.971,4.223,0.798,0.607,0.184,0.87,0.164,0.559,0.798,0.607,0.184,0.87,0.164,0.559,-2.0,2.0,-2.0,2.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.917,4.381,1.83,4.864,1.83,4.381,0.0,-0.238,0.0,3.893,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.728,0.475,0.201,0.05,0.201,0.475,4.656,5.369,0.674,5.601,0.6,4.926,1.009,0.637,1.609,3.034,1.609,0.637
20,21,2.382,0.11,0.007,0.0,6.0,-6.0,0.0,-6.0,6.0,3.745,4.624,0.822,3.745,0.822,4.624,0.76,0.7,0.184,0.818,0.125,0.706,0.76,0.7,0.184,0.818,0.125,0.706,-2.0,2.0,-2.0,2.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.917,4.381,1.83,4.79,1.83,4.381,0.0,-0.238,0.0,3.745,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.698,0.539,0.165,0.05,0.165,0.539,4.434,6.229,0.674,5.481,0.458,6.284,1.009,0.637,1.609,2.819,1.609,0.637
21,22,2.495,0.111,-0.001,0.0,5.999,-5.999,0.0,-5.999,5.999,3.595,5.029,0.672,3.595,0.672,5.029,0.74,0.773,0.171,0.792,0.112,0.794,0.74,0.773,0.171,0.792,0.112,0.794,-2.0,2.0,-2.0,2.0,-2.0,2.0,0.0,0.999,0.0,0.0,0.0,0.999,2.917,4.381,1.83,4.714,1.83,4.381,0.0,-0.238,0.0,3.595,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.665,0.602,0.134,0.05,0.134,0.602,4.317,6.903,0.626,5.399,0.41,7.097,1.009,0.637,1.609,2.63,1.609,0.637
22,23,2.609,0.111,0.009,0.0,5.995,-5.995,0.0,-5.995,5.995,3.445,5.429,0.523,3.445,0.523,5.429,0.692,0.853,0.145,0.779,0.118,0.755,0.692,0.853,0.145,0.779,0.118,0.755,-1.998,1.998,-1.998,1.998,-1.998,1.998,0.0,0.992,0.0,0.0,0.0,0.992,2.917,4.381,1.83,4.64,1.83,4.381,0.0,-0.238,0.0,3.445,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.63,0.661,0.109,0.05,0.109,0.661,4.037,7.642,0.531,5.339,0.432,6.737,1.009,0.637,1.609,2.465,1.609,0.637
23,24,2.722,0.11,0.009,0.0,5.959,-5.959,0.0,-5.959,5.959,3.296,5.794,0.374,3.296,0.374,5.794,0.683,0.9,0.145,0.727,0.086,0.755,0.683,0.9,0.145,0.727,0.086,0.755,-1.984,1.984,-1.984,1.984,-1.984,1.984,0.0,0.934,0.0,0.0,0.0,0.934,2.917,4.381,1.83,4.565,1.83,4.381,0.0,-0.238,0.0,3.296,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.594,0.711,0.088,0.05,0.088,0.711,3.985,8.076,0.531,5.182,0.315,6.737,1.009,0.637,1.609,2.32,1.609,0.637
24,25,2.835,0.111,-0.001,0.0,5.655,-5.655,0.0,-5.655,5.655,3.146,5.829,0.224,3.146,0.224,5.829,0.654,0.947,0.118,0.701,0.112,0.598,0.654,0.947,0.118,0.701,0.112,0.598,-1.868,1.868,-1.868,1.868,-1.868,1.868,0.0,0.333,0.0,0.0,0.0,0.333,2.917,4.381,1.83,4.49,1.83,4.381,0.0,-0.238,0.0,3.146,0.0,-0.238,5.834,9.0,3.661,5.834,3.661,9.0,0.558,0.716,0.07,0.05,0.07,0.716,3.815,8.51,0.432,5.075,0.41,5.286,1.009,0.637,1.609,2.191,1.609,0.637
25,26,2.948,0.11,0.009,0.0,2.56,-2.56,0.0,-2.56,2.56,2.998,5.681,0.076,2.998,0.076,5.681,0.606,0.947,0.118,0.623,0.039,0.725,0.606,0.947,0.118,0.623,0.039,0.725,-0.666,0.666,-0.666,0.666,-0.666,0.666,0.0,0.0,0.0,0.0,0.0,0.0,2.917,2.795,1.83,4.416,1.83,2.795,0.0,-0.238,0.0,2.998,0.0,-0.238,5.834,5.829,3.661,5.834,3.661,5.829,0.52,0.943,0.056,0.05,0.056,0.943,3.535,8.51,0.432,4.821,0.143,6.46,1.009,0.971,1.609,2.076,1.609,0.971
26,27,3.061,0.11,0.006,0.0,0.394,-0.394,0.0,-0.394,0.394,2.849,5.532,-0.025,2.849,-0.025,5.532,0.596,0.993,0.118,0.623,0.059,0.588,0.596,0.993,0.118,0.623,0.059,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.087,0.0,2.917,2.795,1.818,4.342,1.818,2.795,0.0,-0.238,-0.025,2.849,-0.025,-0.238,5.834,5.829,3.661,5.834,3.661,5.829,0.483,0.934,0.05,0.05,0.05,0.934,3.477,5.787,0.432,4.765,0.216,3.329,1.009,0.971,1.598,1.973,1.598,0.971
